iteration,throughput (img/s),loss,top1-accuracy,top5-accuracy
1,445.3,8.249,0.000,0.000
10,423.6,8.167,0.000,0.008
20,423.8,8.141,0.000,0.000
30,425.7,8.074,0.000,0.016
40,424.8,8.104,0.000,0.008
50,426.9,8.094,0.000,0.008
60,424.8,8.090,0.000,0.000
70,425.5,8.121,0.004,0.004
80,423.7,7.971,0.000,0.008
90,424.2,7.983,0.000,0.004
100,422.1,7.911,0.000,0.008
110,422.2,7.884,0.004,0.020
120,421.5,7.951,0.000,0.000
130,421.0,7.821,0.000,0.031
140,421.1,7.901,0.004,0.023
150,420.5,7.833,0.000,0.020
160,420.8,7.875,0.000,0.008
170,421.0,7.746,0.004,0.008
180,421.2,7.783,0.004,0.008
190,421.7,7.774,0.008,0.012
200,422.3,7.678,0.008,0.027
210,422.3,7.766,0.004,0.016
220,422.5,7.666,0.004,0.027
230,422.6,7.675,0.008,0.020
240,422.3,7.732,0.004,0.020
250,422.5,7.676,0.004,0.012
260,422.6,7.634,0.008,0.020
270,422.3,7.612,0.000,0.016
280,422.6,7.633,0.000,0.023
290,422.6,7.637,0.004,0.023
300,422.6,7.688,0.000,0.012
310,422.6,7.590,0.012,0.043
320,422.6,7.648,0.004,0.020
330,422.6,7.689,0.000,0.023
340,422.5,7.770,0.000,0.008
350,422.9,7.608,0.000,0.012
360,423.0,7.604,0.008,0.027
370,423.0,7.558,0.000,0.020
380,422.9,7.587,0.012,0.027
390,422.7,7.524,0.008,0.023
400,422.7,7.602,0.020,0.035
410,422.7,7.575,0.012,0.035
420,422.7,7.525,0.008,0.020
430,422.6,7.554,0.008,0.043
440,422.7,7.635,0.000,0.008
450,422.4,7.453,0.008,0.031
460,421.7,7.422,0.012,0.035
470,421.6,7.427,0.012,0.062
480,421.6,7.436,0.012,0.051
490,421.5,7.429,0.012,0.035
500,421.7,7.381,0.008,0.043
510,421.8,7.490,0.012,0.047
520,421.8,7.409,0.020,0.031
530,421.7,7.440,0.016,0.039
540,421.7,7.495,0.012,0.039
550,421.9,7.549,0.000,0.020
560,421.9,7.526,0.000,0.016
570,422.0,7.460,0.004,0.016
580,422.1,7.505,0.004,0.039
590,422.1,7.341,0.008,0.023
600,421.9,7.426,0.012,0.027
610,422.0,7.383,0.000,0.023
620,422.0,7.225,0.008,0.055
630,422.0,7.392,0.012,0.039
640,422.0,7.469,0.004,0.016
650,422.1,7.423,0.008,0.027
660,422.0,7.385,0.020,0.035
670,422.0,7.435,0.008,0.027
680,422.0,7.290,0.012,0.027
690,421.9,7.406,0.008,0.043
700,422.2,7.317,0.008,0.043
710,422.1,7.383,0.016,0.027
720,422.1,7.283,0.008,0.035
730,422.0,7.381,0.012,0.020
740,422.1,7.239,0.000,0.043
750,422.1,7.375,0.000,0.020
760,422.1,7.274,0.004,0.055
770,422.2,7.299,0.004,0.031
780,422.3,7.306,0.008,0.043
790,422.3,7.371,0.008,0.043
800,422.3,7.340,0.008,0.035
810,422.2,7.346,0.008,0.023
820,422.2,7.390,0.004,0.027
830,422.2,7.278,0.016,0.043
840,422.3,7.278,0.000,0.047
850,422.3,7.232,0.012,0.035
860,422.3,7.234,0.016,0.051
870,422.3,7.257,0.016,0.043
880,422.4,7.202,0.016,0.055
890,422.3,7.205,0.027,0.051
900,422.3,7.339,0.000,0.012
910,422.3,7.087,0.012,0.055
920,422.2,7.177,0.023,0.070
930,422.1,7.247,0.008,0.031
940,422.1,7.092,0.016,0.070
950,422.0,7.208,0.012,0.039
960,422.1,7.090,0.023,0.066
970,422.2,7.226,0.000,0.035
980,422.2,7.104,0.004,0.066
990,422.2,7.238,0.004,0.031
1000,422.2,7.113,0.016,0.059
1010,422.2,7.125,0.020,0.043
1020,422.2,7.233,0.012,0.047
1030,422.2,7.172,0.012,0.047
1040,422.3,7.026,0.020,0.070
1050,422.3,7.182,0.027,0.078
1060,422.3,7.095,0.016,0.074
1070,422.3,7.205,0.020,0.039
1080,422.4,6.906,0.020,0.059
1090,422.4,7.091,0.020,0.070
1100,422.4,7.096,0.027,0.078
1110,422.3,7.147,0.012,0.059
1120,422.3,7.103,0.012,0.078
1130,422.4,7.093,0.008,0.047
1140,422.4,7.081,0.016,0.055
1150,422.4,7.044,0.016,0.059
1160,422.4,7.001,0.023,0.070
1170,422.4,7.059,0.008,0.059
1180,422.4,6.972,0.012,0.066
1190,422.4,7.022,0.020,0.074
1200,422.4,7.025,0.031,0.090
1210,422.4,6.940,0.039,0.090
1220,422.5,7.056,0.008,0.066
1230,422.5,6.906,0.035,0.090
1240,422.5,7.010,0.035,0.086
1250,422.5,6.945,0.023,0.082
1260,422.5,7.055,0.020,0.070
1270,422.6,6.911,0.023,0.082
