Training with training/test data at:
  DATA_DIR: /mnt/data/imagenet-tfrecord
  MODEL_DIR: /job/model-code
  TRAINING_JOB: 
  TRAINING_COMMAND: python tf_cnn_benchmarks.py --local_parameter_device=cpu --num_gpus=2 --batch_size=128 --num_batches=250000 --model=resnet50 --data_dir="${DATA_DIR}" --data_name="imagenet" --variable_update=parameter_server --num_intra_threads=4 --num_inter_threads=8 --print_training_accuracy 
Storing trained model at:
  RESULT_DIR: /mnt/results/imagenet-tfrecord-results/training-GIJv6d6zR
Mon Feb 26 04:48:59 UTC 2018: Running Tensorflow job
/usr/local/lib/python2.7/dist-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
W0226 04:49:16.041861 47204966716544 tf_logging.py:118] From /job/model-code/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
W0226 04:49:20.241606 47204966716544 tf_logging.py:118] From /job/model-code/benchmark_cnn.py:1295: __init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-02-26 04:49:20.967959: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-26 04:49:21.261719: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:81:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-02-26 04:49:21.496677: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:82:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-02-26 04:49:21.497878: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Device peer to peer matrix
2018-02-26 04:49:21.497926: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1126] DMA: 0 1 
2018-02-26 04:49:21.497935: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 0:   Y Y 
2018-02-26 04:49:21.497942: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 1:   Y Y 
2018-02-26 04:49:21.497953: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 6.0)
2018-02-26 04:49:21.497962: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 6.0)
2018-02-26 04:49:39.880766: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 1 of 10000
2018-02-26 04:49:46.006760: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 5277 of 10000
2018-02-26 04:49:51.201105: I tensorflow/core/kernels/shuffle_dataset_op.cc:126] Shuffle buffer filled.
I0226 04:50:04.994009 47211087922944 tf_logging.py:110] Starting real work at step 10 at time Mon Feb 26 04:50:04 2018
TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Num batches: 250000
Num epochs:  49.95
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 445.3 +/- 0.0 (jitter = 0.0)	8.249	0.000	0.000
10	images/sec: 423.6 +/- 9.4 (jitter = 6.9)	8.167	0.000	0.008
20	images/sec: 423.8 +/- 6.7 (jitter = 7.5)	8.141	0.000	0.000
30	images/sec: 425.7 +/- 5.6 (jitter = 6.1)	8.074	0.000	0.016
40	images/sec: 424.8 +/- 4.7 (jitter = 6.5)	8.104	0.000	0.008
50	images/sec: 426.9 +/- 3.9 (jitter = 6.7)	8.094	0.000	0.008
60	images/sec: 424.8 +/- 3.7 (jitter = 8.4)	8.090	0.000	0.000
70	images/sec: 425.5 +/- 3.3 (jitter = 9.3)	8.121	0.004	0.004
80	images/sec: 423.7 +/- 3.2 (jitter = 10.7)	7.971	0.000	0.008
90	images/sec: 424.2 +/- 2.9 (jitter = 11.0)	7.983	0.000	0.004
100	images/sec: 422.1 +/- 2.9 (jitter = 11.5)	7.911	0.000	0.008
110	images/sec: 422.2 +/- 2.7 (jitter = 12.0)	7.884	0.004	0.020
120	images/sec: 421.5 +/- 2.6 (jitter = 12.1)	7.951	0.000	0.000
130	images/sec: 421.0 +/- 2.6 (jitter = 12.2)	7.821	0.000	0.031
140	images/sec: 421.1 +/- 2.5 (jitter = 12.7)	7.901	0.004	0.023
150	images/sec: 420.5 +/- 2.4 (jitter = 12.1)	7.833	0.000	0.020
160	images/sec: 420.8 +/- 2.4 (jitter = 11.9)	7.875	0.000	0.008
170	images/sec: 421.0 +/- 2.3 (jitter = 12.3)	7.746	0.004	0.008
180	images/sec: 421.2 +/- 2.2 (jitter = 12.2)	7.783	0.004	0.008
190	images/sec: 421.7 +/- 2.1 (jitter = 12.3)	7.774	0.008	0.012
200	images/sec: 422.3 +/- 2.0 (jitter = 12.0)	7.678	0.008	0.027
210	images/sec: 422.3 +/- 1.9 (jitter = 11.9)	7.766	0.004	0.016
220	images/sec: 422.5 +/- 1.9 (jitter = 11.8)	7.666	0.004	0.027
230	images/sec: 422.6 +/- 1.9 (jitter = 12.3)	7.675	0.008	0.020
240	images/sec: 422.3 +/- 1.8 (jitter = 12.1)	7.732	0.004	0.020
250	images/sec: 422.5 +/- 1.8 (jitter = 12.3)	7.676	0.004	0.012
260	images/sec: 422.6 +/- 1.7 (jitter = 12.0)	7.634	0.008	0.020
270	images/sec: 422.3 +/- 1.7 (jitter = 12.1)	7.612	0.000	0.016
280	images/sec: 422.6 +/- 1.7 (jitter = 12.3)	7.633	0.000	0.023
290	images/sec: 422.6 +/- 1.6 (jitter = 12.3)	7.637	0.004	0.023
300	images/sec: 422.6 +/- 1.6 (jitter = 12.3)	7.688	0.000	0.012
310	images/sec: 422.6 +/- 1.6 (jitter = 12.3)	7.590	0.012	0.043
320	images/sec: 422.6 +/- 1.5 (jitter = 12.0)	7.648	0.004	0.020
330	images/sec: 422.6 +/- 1.5 (jitter = 11.8)	7.689	0.000	0.023
340	images/sec: 422.5 +/- 1.5 (jitter = 11.9)	7.770	0.000	0.008
350	images/sec: 422.9 +/- 1.5 (jitter = 11.3)	7.608	0.000	0.012
360	images/sec: 423.0 +/- 1.4 (jitter = 11.5)	7.604	0.008	0.027
370	images/sec: 423.0 +/- 1.4 (jitter = 11.4)	7.558	0.000	0.020
380	images/sec: 422.9 +/- 1.4 (jitter = 11.4)	7.587	0.012	0.027
390	images/sec: 422.7 +/- 1.4 (jitter = 11.6)	7.524	0.008	0.023
400	images/sec: 422.7 +/- 1.4 (jitter = 11.5)	7.602	0.020	0.035
410	images/sec: 422.7 +/- 1.4 (jitter = 11.4)	7.575	0.012	0.035
420	images/sec: 422.7 +/- 1.3 (jitter = 11.4)	7.525	0.008	0.020
430	images/sec: 422.6 +/- 1.3 (jitter = 11.8)	7.554	0.008	0.043
440	images/sec: 422.7 +/- 1.3 (jitter = 12.0)	7.635	0.000	0.008
