iteration,throughput (img/s),loss,top1-accuracy,top5-accuracy
1,528.3,8.319,0.000,0.008
10,554.8,8.203,0.004,0.008
20,596.8,8.152,0.000,0.008
30,611.7,8.172,0.000,0.008
40,591.9,8.173,0.000,0.000
50,595.0,8.044,0.000,0.000
60,600.4,7.990,0.000,0.000
70,602.5,8.146,0.000,0.004
80,606.5,7.997,0.000,0.000
90,599.1,7.953,0.000,0.008
100,600.9,7.836,0.000,0.012
110,601.7,7.901,0.008,0.016
120,604.0,7.960,0.000,0.004
130,606.2,7.830,0.004,0.023
140,608.3,7.913,0.004,0.008
150,601.2,7.861,0.008,0.012
160,593.3,7.875,0.000,0.008
170,596.1,7.787,0.000,0.008
180,598.0,7.804,0.004,0.008
190,599.3,7.748,0.008,0.023
200,601.3,7.726,0.004,0.020
210,602.9,7.782,0.004,0.012
220,603.1,7.775,0.000,0.012
230,604.7,7.802,0.008,0.016
240,605.4,7.775,0.000,0.008
250,602.2,7.687,0.008,0.008
260,603.6,7.762,0.000,0.020
270,604.6,7.658,0.000,0.023
280,604.9,7.675,0.000,0.023
290,605.3,7.668,0.012,0.020
300,605.7,7.810,0.000,0.012
310,606.0,7.614,0.016,0.035
320,606.5,7.677,0.004,0.016
330,607.1,7.812,0.000,0.012
340,605.4,7.847,0.000,0.008
350,605.8,7.621,0.000,0.020
360,604.2,7.673,0.004,0.012
370,604.9,7.579,0.000,0.012
380,601.8,7.703,0.000,0.020
390,602.0,7.633,0.008,0.031
400,603.0,7.676,0.016,0.027
410,600.6,7.622,0.004,0.023
420,598.5,7.603,0.000,0.020
430,599.2,7.608,0.000,0.027
440,599.7,7.637,0.004,0.020
450,600.3,7.610,0.000,0.023
460,599.1,7.463,0.004,0.023
470,599.4,7.471,0.008,0.059
480,599.8,7.522,0.000,0.023
490,600.2,7.487,0.000,0.027
500,600.3,7.500,0.016,0.027
510,600.2,7.477,0.016,0.043
520,600.5,7.485,0.012,0.035
530,600.3,7.532,0.004,0.035
540,599.3,7.569,0.004,0.027
550,597.4,7.549,0.004,0.027
560,597.2,7.546,0.004,0.016
570,596.5,7.440,0.004,0.031
580,596.4,7.500,0.012,0.023
590,596.6,7.437,0.012,0.035
600,595.2,7.534,0.012,0.043
610,594.6,7.442,0.000,0.031
620,594.9,7.386,0.016,0.039
630,594.0,7.413,0.008,0.027
640,593.8,7.475,0.004,0.027
650,594.3,7.449,0.000,0.023
660,594.6,7.513,0.012,0.047
670,594.7,7.493,0.000,0.039
680,594.0,7.310,0.012,0.027
690,593.9,7.406,0.012,0.031
700,592.0,7.384,0.000,0.023
710,591.2,7.440,0.012,0.031
720,591.5,7.352,0.004,0.020
730,591.0,7.490,0.008,0.023
740,590.1,7.314,0.012,0.039
750,589.4,7.425,0.016,0.062
760,589.5,7.271,0.008,0.055
770,588.8,7.371,0.012,0.043
780,588.9,7.376,0.004,0.027
790,588.1,7.353,0.012,0.047
800,588.5,7.376,0.000,0.035
810,587.7,7.316,0.008,0.031
820,587.9,7.410,0.000,0.027
830,588.0,7.280,0.008,0.055
840,587.9,7.252,0.012,0.051
850,587.5,7.323,0.016,0.043
860,586.3,7.281,0.016,0.035
870,584.8,7.363,0.004,0.035
880,585.1,7.242,0.008,0.043
890,585.3,7.185,0.027,0.062
900,585.3,7.362,0.004,0.035
910,585.3,7.173,0.012,0.055
920,584.7,7.249,0.008,0.055
930,584.3,7.329,0.008,0.031
940,584.6,7.292,0.008,0.039
950,583.6,7.172,0.016,0.074
960,583.6,7.212,0.004,0.039
970,584.0,7.185,0.008,0.031
980,583.2,7.231,0.000,0.035
990,583.2,7.313,0.000,0.023
1000,583.3,7.158,0.016,0.047
1010,582.0,7.214,0.004,0.039
1020,582.4,7.194,0.020,0.051
1030,582.0,7.204,0.004,0.031
1040,582.5,7.082,0.016,0.074
1050,581.9,7.254,0.004,0.043
1060,582.0,7.162,0.016,0.047
1070,582.2,7.257,0.020,0.039
1080,581.4,7.149,0.008,0.051
1090,580.9,7.198,0.020,0.074
1100,581.2,7.156,0.016,0.059
1110,581.3,7.168,0.012,0.062
1120,581.4,7.165,0.016,0.047
1130,581.6,7.107,0.020,0.043
1140,581.8,7.215,0.004,0.039
1150,581.6,7.199,0.004,0.047
1160,580.7,7.072,0.023,0.062
1170,580.9,7.176,0.012,0.066
1180,581.1,7.064,0.004,0.074
1190,581.1,7.021,0.012,0.070
1200,580.3,7.061,0.020,0.059
1210,580.5,6.982,0.016,0.055
1220,580.5,7.109,0.004,0.043
1230,579.9,6.977,0.023,0.086
1240,580.2,7.165,0.016,0.059
1250,580.4,7.054,0.043,0.094
1260,579.5,7.062,0.012,0.062
1270,579.8,7.027,0.016,0.074
1280,579.2,7.059,0.020,0.059
1290,579.4,7.080,0.012,0.043
1300,579.5,6.948,0.016,0.074
1310,579.4,7.031,0.008,0.109
1320,579.2,7.183,0.008,0.059
1330,579.1,7.034,0.016,0.051
1340,579.1,7.145,0.016,0.070
1350,578.4,6.984,0.027,0.074
1360,578.5,7.059,0.012,0.059
1370,577.9,7.027,0.027,0.074
1380,577.4,7.164,0.031,0.094
1390,577.7,6.969,0.012,0.059
1400,577.8,7.087,0.020,0.062
1410,577.6,7.110,0.016,0.043
1420,577.7,6.852,0.012,0.070
1430,577.4,7.047,0.020,0.074
1440,576.9,7.069,0.016,0.047
1450,577.2,6.928,0.023,0.090
1460,576.8,6.963,0.023,0.074
1470,576.9,7.019,0.023,0.066
1480,576.9,6.898,0.027,0.102
1490,577.1,6.885,0.023,0.070
1500,577.2,7.002,0.008,0.066
1510,577.1,7.040,0.020,0.047
1520,577.0,6.939,0.012,0.062
1530,577.2,6.921,0.012,0.082
1540,577.4,6.894,0.008,0.066
1550,576.9,6.907,0.004,0.027
1560,577.1,6.918,0.023,0.074
1570,577.3,6.711,0.027,0.125
1580,576.9,6.864,0.016,0.090
1590,576.5,6.882,0.016,0.086
1600,576.7,6.873,0.035,0.098
1610,576.9,6.895,0.008,0.059
1620,576.7,6.862,0.020,0.074
1630,576.9,6.911,0.023,0.094
1640,576.1,6.828,0.035,0.105
1650,575.8,6.893,0.008,0.062
1660,575.5,6.829,0.035,0.086
1670,575.4,6.917,0.031,0.082
1680,575.2,6.640,0.035,0.121
1690,575.4,6.846,0.020,0.078
1700,575.3,6.849,0.031,0.090
1710,575.5,6.748,0.035,0.102
1720,575.5,6.927,0.027,0.098
1730,575.6,6.805,0.020,0.082
1740,575.3,6.890,0.027,0.055
1750,575.5,6.990,0.020,0.066
1760,575.4,6.874,0.023,0.105
1770,575.5,6.890,0.020,0.062
1780,575.5,6.907,0.020,0.090
1790,575.3,6.764,0.016,0.090
1800,575.4,6.802,0.020,0.082
1810,575.5,6.851,0.012,0.082
1820,575.6,6.925,0.035,0.086
1830,575.4,6.764,0.027,0.098
1840,575.5,6.797,0.020,0.070
1850,575.6,6.850,0.012,0.086
1860,575.1,6.877,0.016,0.078
1870,575.2,6.697,0.027,0.117
1880,574.9,6.648,0.062,0.148
1890,574.7,6.862,0.031,0.094
1900,574.4,6.680,0.059,0.137
1910,573.9,6.843,0.023,0.078
1920,573.7,6.779,0.008,0.074
1930,574.0,6.778,0.016,0.082
1940,573.8,6.880,0.039,0.078
1950,573.9,6.812,0.012,0.070
1960,573.8,6.627,0.035,0.102
1970,573.9,6.845,0.031,0.094
1980,574.1,6.685,0.020,0.098
1990,573.9,6.768,0.039,0.109
2000,574.0,6.804,0.031,0.082
2010,574.0,6.777,0.023,0.117
2020,574.2,6.806,0.008,0.086
2030,574.1,6.752,0.012,0.066
2040,574.3,6.671,0.031,0.090
2050,574.3,6.823,0.027,0.109
2060,574.4,6.731,0.047,0.133
2070,574.5,6.586,0.035,0.117
2080,574.6,6.658,0.023,0.086
2090,574.7,6.638,0.027,0.117
2100,574.8,6.669,0.023,0.098
2110,574.9,6.907,0.016,0.090
2120,574.9,6.787,0.008,0.074
2130,574.7,6.853,0.027,0.094
2140,574.8,6.709,0.039,0.086
2150,574.8,6.652,0.051,0.121
2160,574.9,6.754,0.020,0.113
2170,574.7,6.718,0.035,0.121
2180,574.8,6.561,0.027,0.133
2190,574.7,6.711,0.043,0.125
2200,574.9,6.827,0.008,0.078
2210,575.0,6.658,0.039,0.102
2220,575.1,6.699,0.039,0.078
2230,575.0,6.723,0.020,0.098
2240,575.1,6.776,0.027,0.098
2250,575.1,6.676,0.031,0.098
2260,575.1,6.700,0.031,0.094
2270,574.9,6.703,0.027,0.109
2280,574.9,6.632,0.047,0.121
2290,575.0,6.754,0.016,0.086
2300,575.1,6.461,0.043,0.141
