Training with training/test data at:
  DATA_DIR: /mnt/data/imagenet-tfrecord
  MODEL_DIR: /job/model-code
  TRAINING_JOB: 
  TRAINING_COMMAND: python tf_cnn_benchmarks.py --local_parameter_device=cpu --num_gpus=2 --batch_size=128 --num_batches=250000 --model=resnet50 --data_dir="${DATA_DIR}" --data_name="imagenet" --variable_update=parameter_server --num_intra_threads=4 --num_inter_threads=8 --print_training_accuracy 
Storing trained model at:
  RESULT_DIR: /mnt/results/imagenet-tfrecord-results/training-cAM8gFekR
Mon Feb 26 05:14:27 UTC 2018: Running Tensorflow job
/usr/local/lib/python2.7/dist-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
W0226 05:14:41.489092 47167721059456 tf_logging.py:118] From /job/model-code/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
W0226 05:14:45.751490 47167721059456 tf_logging.py:118] From /job/model-code/benchmark_cnn.py:1295: __init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-02-26 05:14:46.564769: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
2018-02-26 05:14:46.975627: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
pciBusID: 0000:81:00.0
totalMemory: 15.77GiB freeMemory: 15.36GiB
2018-02-26 05:14:47.333227: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 1 with properties: 
name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
pciBusID: 0000:82:00.0
totalMemory: 15.77GiB freeMemory: 15.36GiB
2018-02-26 05:14:47.334546: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Device peer to peer matrix
2018-02-26 05:14:47.334587: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1126] DMA: 0 1 
2018-02-26 05:14:47.334597: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 0:   Y Y 
2018-02-26 05:14:47.334605: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 1:   Y Y 
2018-02-26 05:14:47.334620: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla V100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 7.0)
2018-02-26 05:14:47.334629: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla V100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 7.0)
2018-02-26 05:18:06.031807: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 1 of 10000
2018-02-26 05:18:14.221202: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 4954 of 10000
2018-02-26 05:18:19.148402: I tensorflow/core/kernels/shuffle_dataset_op.cc:126] Shuffle buffer filled.
I0226 05:18:35.952847 47176759641856 tf_logging.py:110] Starting real work at step 10 at time Mon Feb 26 05:18:35 2018
TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Num batches: 250000
Num epochs:  49.95
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 528.3 +/- 0.0 (jitter = 0.0)	8.319	0.000	0.008
10	images/sec: 554.8 +/- 40.9 (jitter = 30.9)	8.203	0.004	0.008
20	images/sec: 596.8 +/- 22.5 (jitter = 19.4)	8.152	0.000	0.008
30	images/sec: 611.7 +/- 16.5 (jitter = 17.4)	8.172	0.000	0.008
40	images/sec: 591.9 +/- 16.4 (jitter = 20.0)	8.173	0.000	0.000
50	images/sec: 595.0 +/- 14.0 (jitter = 19.6)	8.044	0.000	0.000
60	images/sec: 600.4 +/- 11.9 (jitter = 22.8)	7.990	0.000	0.000
70	images/sec: 602.5 +/- 10.6 (jitter = 26.3)	8.146	0.000	0.004
80	images/sec: 606.5 +/- 9.5 (jitter = 27.2)	7.997	0.000	0.000
90	images/sec: 599.1 +/- 9.6 (jitter = 30.1)	7.953	0.000	0.008
100	images/sec: 600.9 +/- 8.8 (jitter = 31.0)	7.836	0.000	0.012
110	images/sec: 601.7 +/- 8.1 (jitter = 33.4)	7.901	0.008	0.016
120	images/sec: 604.0 +/- 7.6 (jitter = 33.6)	7.960	0.000	0.004
130	images/sec: 606.2 +/- 7.1 (jitter = 33.1)	7.830	0.004	0.023
140	images/sec: 608.3 +/- 6.7 (jitter = 31.8)	7.913	0.004	0.008
150	images/sec: 601.2 +/- 6.9 (jitter = 33.2)	7.861	0.008	0.012
160	images/sec: 593.3 +/- 7.2 (jitter = 34.0)	7.875	0.000	0.008
170	images/sec: 596.1 +/- 6.8 (jitter = 33.5)	7.787	0.000	0.008
180	images/sec: 598.0 +/- 6.4 (jitter = 34.0)	7.804	0.004	0.008
190	images/sec: 599.3 +/- 6.2 (jitter = 34.8)	7.748	0.008	0.023
200	images/sec: 601.3 +/- 5.9 (jitter = 34.0)	7.726	0.004	0.020
210	images/sec: 602.9 +/- 5.7 (jitter = 33.2)	7.782	0.004	0.012
220	images/sec: 603.1 +/- 5.5 (jitter = 33.7)	7.775	0.000	0.012
230	images/sec: 604.7 +/- 5.3 (jitter = 33.6)	7.802	0.008	0.016
240	images/sec: 605.4 +/- 5.1 (jitter = 33.9)	7.775	0.000	0.008
250	images/sec: 602.2 +/- 5.2 (jitter = 34.7)	7.687	0.008	0.008
260	images/sec: 603.6 +/- 5.0 (jitter = 34.3)	7.762	0.000	0.020
270	images/sec: 604.6 +/- 4.9 (jitter = 33.0)	7.658	0.000	0.023
280	images/sec: 604.9 +/- 4.7 (jitter = 32.1)	7.675	0.000	0.023
290	images/sec: 605.3 +/- 4.6 (jitter = 32.5)	7.668	0.012	0.020
300	images/sec: 605.7 +/- 4.5 (jitter = 32.0)	7.810	0.000	0.012
310	images/sec: 606.0 +/- 4.4 (jitter = 32.3)	7.614	0.016	0.035
320	images/sec: 606.5 +/- 4.3 (jitter = 31.9)	7.677	0.004	0.016
330	images/sec: 607.1 +/- 4.2 (jitter = 32.3)	7.812	0.000	0.012
340	images/sec: 605.4 +/- 4.3 (jitter = 31.8)	7.847	0.000	0.008
350	images/sec: 605.8 +/- 4.2 (jitter = 32.3)	7.621	0.000	0.020
360	images/sec: 604.2 +/- 4.2 (jitter = 33.1)	7.673	0.004	0.012
370	images/sec: 604.9 +/- 4.1 (jitter = 33.0)	7.579	0.000	0.012
380	images/sec: 601.8 +/- 4.2 (jitter = 33.2)	7.703	0.000	0.020
390	images/sec: 602.0 +/- 4.1 (jitter = 32.9)	7.633	0.008	0.031
400	images/sec: 603.0 +/- 4.0 (jitter = 32.3)	7.676	0.016	0.027
410	images/sec: 600.6 +/- 4.0 (jitter = 33.0)	7.622	0.004	0.023
420	images/sec: 598.5 +/- 4.1 (jitter = 33.7)	7.603	0.000	0.020
430	images/sec: 599.2 +/- 4.0 (jitter = 33.7)	7.608	0.000	0.027
440	images/sec: 599.7 +/- 3.9 (jitter = 32.6)	7.637	0.004	0.020
450	images/sec: 600.3 +/- 3.9 (jitter = 32.1)	7.610	0.000	0.023
460	images/sec: 599.1 +/- 3.9 (jitter = 31.5)	7.463	0.004	0.023
470	images/sec: 599.4 +/- 3.8 (jitter = 31.6)	7.471	0.008	0.059
480	images/sec: 599.8 +/- 3.8 (jitter = 32.2)	7.522	0.000	0.023
490	images/sec: 600.2 +/- 3.7 (jitter = 32.5)	7.487	0.000	0.027
500	images/sec: 600.3 +/- 3.6 (jitter = 32.9)	7.500	0.016	0.027
