iteration,time,throughput (img/s),loss,top1-accuracy,top5-accuracy
1,0,413.8,7.255,0.000,0.008
10,0,393.4,7.255,0.000,0.000
20,0,390.2,7.255,0.000,0.004
30,0,387.6,7.255,0.000,0.000
40,0,390.4,7.255,0.000,0.000
50,0,391.6,7.255,0.004,0.004
60,0,391.0,7.255,0.000,0.004
70,0,391.2,7.255,0.000,0.000
80,0,391.7,7.255,0.000,0.004
90,0,391.3,7.255,0.000,0.008
100,0,390.1,7.255,0.004,0.016
110,0,389.7,7.255,0.000,0.004
120,0,388.7,7.255,0.000,0.004
130,0,389.2,7.255,0.000,0.004
140,0,389.4,7.255,0.000,0.008
150,0,389.2,7.255,0.000,0.004
160,0,388.7,7.255,0.000,0.004
170,0,388.8,7.255,0.000,0.000
180,0,389.1,7.255,0.000,0.004
190,0,387.5,7.255,0.000,0.004
200,0,387.5,7.255,0.000,0.008
210,0,387.2,7.255,0.000,0.004
220,0,387.1,7.255,0.004,0.012
230,0,386.5,7.255,0.004,0.008
240,0,385.7,7.255,0.000,0.004
250,0,384.9,7.255,0.000,0.000
260,0,384.3,7.255,0.000,0.008
270,0,384.3,7.255,0.004,0.008
280,0,383.4,7.255,0.000,0.008
290,0,383.1,7.255,0.000,0.000
300,0,382.7,7.255,0.000,0.004
310,0,382.5,7.255,0.000,0.004
320,0,381.9,7.255,0.000,0.000
330,0,381.3,7.255,0.000,0.004
340,0,380.8,7.255,0.000,0.004
350,0,380.3,7.255,0.000,0.004
360,0,379.5,7.255,0.000,0.004
370,0,379.3,7.255,0.000,0.000
380,0,378.9,7.255,0.000,0.004
390,0,378.3,7.255,0.000,0.000
400,0,378.1,7.255,0.004,0.012
410,0,377.8,7.255,0.000,0.012
420,0,377.5,7.255,0.004,0.004
430,0,377.3,7.255,0.004,0.012
440,0,377.1,7.255,0.000,0.004
450,0,376.8,7.255,0.000,0.004
460,0,376.6,7.255,0.000,0.004
470,0,376.2,7.255,0.004,0.004
480,0,375.9,7.255,0.004,0.004
490,0,375.6,7.255,0.000,0.004
500,0,375.4,7.255,0.000,0.012
510,0,375.3,7.255,0.000,0.004
520,0,375.1,7.255,0.004,0.012
530,0,374.9,7.255,0.004,0.012
540,0,374.6,7.255,0.004,0.004
550,0,374.5,7.255,0.000,0.000
560,0,374.2,7.255,0.000,0.004
570,0,374.0,7.255,0.000,0.000
580,452,373.7,7.255,0.000,0.000
590,452,373.5,7.255,0.000,0.004
600,452,373.3,7.255,0.000,0.004
610,452,372.9,7.255,0.000,0.004
620,452,372.8,7.255,0.004,0.012
630,452,372.7,7.255,0.000,0.004
640,452,372.7,7.255,0.000,0.000
650,452,372.5,7.255,0.000,0.008
660,452,372.3,7.255,0.000,0.000
670,452,372.2,7.255,0.004,0.004
680,452,372.1,7.255,0.004,0.004
690,452,372.0,7.255,0.000,0.004
700,452,371.9,7.255,0.000,0.012
710,452,371.7,7.255,0.004,0.004
720,452,371.6,7.255,0.000,0.000
730,452,371.6,7.255,0.000,0.000
740,452,371.6,7.255,0.000,0.008
750,453,371.4,7.255,0.000,0.004
760,453,371.4,7.255,0.004,0.008
770,453,371.3,7.255,0.000,0.016
780,453,371.3,7.255,0.004,0.008
790,453,371.2,7.255,0.000,0.000
800,453,371.2,7.255,0.000,0.004
810,453,371.1,7.255,0.000,0.008
820,453,371.1,7.255,0.000,0.004
830,453,371.0,7.255,0.000,0.008
840,453,370.9,7.255,0.000,0.004
850,453,370.8,7.255,0.000,0.004
860,453,370.7,7.255,0.000,0.000
870,453,370.7,7.255,0.000,0.004
880,453,370.6,7.255,0.000,0.004
890,453,370.5,7.255,0.000,0.004
900,453,370.4,7.255,0.000,0.004
910,453,370.2,7.255,0.000,0.004
920,453,370.2,7.255,0.004,0.012
930,453,370.1,7.255,0.000,0.008
940,453,370.1,7.255,0.000,0.000
950,453,370.0,7.255,0.004,0.008
960,453,369.8,7.255,0.000,0.000
970,453,369.8,7.255,0.000,0.008
980,453,369.7,7.255,0.000,0.000
990,453,369.7,7.255,0.004,0.008
1000,453,369.6,7.255,0.000,0.016
1010,453,369.5,7.255,0.000,0.000
1020,453,369.6,7.255,0.008,0.012
1030,453,369.5,7.255,0.000,0.000
1040,453,369.4,7.255,0.000,0.008
1050,453,369.4,7.255,0.000,0.000
1060,453,369.3,7.255,0.000,0.004
1070,453,369.3,7.255,0.000,0.000
1080,453,369.2,7.255,0.004,0.008
1090,453,369.1,7.255,0.004,0.008
1100,453,369.0,7.255,0.000,0.000
1110,453,368.8,7.255,0.000,0.004
1120,453,368.8,7.255,0.000,0.008
1130,453,368.7,7.255,0.004,0.004
1140,453,368.6,7.255,0.000,0.000
1150,453,368.5,7.255,0.000,0.004
1160,453,368.4,7.255,0.000,0.000
1170,453,368.4,7.255,0.004,0.016
1180,453,368.4,7.255,0.000,0.004
1190,453,368.4,7.255,0.000,0.000
1200,453,368.3,7.255,0.000,0.016
1210,453,367.175,7.255,0.000,0.004
1220,901,368.0,7.255,0.000,0.016
1230,901,367.9,7.255,0.000,0.004
1240,901,367.9,7.255,0.004,0.004
1250,901,367.8,7.255,0.000,0.004
1260,901,367.7,7.255,0.000,0.000
1270,901,367.7,7.255,0.004,0.008
1280,901,367.5,7.255,0.004,0.012
1290,901,367.5,7.255,0.000,0.012
1300,901,367.4,7.255,0.004,0.004
1310,901,367.4,7.255,0.000,0.000
1320,901,367.3,7.255,0.000,0.004
1330,901,367.1,7.255,0.004,0.004
1340,901,367.0,7.255,0.004,0.008
1350,901,367.0,7.255,0.000,0.008
1360,901,367.0,7.255,0.000,0.004
1370,901,367.0,7.255,0.000,0.008
1380,901,366.9,7.255,0.000,0.008
1390,901,366.9,7.255,0.000,0.004
1400,901,366.8,7.255,0.004,0.012
1410,901,366.8,7.255,0.000,0.004
1420,901,366.8,7.255,0.004,0.004
1430,901,366.5,7.255,0.000,0.004
1440,901,366.4,7.255,0.000,0.008
1450,901,366.4,7.255,0.000,0.004
1460,901,366.4,7.255,0.000,0.004
1470,901,366.3,7.255,0.000,0.000
1480,901,366.3,7.255,0.004,0.004
1490,901,366.3,7.255,0.004,0.004
1500,901,366.1,7.255,0.004,0.008
1510,901,366.0,7.255,0.000,0.000
1520,901,366.0,7.255,0.000,0.016
1530,901,366.0,7.255,0.000,0.000
1540,901,366.0,7.255,0.000,0.004
1550,901,366.0,7.255,0.004,0.012
1560,901,366.1,7.255,0.000,0.008
1570,901,366.0,7.255,0.000,0.008
1580,901,366.0,7.255,0.000,0.000
1590,901,366.0,7.255,0.004,0.004
1600,901,366.0,7.255,0.000,0.000
1610,901,366.0,7.255,0.000,0.000
1620,901,365.9,7.255,0.000,0.004
1630,901,365.9,7.255,0.000,0.012
1640,901,365.8,7.255,0.000,0.004
1650,901,365.7,7.255,0.004,0.004
1660,901,365.7,7.255,0.000,0.004
1670,901,365.7,7.255,0.000,0.000
1680,901,365.7,7.255,0.000,0.004
1690,901,365.7,7.255,0.004,0.008
1700,901,365.7,7.255,0.000,0.004
1710,901,365.7,7.255,0.000,0.000
1720,901,365.6,7.255,0.008,0.012
1730,901,365.6,7.255,0.000,0.000
1740,901,365.6,7.255,0.004,0.008
1750,901,365.5,7.255,0.000,0.008
1760,901,365.5,7.255,0.000,0.000
1770,901,365.4,7.255,0.004,0.004
1780,901,365.4,7.255,0.000,0.000
1790,901,365.4,7.255,0.004,0.008
1800,901,365.0,7.255,0.000,0.004
1810,901,365.0,7.255,0.000,0.004
1820,901,365.0,7.255,0.008,0.016
1830,901,365.0,7.255,0.000,0.004
1840,901,365.0239,7.255,0.000,0.000
1850,1345,365.0,7.255,0.000,0.000
1860,1345,365.0,7.255,0.000,0.004
1870,1345,365.0,7.255,0.000,0.000
1880,1345,364.9,7.255,0.000,0.000
1890,1345,365.0,7.255,0.000,0.008
1900,1345,365.0,7.255,0.000,0.000
1910,1345,365.0,7.255,0.000,0.000
1920,1345,365.0,7.255,0.000,0.004
1930,1345,365.1,7.255,0.008,0.012
1940,1345,365.0,7.255,0.004,0.004
1950,1345,365.0,7.255,0.000,0.004
1960,1345,365.0,7.255,0.004,0.004
1970,1345,365.0,7.255,0.000,0.000
1980,1345,365.0,7.255,0.004,0.012
1990,1345,365.0,7.255,0.000,0.012
2000,1345,365.0,7.255,0.000,0.004
2010,1345,364.9,7.255,0.004,0.012
2020,1345,364.9,7.255,0.000,0.004
2030,1345,364.9,7.255,0.000,0.008
2040,1345,364.9,7.255,0.004,0.004
2050,1345,364.9,7.255,0.000,0.000
2060,1345,364.9,7.255,0.000,0.008
2070,1345,364.9,7.255,0.000,0.004
2080,1345,364.9,7.255,0.000,0.012
2090,1345,364.6,7.255,0.000,0.004
2100,1345,364.6,7.255,0.000,0.008
2110,1345,364.6,7.255,0.000,0.008
2120,1345,364.6,7.255,0.000,0.008
2130,1345,364.6,7.255,0.000,0.000
2140,1345,364.5,7.255,0.000,0.000
2150,1345,364.5,7.255,0.000,0.004
2160,1345,364.6,7.255,0.000,0.008
2170,1345,364.6,7.255,0.000,0.000
2180,1345,364.6,7.255,0.000,0.008
2190,1345,364.6,7.255,0.008,0.008
2200,1345,364.5,7.255,0.000,0.004
2210,1345,364.5,7.255,0.004,0.004
2220,1345,364.5,7.255,0.000,0.004
2230,1345,364.5,7.255,0.004,0.008
2240,1346,364.5,7.255,0.000,0.000
2250,1346,364.5,7.255,0.000,0.000
2260,1346,364.5,7.255,0.000,0.016
2270,1346,364.5,7.255,0.000,0.008
2280,1346,364.5,7.255,0.000,0.000
2290,1346,364.5,7.255,0.000,0.000
2300,1346,364.5,7.255,0.004,0.004
2310,1346,364.5,7.255,0.000,0.004
2320,1346,364.5,7.255,0.000,0.004
2330,1346,364.5,7.255,0.000,0.000
2340,1346,364.4,7.255,0.000,0.008
2350,1346,364.4,7.255,0.004,0.012
2360,1346,364.4,7.255,0.000,0.000
2370,1346,364.4,7.255,0.000,0.008
2380,1346,364.4,7.255,0.000,0.004
2390,1346,364.4,7.255,0.004,0.012
2400,1346,364.4,7.255,0.000,0.000
