1 1519746775955 Training with training/test data at:
2 1519746776033   DATA_DIR: /mnt/data/imagenet-tfrecord
3 1519746776049   MODEL_DIR: /job/model-code
4 1519746776055   TRAINING_JOB: 
5 1519746776060   TRAINING_COMMAND: python tf_cnn_benchmarks.py --local_parameter_device=cpu --num_gpus=2 --batch_size=128 --num_batches=250000 --model=vgg16 --data_dir="${DATA_DIR}" --data_name="imagenet" --variable_update=parameter_server --num_intra_threads=4 --num_inter_threads=8 --print_training_accuracy 
6 1519746776067 Storing trained model at:
7 1519746776071   RESULT_DIR: /mnt/results/imagenet-tfrecord-results/training-BV3Bs2ekg
8 1519746776075 Tue Feb 27 15:52:24 UTC 2018: Running Tensorflow job
9 1519746776080 /usr/local/lib/python2.7/dist-packages/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
10 1519746776085   from ._conv import register_converters as _register_converters
11 1519746776089 W0227 15:52:40.157386 46987615483008 tf_logging.py:118] From /job/model-code/benchmark_cnn.py:1295: __init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
12 1519746776094 Instructions for updating:
13 1519746776098 Please switch to tf.train.MonitoredTrainingSession
14 1519746776102 2018-02-27 15:52:40.311296: I tensorflow/core/platform/cpu_feature_guard.cc:137] Your CPU supports instructions that this TensorFlow binary was not compiled to use: SSE4.1 SSE4.2 AVX AVX2 FMA
15 1519746776107 2018-02-27 15:52:40.802099: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 0 with properties: 
16 1519746776112 name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
17 1519746776117 pciBusID: 0000:81:00.0
18 1519746776122 totalMemory: 15.77GiB freeMemory: 15.36GiB
19 1519746776126 2018-02-27 15:52:41.166045: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1105] Found device 1 with properties: 
20 1519746776130 name: Tesla V100-PCIE-16GB major: 7 minor: 0 memoryClockRate(GHz): 1.38
21 1519746776135 pciBusID: 0000:82:00.0
22 1519746776139 totalMemory: 15.77GiB freeMemory: 15.36GiB
23 1519746776144 2018-02-27 15:52:41.167318: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1120] Device peer to peer matrix
24 1519746776149 2018-02-27 15:52:41.167684: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1126] DMA: 0 1 
25 1519746776153 2018-02-27 15:52:41.167719: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 0:   Y Y 
26 1519746776157 2018-02-27 15:52:41.167726: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1136] 1:   Y Y 
27 1519746776161 2018-02-27 15:52:41.167739: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:0) -> (device: 0, name: Tesla V100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 7.0)
28 1519746776166 2018-02-27 15:52:41.167747: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1195] Creating TensorFlow device (/device:GPU:1) -> (device: 1, name: Tesla V100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 7.0)
29 1519746995825 2018-02-27 15:56:05.633515: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 1 of 10000
30 1519747000904 2018-02-27 15:56:12.002930: I tensorflow/core/kernels/shuffle_dataset_op.cc:112] Filling up shuffle buffer (this may take a while): 7717 of 10000
31 1519747000921 2018-02-27 15:56:13.187075: I tensorflow/core/kernels/shuffle_dataset_op.cc:126] Shuffle buffer filled.
32 1519747029180 I0227 15:56:38.922674 46993615357696 tf_logging.py:110] Starting real work at step 10 at time Tue Feb 27 15:56:38 2018
33 1519747419569 TensorFlow:  1.5
34 1519747419620 Model:       vgg16
35 1519747419635 Dataset:     imagenet
36 1519747419641 Mode:        training
37 1519747419645 SingleSess:  False
38 1519747419649 Batch size:  256 global
39 1519747419654              128 per device
40 1519747419658 Num batches: 250000
41 1519747419663 Num epochs:  49.95
42 1519747419668 Devices:     ['/gpu:0', '/gpu:1']
43 1519747419672 Data format: NCHW
44 1519747419676 Layout optimizer: False
45 1519747419681 Optimizer:   sgd
46 1519747419686 Variables:   parameter_server
47 1519747419691 ==========
48 1519747419696 Generating model
49 1519747419700 Running warm up
50 1519747419704 Done warm up
51 1519747419708 Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
52 1519747419713 1	images/sec: 413.8 +/- 0.0 (jitter = 0.0)	7.255	0.000	0.008
53 1519747419718 10	images/sec: 393.4 +/- 7.2 (jitter = 15.9)	7.255	0.000	0.000
54 1519747419724 20	images/sec: 390.2 +/- 5.5 (jitter = 13.5)	7.255	0.000	0.004
55 1519747419729 30	images/sec: 387.6 +/- 4.7 (jitter = 14.4)	7.255	0.000	0.000
56 1519747419733 40	images/sec: 390.4 +/- 3.9 (jitter = 13.2)	7.255	0.000	0.000
57 1519747419737 50	images/sec: 391.6 +/- 3.3 (jitter = 10.5)	7.255	0.004	0.004
58 1519747419741 60	images/sec: 391.0 +/- 3.2 (jitter = 12.9)	7.255	0.000	0.004
59 1519747419746 70	images/sec: 391.2 +/- 2.9 (jitter = 12.9)	7.255	0.000	0.000
60 1519747419751 80	images/sec: 391.7 +/- 2.8 (jitter = 13.0)	7.255	0.000	0.004
61 1519747419756 90	images/sec: 391.3 +/- 2.7 (jitter = 13.4)	7.255	0.000	0.008
62 1519747419760 100	images/sec: 390.1 +/- 2.6 (jitter = 13.4)	7.255	0.004	0.016
63 1519747419765 110	images/sec: 389.7 +/- 2.5 (jitter = 13.3)	7.255	0.000	0.004
64 1519747419769 120	images/sec: 388.7 +/- 2.5 (jitter = 13.5)	7.255	0.000	0.004
65 1519747419774 130	images/sec: 389.2 +/- 2.4 (jitter = 13.5)	7.255	0.000	0.004
66 1519747419778 140	images/sec: 389.4 +/- 2.3 (jitter = 13.4)	7.255	0.000	0.008
67 1519747419782 150	images/sec: 389.2 +/- 2.2 (jitter = 13.2)	7.255	0.000	0.004
68 1519747419786 160	images/sec: 388.7 +/- 2.1 (jitter = 13.2)	7.255	0.000	0.004
69 1519747419791 170	images/sec: 388.8 +/- 2.1 (jitter = 13.1)	7.255	0.000	0.000
70 1519747419795 180	images/sec: 389.1 +/- 2.0 (jitter = 13.2)	7.255	0.000	0.004
71 1519747419800 190	images/sec: 387.5 +/- 2.1 (jitter = 13.3)	7.255	0.000	0.004
72 1519747419804 200	images/sec: 387.5 +/- 2.0 (jitter = 13.4)	7.255	0.000	0.008
73 1519747419808 210	images/sec: 387.2 +/- 2.0 (jitter = 13.6)	7.255	0.000	0.004
74 1519747419812 220	images/sec: 387.1 +/- 1.9 (jitter = 13.6)	7.255	0.004	0.012
75 1519747419816 230	images/sec: 386.5 +/- 1.9 (jitter = 13.7)	7.255	0.004	0.008
76 1519747419820 240	images/sec: 385.7 +/- 1.8 (jitter = 15.1)	7.255	0.000	0.004
77 1519747419825 250	images/sec: 384.9 +/- 1.8 (jitter = 15.7)	7.255	0.000	0.000
78 1519747419829 260	images/sec: 384.3 +/- 1.8 (jitter = 15.9)	7.255	0.000	0.008
79 1519747419834 270	images/sec: 384.3 +/- 1.7 (jitter = 15.8)	7.255	0.004	0.008
80 1519747419837 280	images/sec: 383.4 +/- 1.7 (jitter = 16.9)	7.255	0.000	0.008
81 1519747419842 290	images/sec: 383.1 +/- 1.7 (jitter = 18.0)	7.255	0.000	0.000
82 1519747419846 300	images/sec: 382.7 +/- 1.6 (jitter = 18.2)	7.255	0.000	0.004
83 1519747419851 310	images/sec: 382.5 +/- 1.6 (jitter = 18.6)	7.255	0.000	0.004
84 1519747419856 320	images/sec: 381.9 +/- 1.6 (jitter = 19.3)	7.255	0.000	0.000
85 1519747419860 330	images/sec: 381.3 +/- 1.6 (jitter = 20.0)	7.255	0.000	0.004
86 1519747419863 340	images/sec: 380.8 +/- 1.5 (jitter = 20.8)	7.255	0.000	0.004
87 1519747419868 350	images/sec: 380.3 +/- 1.5 (jitter = 21.1)	7.255	0.000	0.004
88 1519747419872 360	images/sec: 379.5 +/- 1.5 (jitter = 21.6)	7.255	0.000	0.004
89 1519747419876 370	images/sec: 379.3 +/- 1.5 (jitter = 21.9)	7.255	0.000	0.000
90 1519747419881 380	images/sec: 378.9 +/- 1.5 (jitter = 22.4)	7.255	0.000	0.004
91 1519747419886 390	images/sec: 378.3 +/- 1.5 (jitter = 22.2)	7.255	0.000	0.000
92 1519747419891 400	images/sec: 378.1 +/- 1.4 (jitter = 22.5)	7.255	0.004	0.012
93 1519747419895 410	images/sec: 377.8 +/- 1.4 (jitter = 22.6)	7.255	0.000	0.012
94 1519747419904 420	images/sec: 377.5 +/- 1.4 (jitter = 22.7)	7.255	0.004	0.004
95 1519747419909 430	images/sec: 377.3 +/- 1.4 (jitter = 22.6)	7.255	0.004	0.012
