TensorFlow:  1.5
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 211.9 +/- 0.0 (jitter = 0.0)	7.379	0.000	0.000
10	images/sec: 212.1 +/- 1.6 (jitter = 3.1)	7.486	0.000	0.000
20	images/sec: 213.2 +/- 1.0 (jitter = 2.1)	7.425	0.000	0.000
30	images/sec: 213.9 +/- 0.8 (jitter = 3.7)	7.380	0.016	0.016
40	images/sec: 213.5 +/- 0.8 (jitter = 3.6)	7.348	0.000	0.031
50	images/sec: 214.3 +/- 0.7 (jitter = 2.9)	7.404	0.000	0.016
60	images/sec: 214.5 +/- 0.6 (jitter = 2.9)	7.434	0.016	0.016
70	images/sec: 213.5 +/- 0.8 (jitter = 3.1)	7.403	0.000	0.000
80	images/sec: 213.9 +/- 0.7 (jitter = 3.3)	7.429	0.000	0.016
90	images/sec: 213.8 +/- 0.7 (jitter = 3.3)	7.366	0.000	0.000
100	images/sec: 213.6 +/- 0.7 (jitter = 3.3)	7.338	0.000	0.000
110	images/sec: 213.6 +/- 0.6 (jitter = 3.4)	7.385	0.000	0.016
120	images/sec: 213.2 +/- 0.6 (jitter = 3.5)	7.451	0.000	0.000
130	images/sec: 213.3 +/- 0.6 (jitter = 3.6)	7.368	0.000	0.000
140	images/sec: 213.3 +/- 0.6 (jitter = 3.6)	7.414	0.000	0.016
150	images/sec: 213.1 +/- 0.6 (jitter = 3.8)	7.416	0.000	0.016
160	images/sec: 213.2 +/- 0.5 (jitter = 4.0)	7.414	0.000	0.000
170	images/sec: 213.3 +/- 0.5 (jitter = 3.8)	7.384	0.000	0.000
180	images/sec: 213.3 +/- 0.5 (jitter = 3.8)	7.391	0.000	0.000
190	images/sec: 213.4 +/- 0.5 (jitter = 4.0)	7.354	0.000	0.000
200	images/sec: 213.3 +/- 0.5 (jitter = 3.9)	7.445	0.000	0.000
210	images/sec: 213.2 +/- 0.4 (jitter = 4.0)	7.373	0.000	0.016
