TensorFlow:  1.5
Model:       vgg16
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 216.5 +/- 0.0 (jitter = 0.0)	7.255	0.000	0.000
10	images/sec: 217.0 +/- 0.7 (jitter = 0.8)	7.255	0.000	0.008
20	images/sec: 217.2 +/- 0.4 (jitter = 1.3)	7.255	0.008	0.008
30	images/sec: 216.7 +/- 0.5 (jitter = 1.4)	7.255	0.000	0.000
40	images/sec: 216.6 +/- 0.4 (jitter = 1.6)	7.255	0.000	0.008
50	images/sec: 216.7 +/- 0.4 (jitter = 1.7)	7.255	0.000	0.023
60	images/sec: 216.7 +/- 0.3 (jitter = 1.6)	7.255	0.000	0.000
70	images/sec: 216.4 +/- 0.4 (jitter = 1.8)	7.255	0.000	0.008
80	images/sec: 216.3 +/- 0.3 (jitter = 2.2)	7.255	0.000	0.008
90	images/sec: 216.0 +/- 0.4 (jitter = 2.2)	7.255	0.000	0.000
100	images/sec: 216.1 +/- 0.3 (jitter = 2.0)	7.255	0.000	0.008
110	images/sec: 216.2 +/- 0.3 (jitter = 2.0)	7.255	0.000	0.008
120	images/sec: 216.2 +/- 0.3 (jitter = 2.0)	7.255	0.000	0.000
130	images/sec: 216.1 +/- 0.3 (jitter = 2.0)	7.255	0.000	0.008
140	images/sec: 216.1 +/- 0.3 (jitter = 2.0)	7.255	0.016	0.023
150	images/sec: 216.1 +/- 0.3 (jitter = 1.9)	7.255	0.000	0.000
160	images/sec: 216.2 +/- 0.3 (jitter = 1.9)	7.255	0.000	0.000
170	images/sec: 216.2 +/- 0.3 (jitter = 1.8)	7.255	0.000	0.016
180	images/sec: 216.2 +/- 0.2 (jitter = 1.8)	7.255	0.016	0.016
190	images/sec: 216.2 +/- 0.2 (jitter = 1.7)	7.255	0.000	0.008
200	images/sec: 216.2 +/- 0.2 (jitter = 1.6)	7.255	0.000	0.016
210	images/sec: 216.2 +/- 0.2 (jitter = 1.7)	7.255	0.000	0.000
220	images/sec: 216.3 +/- 0.2 (jitter = 1.5)	7.255	0.000	0.008
230	images/sec: 216.3 +/- 0.2 (jitter = 1.4)	7.255	0.000	0.000
240	images/sec: 216.3 +/- 0.2 (jitter = 1.4)	7.255	0.000	0.008
250	images/sec: 216.3 +/- 0.2 (jitter = 1.4)	7.255	0.000	0.000
260	images/sec: 216.3 +/- 0.2 (jitter = 1.5)	7.255	0.008	0.016
270	images/sec: 216.4 +/- 0.2 (jitter = 1.5)	7.255	0.000	0.000
280	images/sec: 216.4 +/- 0.2 (jitter = 1.4)	7.255	0.000	0.008
290	images/sec: 216.4 +/- 0.2 (jitter = 1.4)	7.255	0.008	0.008
300	images/sec: 216.4 +/- 0.2 (jitter = 1.4)	7.255	0.000	0.000
310	images/sec: 216.4 +/- 0.2 (jitter = 1.3)	7.255	0.000	0.008
320	images/sec: 216.4 +/- 0.2 (jitter = 1.3)	7.255	0.000	0.023
330	images/sec: 216.4 +/- 0.2 (jitter = 1.4)	7.255	0.000	0.000
340	images/sec: 216.3 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
350	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.008	0.016
360	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
370	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.008
380	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
390	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
400	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.008
410	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.008
420	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
430	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
440	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.008	0.016
450	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
460	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
470	images/sec: 216.4 +/- 0.1 (jitter = 1.4)	7.255	0.000	0.000
480	images/sec: 216.4 +/- 0.1 (jitter = 1.3)	7.255	0.000	0.008
