TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 347.6 +/- 0.0 (jitter = 0.0)	8.945	0.000	0.000
10	images/sec: 347.0 +/- 1.2 (jitter = 3.3)	8.341	0.000	0.000
20	images/sec: 342.5 +/- 2.1 (jitter = 8.1)	8.788	0.000	0.000
30	images/sec: 341.9 +/- 1.8 (jitter = 8.2)	8.042	0.000	0.000
40	images/sec: 342.3 +/- 1.4 (jitter = 7.3)	8.163	0.000	0.000
50	images/sec: 342.5 +/- 1.3 (jitter = 8.7)	8.110	0.008	0.016
60	images/sec: 342.9 +/- 1.2 (jitter = 7.8)	7.957	0.008	0.016
70	images/sec: 342.7 +/- 1.1 (jitter = 7.8)	7.967	0.000	0.000
80	images/sec: 343.1 +/- 1.0 (jitter = 7.5)	7.965	0.000	0.016
90	images/sec: 343.3 +/- 0.9 (jitter = 7.0)	8.033	0.000	0.000
100	images/sec: 343.2 +/- 0.8 (jitter = 7.3)	7.895	0.000	0.008
110	images/sec: 343.6 +/- 0.8 (jitter = 7.4)	7.863	0.000	0.000
120	images/sec: 343.5 +/- 0.8 (jitter = 8.5)	7.900	0.000	0.008
130	images/sec: 343.6 +/- 0.8 (jitter = 8.3)	7.908	0.000	0.008
140	images/sec: 343.7 +/- 0.7 (jitter = 8.2)	7.973	0.000	0.000
150	images/sec: 343.8 +/- 0.7 (jitter = 7.8)	7.866	0.000	0.000
160	images/sec: 344.1 +/- 0.6 (jitter = 7.3)	7.854	0.000	0.000
170	images/sec: 344.1 +/- 0.6 (jitter = 7.3)	7.835	0.000	0.000
180	images/sec: 344.3 +/- 0.6 (jitter = 7.3)	7.815	0.000	0.016
190	images/sec: 343.9 +/- 0.6 (jitter = 7.5)	7.865	0.000	0.008
200	images/sec: 344.0 +/- 0.6 (jitter = 7.0)	7.955	0.000	0.008
210	images/sec: 344.1 +/- 0.6 (jitter = 7.2)	7.904	0.000	0.000
220	images/sec: 344.2 +/- 0.6 (jitter = 7.1)	8.037	0.000	0.008
230	images/sec: 344.4 +/- 0.5 (jitter = 7.0)	7.888	0.000	0.000
240	images/sec: 344.5 +/- 0.5 (jitter = 7.2)	7.851	0.000	0.016
250	images/sec: 344.7 +/- 0.5 (jitter = 7.3)	7.884	0.000	0.008
260	images/sec: 344.7 +/- 0.5 (jitter = 7.2)	7.861	0.000	0.008
270	images/sec: 344.6 +/- 0.5 (jitter = 7.2)	7.828	0.000	0.000
280	images/sec: 344.7 +/- 0.5 (jitter = 7.1)	7.865	0.000	0.000
290	images/sec: 344.6 +/- 0.5 (jitter = 7.2)	7.902	0.008	0.008
300	images/sec: 344.7 +/- 0.5 (jitter = 7.1)	7.849	0.000	0.008
310	images/sec: 344.7 +/- 0.5 (jitter = 7.2)	7.782	0.000	0.008
320	images/sec: 344.8 +/- 0.5 (jitter = 6.9)	7.883	0.008	0.023
330	images/sec: 344.8 +/- 0.5 (jitter = 7.0)	7.779	0.000	0.016
340	images/sec: 344.8 +/- 0.5 (jitter = 6.9)	7.857	0.008	0.023
