TensorFlow:  1.5
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 1028.8 +/- 0.0 (jitter = 0.0)	7.202	0.000	0.000
10	images/sec: 1080.5 +/- 40.7 (jitter = 135.5)	7.200	0.000	0.000
20	images/sec: 677.6 +/- 59.5 (jitter = 141.6)	7.198	0.000	0.008
30	images/sec: 605.1 +/- 56.1 (jitter = 167.9)	7.201	0.000	0.000
40	images/sec: 683.2 +/- 44.5 (jitter = 153.5)	7.198	0.000	0.000
50	images/sec: 746.1 +/- 38.7 (jitter = 194.5)	7.201	0.000	0.000
60	images/sec: 679.9 +/- 38.3 (jitter = 207.0)	7.196	0.000	0.000
70	images/sec: 725.9 +/- 34.8 (jitter = 211.4)	7.197	0.000	0.008
80	images/sec: 758.9 +/- 31.0 (jitter = 201.8)	7.199	0.000	0.000
90	images/sec: 713.0 +/- 30.4 (jitter = 192.5)	7.199	0.000	0.000
100	images/sec: 740.4 +/- 28.8 (jitter = 190.5)	7.201	0.000	0.000
110	images/sec: 765.6 +/- 26.6 (jitter = 174.6)	7.197	0.000	0.023
120	images/sec: 721.7 +/- 26.2 (jitter = 179.8)	7.195	0.000	0.000
130	images/sec: 744.2 +/- 24.7 (jitter = 167.9)	7.199	0.000	0.000
140	images/sec: 713.3 +/- 24.5 (jitter = 202.2)	7.200	0.008	0.008
150	images/sec: 732.6 +/- 22.9 (jitter = 176.2)	7.201	0.000	0.008
160	images/sec: 749.6 +/- 21.8 (jitter = 176.1)	7.199	0.000	0.000
170	images/sec: 765.6 +/- 20.6 (jitter = 174.6)	7.198	0.000	0.008
180	images/sec: 739.9 +/- 20.4 (jitter = 174.2)	7.199	0.008	0.008
190	images/sec: 756.0 +/- 19.8 (jitter = 188.9)	7.200	0.008	0.016
