TensorFlow:  1.5
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 218.3 +/- 0.0 (jitter = 0.0)	7.416	0.000	0.000
10	images/sec: 214.3 +/- 2.1 (jitter = 2.3)	7.409	0.000	0.000
20	images/sec: 215.8 +/- 1.1 (jitter = 1.9)	7.392	0.000	0.000
30	images/sec: 212.8 +/- 2.5 (jitter = 1.6)	7.362	0.000	0.000
40	images/sec: 212.9 +/- 1.9 (jitter = 1.9)	7.403	0.000	0.016
50	images/sec: 213.9 +/- 1.6 (jitter = 1.7)	7.525	0.000	0.000
60	images/sec: 213.8 +/- 1.4 (jitter = 2.1)	7.349	0.000	0.000
70	images/sec: 214.4 +/- 1.2 (jitter = 2.0)	7.365	0.000	0.000
80	images/sec: 214.5 +/- 1.1 (jitter = 2.0)	7.405	0.000	0.047
90	images/sec: 214.8 +/- 0.9 (jitter = 1.9)	7.301	0.000	0.000
100	images/sec: 214.9 +/- 0.9 (jitter = 1.8)	7.441	0.000	0.000
110	images/sec: 210.8 +/- 1.6 (jitter = 1.8)	7.419	0.000	0.000
120	images/sec: 210.9 +/- 1.4 (jitter = 1.9)	7.395	0.000	0.016
130	images/sec: 207.9 +/- 1.8 (jitter = 1.9)	7.461	0.000	0.000
140	images/sec: 208.5 +/- 1.6 (jitter = 1.9)	7.407	0.000	0.000
150	images/sec: 209.0 +/- 1.5 (jitter = 1.9)	7.382	0.000	0.000
160	images/sec: 209.0 +/- 1.5 (jitter = 2.0)	7.399	0.000	0.000
170	images/sec: 204.8 +/- 1.7 (jitter = 1.9)	7.387	0.000	0.000
180	images/sec: 204.5 +/- 1.7 (jitter = 2.0)	7.497	0.000	0.016
190	images/sec: 205.1 +/- 1.6 (jitter = 2.0)	7.395	0.000	0.000
200	images/sec: 205.3 +/- 1.5 (jitter = 2.2)	7.485	0.000	0.000
210	images/sec: 205.8 +/- 1.4 (jitter = 2.1)	7.314	0.000	0.000
220	images/sec: 206.1 +/- 1.4 (jitter = 2.1)	7.420	0.000	0.000
230	images/sec: 206.5 +/- 1.3 (jitter = 2.2)	7.372	0.000	0.000
240	images/sec: 206.8 +/- 1.3 (jitter = 2.1)	7.330	0.000	0.031
250	images/sec: 207.1 +/- 1.2 (jitter = 2.1)	7.427	0.000	0.000
260	images/sec: 207.4 +/- 1.2 (jitter = 2.1)	7.402	0.000	0.000
270	images/sec: 205.8 +/- 1.3 (jitter = 2.2)	7.284	0.016	0.016
280	images/sec: 206.1 +/- 1.2 (jitter = 2.2)	7.378	0.016	0.031
290	images/sec: 205.0 +/- 1.3 (jitter = 2.1)	7.336	0.016	0.031
300	images/sec: 204.2 +/- 1.3 (jitter = 2.2)	7.335	0.000	0.000
310	images/sec: 204.4 +/- 1.3 (jitter = 2.3)	7.412	0.000	0.000
320	images/sec: 204.7 +/- 1.2 (jitter = 2.4)	7.309	0.000	0.016
330	images/sec: 203.8 +/- 1.3 (jitter = 2.3)	7.421	0.000	0.016
340	images/sec: 204.1 +/- 1.2 (jitter = 2.3)	7.297	0.016	0.016
350	images/sec: 203.2 +/- 1.3 (jitter = 2.3)	7.410	0.000	0.000
360	images/sec: 203.5 +/- 1.2 (jitter = 2.3)	7.388	0.000	0.000
370	images/sec: 203.8 +/- 1.2 (jitter = 2.3)	7.369	0.000	0.000
380	images/sec: 204.0 +/- 1.2 (jitter = 2.3)	7.359	0.000	0.016
390	images/sec: 204.3 +/- 1.1 (jitter = 2.2)	7.350	0.000	0.000
400	images/sec: 204.5 +/- 1.1 (jitter = 2.2)	7.464	0.000	0.000
410	images/sec: 204.6 +/- 1.1 (jitter = 2.2)	7.350	0.000	0.000
420	images/sec: 204.9 +/- 1.1 (jitter = 2.2)	7.326	0.000	0.000
430	images/sec: 205.1 +/- 1.0 (jitter = 2.2)	7.343	0.000	0.000
440	images/sec: 205.3 +/- 1.0 (jitter = 2.2)	7.329	0.000	0.000
450	images/sec: 205.4 +/- 1.0 (jitter = 2.2)	7.364	0.000	0.000
460	images/sec: 205.5 +/- 1.0 (jitter = 2.3)	7.356	0.000	0.000
470	images/sec: 205.7 +/- 0.9 (jitter = 2.3)	7.355	0.000	0.000
480	images/sec: 205.8 +/- 0.9 (jitter = 2.4)	7.339	0.000	0.016
490	images/sec: 206.0 +/- 0.9 (jitter = 2.3)	7.399	0.000	0.000
500	images/sec: 206.1 +/- 0.9 (jitter = 2.4)	7.341	0.000	0.016
510	images/sec: 206.2 +/- 0.9 (jitter = 2.4)	7.382	0.000	0.000
520	images/sec: 206.3 +/- 0.9 (jitter = 2.4)	7.368	0.000	0.016
530	images/sec: 206.5 +/- 0.8 (jitter = 2.4)	7.403	0.000	0.000
540	images/sec: 206.6 +/- 0.8 (jitter = 2.5)	7.362	0.000	0.016
550	images/sec: 206.7 +/- 0.8 (jitter = 2.5)	7.365	0.000	0.016
560	images/sec: 206.9 +/- 0.8 (jitter = 2.5)	7.435	0.000	0.000
570	images/sec: 206.9 +/- 0.8 (jitter = 2.6)	7.316	0.000	0.016
580	images/sec: 207.0 +/- 0.8 (jitter = 2.6)	7.336	0.000	0.016
590	images/sec: 207.1 +/- 0.8 (jitter = 2.6)	7.330	0.000	0.000
600	images/sec: 207.2 +/- 0.8 (jitter = 2.6)	7.306	0.000	0.000
610	images/sec: 207.3 +/- 0.7 (jitter = 2.6)	7.287	0.000	0.031
620	images/sec: 206.7 +/- 0.8 (jitter = 2.6)	7.337	0.000	0.016
630	images/sec: 206.8 +/- 0.8 (jitter = 2.7)	7.360	0.000	0.000
640	images/sec: 206.8 +/- 0.7 (jitter = 2.7)	7.327	0.000	0.000
650	images/sec: 206.3 +/- 0.8 (jitter = 2.8)	7.290	0.016	0.016
660	images/sec: 206.1 +/- 0.8 (jitter = 2.8)	7.289	0.000	0.016
670	images/sec: 206.1 +/- 0.7 (jitter = 2.8)	7.316	0.000	0.000
680	images/sec: 206.2 +/- 0.7 (jitter = 2.9)	7.358	0.000	0.000
690	images/sec: 206.1 +/- 0.7 (jitter = 3.0)	7.378	0.000	0.000
700	images/sec: 206.2 +/- 0.7 (jitter = 3.0)	7.322	0.000	0.016
710	images/sec: 206.2 +/- 0.7 (jitter = 3.1)	7.418	0.000	0.000
720	images/sec: 206.0 +/- 0.7 (jitter = 3.2)	7.405	0.000	0.000
730	images/sec: 206.0 +/- 0.7 (jitter = 3.3)	7.370	0.000	0.000
740	images/sec: 206.0 +/- 0.7 (jitter = 3.3)	7.342	0.000	0.031
750	images/sec: 206.0 +/- 0.7 (jitter = 3.4)	7.417	0.000	0.000
760	images/sec: 205.9 +/- 0.7 (jitter = 3.5)	7.390	0.000	0.000
770	images/sec: 205.9 +/- 0.7 (jitter = 3.6)	7.363	0.000	0.000
780	images/sec: 205.5 +/- 0.7 (jitter = 3.6)	7.368	0.016	0.016
790	images/sec: 205.5 +/- 0.7 (jitter = 3.6)	7.309	0.000	0.000
800	images/sec: 205.4 +/- 0.7 (jitter = 3.8)	7.326	0.000	0.000
810	images/sec: 205.4 +/- 0.7 (jitter = 3.9)	7.329	0.000	0.016
820	images/sec: 205.4 +/- 0.6 (jitter = 4.0)	7.362	0.000	0.000
830	images/sec: 205.4 +/- 0.6 (jitter = 4.1)	7.364	0.000	0.016
840	images/sec: 205.2 +/- 0.6 (jitter = 4.2)	7.324	0.000	0.000
850	images/sec: 205.2 +/- 0.6 (jitter = 4.3)	7.368	0.000	0.016
860	images/sec: 204.9 +/- 0.6 (jitter = 4.4)	7.320	0.000	0.000
870	images/sec: 204.9 +/- 0.6 (jitter = 4.5)	7.356	0.000	0.000
880	images/sec: 204.9 +/- 0.6 (jitter = 4.6)	7.384	0.000	0.000
890	images/sec: 204.9 +/- 0.6 (jitter = 4.7)	7.297	0.000	0.000
900	images/sec: 204.8 +/- 0.6 (jitter = 4.7)	7.360	0.000	0.000
910	images/sec: 204.8 +/- 0.6 (jitter = 4.9)	7.298	0.000	0.000
920	images/sec: 204.8 +/- 0.6 (jitter = 5.1)	7.289	0.000	0.000
930	images/sec: 204.8 +/- 0.6 (jitter = 5.2)	7.329	0.000	0.016
940	images/sec: 204.7 +/- 0.6 (jitter = 5.3)	7.330	0.000	0.000
950	images/sec: 204.7 +/- 0.6 (jitter = 5.4)	7.327	0.000	0.000
960	images/sec: 204.7 +/- 0.6 (jitter = 5.5)	7.318	0.000	0.016
970	images/sec: 204.7 +/- 0.6 (jitter = 5.6)	7.316	0.000	0.000
980	images/sec: 204.6 +/- 0.6 (jitter = 5.7)	7.335	0.000	0.016
990	images/sec: 204.1 +/- 0.6 (jitter = 5.8)	7.358	0.000	0.000
1000	images/sec: 204.2 +/- 0.6 (jitter = 5.7)	7.346	0.016	0.031
1010	images/sec: 204.1 +/- 0.6 (jitter = 5.9)	7.310	0.016	0.031
1020	images/sec: 204.2 +/- 0.6 (jitter = 5.9)	7.345	0.000	0.000
1030	images/sec: 204.1 +/- 0.6 (jitter = 6.1)	7.295	0.000	0.000
1040	images/sec: 204.1 +/- 0.6 (jitter = 6.3)	7.400	0.000	0.016
1050	images/sec: 203.8 +/- 0.6 (jitter = 6.4)	7.352	0.000	0.000
1060	images/sec: 203.7 +/- 0.6 (jitter = 6.5)	7.352	0.000	0.016
1070	images/sec: 203.4 +/- 0.6 (jitter = 6.5)	7.349	0.000	0.000
1080	images/sec: 203.5 +/- 0.6 (jitter = 6.5)	7.287	0.000	0.000
1090	images/sec: 203.4 +/- 0.6 (jitter = 6.6)	7.296	0.000	0.031
1100	images/sec: 203.4 +/- 0.6 (jitter = 6.8)	7.406	0.000	0.000
1110	images/sec: 203.4 +/- 0.6 (jitter = 7.0)	7.325	0.000	0.016
1120	images/sec: 203.4 +/- 0.6 (jitter = 7.1)	7.323	0.000	0.000
1130	images/sec: 203.3 +/- 0.6 (jitter = 7.2)	7.314	0.000	0.000
1140	images/sec: 203.3 +/- 0.5 (jitter = 7.3)	7.299	0.000	0.000
1150	images/sec: 203.2 +/- 0.5 (jitter = 7.4)	7.351	0.000	0.000
1160	images/sec: 203.1 +/- 0.5 (jitter = 7.6)	7.341	0.000	0.000
1170	images/sec: 203.1 +/- 0.5 (jitter = 7.6)	7.326	0.000	0.016
1180	images/sec: 203.1 +/- 0.5 (jitter = 7.7)	7.346	0.000	0.000
1190	images/sec: 203.1 +/- 0.5 (jitter = 7.8)	7.311	0.016	0.016
1200	images/sec: 203.0 +/- 0.5 (jitter = 7.8)	7.354	0.000	0.016
1210	images/sec: 202.9 +/- 0.5 (jitter = 7.9)	7.343	0.000	0.000
1220	images/sec: 203.0 +/- 0.5 (jitter = 7.8)	7.288	0.000	0.000
1230	images/sec: 203.0 +/- 0.5 (jitter = 8.0)	7.304	0.000	0.000
1240	images/sec: 202.5 +/- 0.5 (jitter = 8.1)	7.363	0.000	0.000
1250	images/sec: 202.6 +/- 0.5 (jitter = 8.3)	7.318	0.000	0.016
1260	images/sec: 202.6 +/- 0.5 (jitter = 8.3)	7.340	0.000	0.016
1270	images/sec: 202.6 +/- 0.5 (jitter = 8.5)	7.329	0.016	0.016
1280	images/sec: 202.4 +/- 0.5 (jitter = 8.5)	7.334	0.000	0.000
1290	images/sec: 202.4 +/- 0.5 (jitter = 8.6)	7.397	0.000	0.016
1300	images/sec: 202.4 +/- 0.5 (jitter = 8.6)	7.294	0.000	0.016
1310	images/sec: 202.3 +/- 0.5 (jitter = 8.7)	7.314	0.000	0.000
1320	images/sec: 202.3 +/- 0.5 (jitter = 8.7)	7.312	0.000	0.000
1330	images/sec: 202.3 +/- 0.5 (jitter = 8.8)	7.223	0.000	0.031
1340	images/sec: 202.3 +/- 0.5 (jitter = 8.7)	7.335	0.000	0.000
1350	images/sec: 202.3 +/- 0.5 (jitter = 8.8)	7.319	0.000	0.000
1360	images/sec: 202.3 +/- 0.5 (jitter = 9.0)	7.280	0.000	0.016
1370	images/sec: 202.3 +/- 0.5 (jitter = 9.0)	7.431	0.000	0.016
1380	images/sec: 202.0 +/- 0.5 (jitter = 9.0)	7.393	0.000	0.000
1390	images/sec: 202.0 +/- 0.5 (jitter = 9.0)	7.344	0.000	0.016
1400	images/sec: 202.0 +/- 0.5 (jitter = 9.0)	7.350	0.000	0.000
1410	images/sec: 202.0 +/- 0.5 (jitter = 9.2)	7.350	0.000	0.016
1420	images/sec: 202.0 +/- 0.5 (jitter = 9.2)	7.308	0.000	0.016
1430	images/sec: 202.0 +/- 0.5 (jitter = 9.2)	7.318	0.016	0.016
1440	images/sec: 202.1 +/- 0.5 (jitter = 9.2)	7.376	0.000	0.016
1450	images/sec: 202.0 +/- 0.5 (jitter = 9.3)	7.309	0.000	0.000
1460	images/sec: 201.8 +/- 0.5 (jitter = 9.2)	7.354	0.000	0.016
1470	images/sec: 201.7 +/- 0.5 (jitter = 9.3)	7.306	0.000	0.000
1480	images/sec: 201.7 +/- 0.5 (jitter = 9.3)	7.223	0.000	0.031
1490	images/sec: 201.7 +/- 0.5 (jitter = 9.4)	7.359	0.016	0.016
1500	images/sec: 201.6 +/- 0.5 (jitter = 9.5)	7.303	0.000	0.000
1510	images/sec: 201.6 +/- 0.5 (jitter = 9.7)	7.275	0.000	0.000
1520	images/sec: 201.6 +/- 0.5 (jitter = 9.6)	7.370	0.000	0.000
1530	images/sec: 201.7 +/- 0.5 (jitter = 9.7)	7.386	0.000	0.016
1540	images/sec: 201.7 +/- 0.5 (jitter = 9.8)	7.346	0.000	0.000
1550	images/sec: 201.7 +/- 0.5 (jitter = 9.8)	7.320	0.000	0.000
1560	images/sec: 201.6 +/- 0.5 (jitter = 9.9)	7.391	0.000	0.000
1570	images/sec: 201.6 +/- 0.5 (jitter = 9.9)	7.360	0.000	0.000
1580	images/sec: 201.7 +/- 0.5 (jitter = 9.9)	7.324	0.000	0.031
1590	images/sec: 201.6 +/- 0.5 (jitter = 9.9)	7.306	0.000	0.000
1600	images/sec: 201.6 +/- 0.5 (jitter = 10.0)	7.309	0.000	0.000
1610	images/sec: 201.5 +/- 0.5 (jitter = 10.0)	7.314	0.000	0.016
1620	images/sec: 201.6 +/- 0.5 (jitter = 10.0)	7.399	0.000	0.016
1630	images/sec: 201.6 +/- 0.4 (jitter = 10.1)	7.248	0.000	0.016
1640	images/sec: 201.6 +/- 0.4 (jitter = 10.1)	7.337	0.000	0.016
1650	images/sec: 201.5 +/- 0.4 (jitter = 10.1)	7.324	0.000	0.000
1660	images/sec: 201.5 +/- 0.4 (jitter = 10.2)	7.333	0.000	0.000
1670	images/sec: 201.4 +/- 0.4 (jitter = 10.3)	7.365	0.000	0.000
1680	images/sec: 201.4 +/- 0.4 (jitter = 10.3)	7.278	0.000	0.000
1690	images/sec: 201.4 +/- 0.4 (jitter = 10.3)	7.286	0.016	0.031
1700	images/sec: 201.4 +/- 0.4 (jitter = 10.3)	7.348	0.000	0.000
1710	images/sec: 201.4 +/- 0.4 (jitter = 10.3)	7.316	0.000	0.000
1720	images/sec: 201.5 +/- 0.4 (jitter = 10.4)	7.319	0.016	0.016
1730	images/sec: 201.4 +/- 0.4 (jitter = 10.4)	7.337	0.000	0.031
1740	images/sec: 201.4 +/- 0.4 (jitter = 10.4)	7.384	0.000	0.000
1750	images/sec: 201.4 +/- 0.4 (jitter = 10.3)	7.340	0.000	0.000
1760	images/sec: 201.4 +/- 0.4 (jitter = 10.4)	7.269	0.000	0.000
