TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 349.3 +/- 0.0 (jitter = 0.0)	9.008	0.000	0.008
10	images/sec: 348.3 +/- 0.7 (jitter = 2.8)	8.790	0.000	0.000
20	images/sec: 330.4 +/- 8.8 (jitter = 2.7)	8.222	0.000	0.016
30	images/sec: 336.0 +/- 5.9 (jitter = 1.9)	8.112	0.008	0.008
40	images/sec: 339.0 +/- 4.4 (jitter = 2.1)	7.985	0.000	0.000
50	images/sec: 340.7 +/- 3.6 (jitter = 2.0)	8.094	0.000	0.008
60	images/sec: 336.2 +/- 4.1 (jitter = 2.5)	8.046	0.000	0.000
70	images/sec: 337.8 +/- 3.5 (jitter = 2.3)	7.942	0.000	0.000
80	images/sec: 339.0 +/- 3.1 (jitter = 2.3)	8.101	0.000	0.016
90	images/sec: 339.8 +/- 2.8 (jitter = 2.4)	7.994	0.000	0.000
100	images/sec: 340.4 +/- 2.5 (jitter = 2.8)	7.894	0.000	0.008
110	images/sec: 340.6 +/- 2.3 (jitter = 3.2)	8.015	0.000	0.000
120	images/sec: 340.0 +/- 2.1 (jitter = 3.7)	8.084	0.000	0.008
130	images/sec: 339.6 +/- 1.9 (jitter = 4.4)	7.853	0.008	0.008
140	images/sec: 337.0 +/- 2.2 (jitter = 5.2)	7.946	0.000	0.000
150	images/sec: 336.3 +/- 2.1 (jitter = 6.6)	7.941	0.000	0.000
160	images/sec: 335.9 +/- 1.9 (jitter = 7.1)	7.800	0.000	0.000
170	images/sec: 335.4 +/- 1.8 (jitter = 8.1)	7.870	0.000	0.016
180	images/sec: 334.9 +/- 1.8 (jitter = 9.4)	7.853	0.000	0.008
190	images/sec: 333.2 +/- 1.9 (jitter = 11.4)	7.845	0.000	0.023
200	images/sec: 332.6 +/- 1.8 (jitter = 12.3)	7.855	0.000	0.000
210	images/sec: 332.2 +/- 1.7 (jitter = 13.7)	7.786	0.000	0.000
220	images/sec: 331.8 +/- 1.6 (jitter = 14.5)	7.892	0.000	0.000
230	images/sec: 331.3 +/- 1.6 (jitter = 14.9)	7.774	0.000	0.016
240	images/sec: 331.0 +/- 1.5 (jitter = 15.9)	7.942	0.000	0.008
250	images/sec: 330.6 +/- 1.5 (jitter = 15.9)	7.795	0.000	0.008
260	images/sec: 330.2 +/- 1.4 (jitter = 16.3)	7.861	0.008	0.016
270	images/sec: 329.9 +/- 1.4 (jitter = 15.9)	7.851	0.000	0.008
280	images/sec: 329.6 +/- 1.3 (jitter = 14.8)	7.835	0.008	0.016
290	images/sec: 328.6 +/- 1.4 (jitter = 14.1)	7.849	0.000	0.000
300	images/sec: 328.4 +/- 1.3 (jitter = 13.2)	7.783	0.000	0.000
310	images/sec: 328.0 +/- 1.3 (jitter = 13.1)	7.807	0.000	0.000
320	images/sec: 327.3 +/- 1.3 (jitter = 12.9)	7.853	0.000	0.023
330	images/sec: 327.1 +/- 1.3 (jitter = 12.2)	7.872	0.000	0.016
340	images/sec: 326.9 +/- 1.2 (jitter = 11.7)	7.693	0.000	0.023
350	images/sec: 326.8 +/- 1.2 (jitter = 11.2)	7.782	0.000	0.008
360	images/sec: 326.7 +/- 1.2 (jitter = 10.9)	7.797	0.000	0.016
370	images/sec: 325.0 +/- 1.3 (jitter = 10.0)	7.757	0.000	0.023
380	images/sec: 325.0 +/- 1.2 (jitter = 9.7)	7.838	0.000	0.016
390	images/sec: 324.8 +/- 1.2 (jitter = 9.6)	7.860	0.000	0.016
400	images/sec: 324.7 +/- 1.2 (jitter = 9.4)	7.750	0.000	0.000
410	images/sec: 324.7 +/- 1.2 (jitter = 8.9)	7.748	0.000	0.008
420	images/sec: 324.3 +/- 1.2 (jitter = 8.2)	7.723	0.016	0.023
430	images/sec: 323.9 +/- 1.1 (jitter = 8.0)	7.782	0.000	0.023
440	images/sec: 323.9 +/- 1.1 (jitter = 8.0)	7.788	0.000	0.000
450	images/sec: 323.8 +/- 1.1 (jitter = 7.7)	7.733	0.008	0.031
460	images/sec: 323.8 +/- 1.1 (jitter = 7.4)	7.755	0.008	0.016
470	images/sec: 323.4 +/- 1.1 (jitter = 7.3)	7.738	0.000	0.016
480	images/sec: 323.4 +/- 1.1 (jitter = 7.2)	7.764	0.000	0.008
490	images/sec: 323.2 +/- 1.1 (jitter = 7.2)	7.722	0.000	0.016
500	images/sec: 323.2 +/- 1.0 (jitter = 6.9)	7.684	0.008	0.039
510	images/sec: 323.1 +/- 1.0 (jitter = 6.9)	7.776	0.000	0.008
520	images/sec: 323.1 +/- 1.0 (jitter = 6.7)	7.690	0.000	0.023
530	images/sec: 323.1 +/- 1.0 (jitter = 6.4)	7.703	0.000	0.008
540	images/sec: 323.0 +/- 1.0 (jitter = 6.4)	7.678	0.008	0.016
550	images/sec: 323.0 +/- 0.9 (jitter = 6.3)	7.774	0.000	0.000
560	images/sec: 322.6 +/- 1.0 (jitter = 6.3)	7.824	0.008	0.016
570	images/sec: 322.5 +/- 0.9 (jitter = 6.2)	7.595	0.008	0.023
580	images/sec: 322.5 +/- 0.9 (jitter = 6.2)	7.656	0.008	0.039
590	images/sec: 322.4 +/- 0.9 (jitter = 6.2)	7.735	0.008	0.008
600	images/sec: 321.5 +/- 1.0 (jitter = 6.2)	7.732	0.008	0.023
610	images/sec: 321.5 +/- 0.9 (jitter = 6.1)	7.762	0.016	0.023
620	images/sec: 321.5 +/- 0.9 (jitter = 6.1)	7.672	0.000	0.023
630	images/sec: 321.1 +/- 0.9 (jitter = 6.1)	7.649	0.000	0.047
640	images/sec: 321.1 +/- 0.9 (jitter = 6.0)	7.726	0.000	0.008
