TensorFlow:  1.5
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 1706.8 +/- 0.0 (jitter = 0.0)	7.196	0.000	0.000
10	images/sec: 84.9 +/- 235.0 (jitter = 435.6)	7.195	0.000	0.000
20	images/sec: 161.8 +/- 126.9 (jitter = 441.2)	7.197	0.000	0.016
30	images/sec: 232.8 +/- 92.4 (jitter = 430.1)	7.195	0.000	0.000
40	images/sec: 296.3 +/- 80.6 (jitter = 458.1)	7.200	0.000	0.023
50	images/sec: 358.7 +/- 70.2 (jitter = 493.1)	7.197	0.000	0.000
60	images/sec: 417.4 +/- 63.7 (jitter = 488.9)	7.201	0.000	0.000
70	images/sec: 470.6 +/- 56.2 (jitter = 518.5)	7.201	0.000	0.000
80	images/sec: 518.6 +/- 52.0 (jitter = 499.0)	7.198	0.000	0.000
90	images/sec: 565.5 +/- 48.4 (jitter = 472.8)	7.201	0.000	0.000
100	images/sec: 606.1 +/- 49.0 (jitter = 494.6)	7.198	0.000	0.000
110	images/sec: 402.8 +/- 49.6 (jitter = 544.1)	7.198	0.000	0.000
120	images/sec: 431.5 +/- 45.8 (jitter = 511.6)	7.201	0.000	0.016
130	images/sec: 458.4 +/- 44.0 (jitter = 487.6)	7.198	0.000	0.000
140	images/sec: 485.4 +/- 42.0 (jitter = 476.9)	7.200	0.008	0.008
150	images/sec: 511.5 +/- 40.2 (jitter = 450.9)	7.197	0.000	0.008
160	images/sec: 535.2 +/- 38.9 (jitter = 478.7)	7.194	0.000	0.008
170	images/sec: 559.5 +/- 37.5 (jitter = 447.2)	7.198	0.008	0.008
180	images/sec: 582.9 +/- 35.9 (jitter = 447.2)	7.197	0.000	0.000
190	images/sec: 605.7 +/- 35.3 (jitter = 461.0)	7.200	0.000	0.000
200	images/sec: 628.4 +/- 34.1 (jitter = 469.2)	7.200	0.000	0.008
210	images/sec: 485.5 +/- 34.6 (jitter = 467.7)	7.201	0.000	0.016
220	images/sec: 504.0 +/- 33.8 (jitter = 459.0)	7.199	0.000	0.016
230	images/sec: 521.9 +/- 32.9 (jitter = 447.7)	7.198	0.000	0.000
240	images/sec: 539.7 +/- 32.0 (jitter = 439.2)	7.194	0.000	0.016
250	images/sec: 557.1 +/- 31.1 (jitter = 417.4)	7.200	0.008	0.008
260	images/sec: 574.2 +/- 30.2 (jitter = 395.3)	7.199	0.000	0.008
270	images/sec: 590.5 +/- 29.4 (jitter = 395.3)	7.200	0.000	0.016
280	images/sec: 606.1 +/- 28.7 (jitter = 404.1)	7.200	0.000	0.016
290	images/sec: 621.4 +/- 28.2 (jitter = 406.9)	7.197	0.000	0.000
300	images/sec: 636.9 +/- 27.6 (jitter = 397.5)	7.197	0.008	0.016
310	images/sec: 534.6 +/- 27.8 (jitter = 397.5)	7.198	0.000	0.016
320	images/sec: 547.9 +/- 27.1 (jitter = 385.7)	7.202	0.000	0.000
330	images/sec: 560.9 +/- 26.6 (jitter = 372.7)	7.201	0.000	0.000
340	images/sec: 573.7 +/- 26.1 (jitter = 358.7)	7.199	0.000	0.008
350	images/sec: 586.6 +/- 25.6 (jitter = 339.1)	7.199	0.000	0.000
360	images/sec: 599.4 +/- 25.1 (jitter = 322.7)	7.196	0.000	0.000
370	images/sec: 611.9 +/- 24.6 (jitter = 311.6)	7.198	0.000	0.000
380	images/sec: 624.1 +/- 24.1 (jitter = 305.5)	7.197	0.000	0.008
390	images/sec: 636.2 +/- 23.5 (jitter = 298.5)	7.198	0.000	0.000
400	images/sec: 541.1 +/- 23.9 (jitter = 293.9)	7.197	0.008	0.016
410	images/sec: 551.3 +/- 23.4 (jitter = 290.4)	7.196	0.000	0.000
420	images/sec: 561.7 +/- 23.0 (jitter = 283.6)	7.197	0.000	0.000
430	images/sec: 571.9 +/- 22.5 (jitter = 273.1)	7.197	0.000	0.000
440	images/sec: 581.6 +/- 22.2 (jitter = 275.6)	7.195	0.000	0.000
450	images/sec: 591.4 +/- 21.8 (jitter = 273.8)	7.193	0.000	0.000
460	images/sec: 601.1 +/- 21.4 (jitter = 266.8)	7.200	0.000	0.000
470	images/sec: 610.6 +/- 21.0 (jitter = 266.7)	7.195	0.000	0.008
480	images/sec: 620.4 +/- 20.8 (jitter = 263.0)	7.194	0.000	0.000
490	images/sec: 630.1 +/- 20.4 (jitter = 257.7)	7.200	0.000	0.000
500	images/sec: 551.7 +/- 20.7 (jitter = 259.6)	7.203	0.000	0.000
510	images/sec: 560.0 +/- 20.4 (jitter = 259.1)	7.204	0.008	0.008
520	images/sec: 568.1 +/- 20.1 (jitter = 258.8)	7.200	0.000	0.000
530	images/sec: 576.6 +/- 19.8 (jitter = 251.5)	7.196	0.000	0.000
540	images/sec: 584.6 +/- 19.6 (jitter = 248.1)	7.193	0.000	0.000
550	images/sec: 592.7 +/- 19.3 (jitter = 248.3)	7.197	0.000	0.016
560	images/sec: 600.3 +/- 19.1 (jitter = 252.6)	7.201	0.008	0.008
570	images/sec: 607.8 +/- 19.0 (jitter = 252.8)	7.198	0.000	0.000
580	images/sec: 614.2 +/- 19.1 (jitter = 257.9)	7.197	0.000	0.023
590	images/sec: 622.0 +/- 18.8 (jitter = 254.1)	7.196	0.000	0.000
600	images/sec: 552.8 +/- 19.0 (jitter = 257.0)	7.201	0.000	0.000
610	images/sec: 559.7 +/- 18.8 (jitter = 258.6)	7.202	0.000	0.000
620	images/sec: 566.8 +/- 18.5 (jitter = 250.9)	7.204	0.000	0.000
630	images/sec: 573.6 +/- 18.2 (jitter = 251.9)	7.199	0.000	0.008
640	images/sec: 580.5 +/- 18.0 (jitter = 249.2)	7.201	0.000	0.008
650	images/sec: 586.9 +/- 17.9 (jitter = 253.2)	7.200	0.000	0.008
660	images/sec: 593.7 +/- 17.6 (jitter = 251.9)	7.198	0.000	0.008
670	images/sec: 600.4 +/- 17.4 (jitter = 247.3)	7.194	0.000	0.000
680	images/sec: 607.0 +/- 17.2 (jitter = 245.8)	7.198	0.000	0.008
690	images/sec: 613.6 +/- 17.0 (jitter = 243.3)	7.201	0.008	0.008
700	images/sec: 561.9 +/- 17.1 (jitter = 242.9)	7.197	0.000	0.000
710	images/sec: 568.0 +/- 16.9 (jitter = 239.7)	7.197	0.008	0.016
720	images/sec: 574.1 +/- 16.7 (jitter = 239.1)	7.200	0.008	0.008
730	images/sec: 580.1 +/- 16.5 (jitter = 239.1)	7.197	0.000	0.008
740	images/sec: 586.1 +/- 16.3 (jitter = 236.4)	7.196	0.008	0.016
750	images/sec: 592.1 +/- 16.2 (jitter = 230.8)	7.192	0.000	0.000
760	images/sec: 598.1 +/- 16.0 (jitter = 231.5)	7.198	0.000	0.000
770	images/sec: 603.9 +/- 15.8 (jitter = 230.9)	7.198	0.008	0.023
780	images/sec: 609.8 +/- 15.6 (jitter = 226.0)	7.201	0.000	0.008
790	images/sec: 574.2 +/- 15.7 (jitter = 223.5)	7.200	0.008	0.016
