TensorFlow:  1.5
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 211.5 +/- 0.0 (jitter = 0.0)	7.403	0.000	0.000
10	images/sec: 211.2 +/- 1.5 (jitter = 5.1)	7.476	0.000	0.000
20	images/sec: 211.2 +/- 1.3 (jitter = 3.3)	7.421	0.000	0.000
30	images/sec: 89.8 +/- 6.8 (jitter = 3.4)	7.405	0.000	0.016
40	images/sec: 105.0 +/- 5.2 (jitter = 4.0)	7.358	0.000	0.016
50	images/sec: 116.7 +/- 4.2 (jitter = 4.4)	7.352	0.000	0.000
60	images/sec: 126.2 +/- 3.5 (jitter = 5.4)	7.367	0.000	0.000
70	images/sec: 134.0 +/- 3.0 (jitter = 4.9)	7.348	0.000	0.000
80	images/sec: 140.5 +/- 2.6 (jitter = 4.9)	7.377	0.000	0.000
90	images/sec: 145.9 +/- 2.4 (jitter = 5.1)	7.365	0.000	0.000
100	images/sec: 150.7 +/- 2.1 (jitter = 4.6)	7.429	0.000	0.000
110	images/sec: 154.8 +/- 1.9 (jitter = 4.6)	7.393	0.000	0.016
120	images/sec: 158.4 +/- 1.8 (jitter = 4.5)	7.372	0.016	0.031
130	images/sec: 161.7 +/- 1.7 (jitter = 4.4)	7.383	0.000	0.000
140	images/sec: 164.6 +/- 1.5 (jitter = 4.2)	7.353	0.000	0.000
150	images/sec: 167.0 +/- 1.4 (jitter = 4.2)	7.396	0.000	0.000
160	images/sec: 169.3 +/- 1.4 (jitter = 3.9)	7.387	0.000	0.016
170	images/sec: 171.3 +/- 1.3 (jitter = 4.1)	7.375	0.000	0.000
180	images/sec: 173.2 +/- 1.2 (jitter = 3.9)	7.409	0.000	0.000
190	images/sec: 174.9 +/- 1.2 (jitter = 3.9)	7.345	0.000	0.016
200	images/sec: 176.5 +/- 1.1 (jitter = 3.9)	7.463	0.000	0.000
210	images/sec: 178.0 +/- 1.1 (jitter = 3.7)	7.373	0.000	0.000
220	images/sec: 179.4 +/- 1.0 (jitter = 3.8)	7.404	0.000	0.000
230	images/sec: 157.2 +/- 1.3 (jitter = 3.9)	7.392	0.000	0.000
240	images/sec: 158.9 +/- 1.3 (jitter = 4.0)	7.355	0.000	0.016
250	images/sec: 160.5 +/- 1.2 (jitter = 4.0)	7.325	0.016	0.016
260	images/sec: 162.1 +/- 1.2 (jitter = 4.0)	7.351	0.000	0.000
270	images/sec: 163.6 +/- 1.1 (jitter = 3.8)	7.396	0.000	0.000
280	images/sec: 164.9 +/- 1.1 (jitter = 4.0)	7.340	0.000	0.000
290	images/sec: 166.2 +/- 1.1 (jitter = 3.9)	7.359	0.000	0.000
300	images/sec: 167.4 +/- 1.0 (jitter = 4.0)	7.333	0.000	0.000
310	images/sec: 168.6 +/- 1.0 (jitter = 4.0)	7.417	0.000	0.000
320	images/sec: 169.6 +/- 1.0 (jitter = 4.0)	7.404	0.000	0.016
330	images/sec: 170.7 +/- 0.9 (jitter = 4.0)	7.328	0.000	0.031
340	images/sec: 171.7 +/- 0.9 (jitter = 4.0)	7.360	0.000	0.016
350	images/sec: 172.6 +/- 0.9 (jitter = 3.9)	7.407	0.000	0.000
360	images/sec: 173.5 +/- 0.9 (jitter = 3.9)	7.385	0.000	0.000
370	images/sec: 174.4 +/- 0.8 (jitter = 3.8)	7.404	0.000	0.000
380	images/sec: 175.2 +/- 0.8 (jitter = 3.8)	7.385	0.000	0.000
390	images/sec: 175.9 +/- 0.8 (jitter = 3.8)	7.351	0.000	0.000
400	images/sec: 176.7 +/- 0.8 (jitter = 3.7)	7.360	0.000	0.000
410	images/sec: 177.3 +/- 0.8 (jitter = 3.7)	7.393	0.000	0.000
420	images/sec: 167.3 +/- 0.9 (jitter = 3.7)	7.316	0.000	0.031
430	images/sec: 168.1 +/- 0.9 (jitter = 3.7)	7.386	0.000	0.000
440	images/sec: 168.9 +/- 0.9 (jitter = 3.6)	7.304	0.000	0.016
450	images/sec: 169.7 +/- 0.8 (jitter = 3.6)	7.330	0.016	0.016
460	images/sec: 170.4 +/- 0.8 (jitter = 3.6)	7.376	0.000	0.016
470	images/sec: 171.1 +/- 0.8 (jitter = 3.6)	7.391	0.000	0.000
480	images/sec: 171.7 +/- 0.8 (jitter = 3.7)	7.351	0.000	0.000
490	images/sec: 172.4 +/- 0.8 (jitter = 3.7)	7.292	0.000	0.000
500	images/sec: 173.0 +/- 0.8 (jitter = 3.7)	7.239	0.000	0.016
510	images/sec: 173.6 +/- 0.7 (jitter = 3.8)	7.361	0.000	0.016
520	images/sec: 174.2 +/- 0.7 (jitter = 3.8)	7.318	0.000	0.000
530	images/sec: 174.8 +/- 0.7 (jitter = 3.7)	7.357	0.000	0.000
540	images/sec: 175.3 +/- 0.7 (jitter = 3.8)	7.366	0.000	0.000
550	images/sec: 175.8 +/- 0.7 (jitter = 3.9)	7.352	0.000	0.016
560	images/sec: 176.2 +/- 0.7 (jitter = 3.9)	7.361	0.016	0.031
570	images/sec: 176.7 +/- 0.7 (jitter = 4.1)	7.394	0.000	0.000
580	images/sec: 177.1 +/- 0.7 (jitter = 4.2)	7.353	0.000	0.000
590	images/sec: 177.4 +/- 0.7 (jitter = 4.3)	7.383	0.000	0.000
600	images/sec: 177.8 +/- 0.6 (jitter = 4.5)	7.376	0.000	0.000
610	images/sec: 178.1 +/- 0.6 (jitter = 4.6)	7.323	0.000	0.000
620	images/sec: 170.1 +/- 0.7 (jitter = 4.6)	7.374	0.000	0.000
630	images/sec: 170.6 +/- 0.7 (jitter = 4.6)	7.425	0.000	0.000
640	images/sec: 171.1 +/- 0.7 (jitter = 4.6)	7.355	0.000	0.000
650	images/sec: 171.6 +/- 0.7 (jitter = 4.6)	7.314	0.016	0.016
660	images/sec: 172.1 +/- 0.7 (jitter = 4.5)	7.304	0.000	0.000
670	images/sec: 172.6 +/- 0.7 (jitter = 4.6)	7.331	0.000	0.000
680	images/sec: 172.9 +/- 0.7 (jitter = 4.6)	7.338	0.000	0.000
690	images/sec: 173.4 +/- 0.6 (jitter = 4.5)	7.354	0.000	0.000
700	images/sec: 173.8 +/- 0.6 (jitter = 4.5)	7.318	0.000	0.000
710	images/sec: 174.1 +/- 0.6 (jitter = 4.7)	7.348	0.000	0.000
720	images/sec: 174.5 +/- 0.6 (jitter = 4.9)	7.407	0.000	0.000
730	images/sec: 174.7 +/- 0.6 (jitter = 5.0)	7.312	0.000	0.000
740	images/sec: 175.1 +/- 0.6 (jitter = 5.1)	7.340	0.000	0.000
750	images/sec: 175.4 +/- 0.6 (jitter = 5.3)	7.418	0.000	0.016
760	images/sec: 175.6 +/- 0.6 (jitter = 5.3)	7.309	0.000	0.000
770	images/sec: 176.0 +/- 0.6 (jitter = 5.5)	7.362	0.000	0.000
780	images/sec: 176.2 +/- 0.6 (jitter = 5.6)	7.351	0.000	0.000
790	images/sec: 176.5 +/- 0.6 (jitter = 5.8)	7.371	0.000	0.000
800	images/sec: 176.7 +/- 0.6 (jitter = 5.9)	7.358	0.000	0.016
810	images/sec: 167.8 +/- 0.6 (jitter = 6.0)	7.362	0.000	0.000
820	images/sec: 168.2 +/- 0.6 (jitter = 5.9)	7.322	0.000	0.016
830	images/sec: 168.6 +/- 0.6 (jitter = 5.9)	7.279	0.016	0.016
840	images/sec: 169.0 +/- 0.6 (jitter = 5.8)	7.330	0.000	0.000
850	images/sec: 169.4 +/- 0.6 (jitter = 5.8)	7.371	0.000	0.000
860	images/sec: 169.8 +/- 0.6 (jitter = 5.8)	7.362	0.000	0.000
870	images/sec: 170.2 +/- 0.6 (jitter = 5.7)	7.279	0.016	0.016
880	images/sec: 170.6 +/- 0.6 (jitter = 5.6)	7.333	0.000	0.000
890	images/sec: 170.9 +/- 0.6 (jitter = 5.5)	7.300	0.000	0.000
900	images/sec: 171.3 +/- 0.6 (jitter = 5.5)	7.340	0.000	0.000
910	images/sec: 171.6 +/- 0.6 (jitter = 5.5)	7.329	0.000	0.031
920	images/sec: 171.9 +/- 0.5 (jitter = 5.5)	7.344	0.016	0.016
930	images/sec: 172.3 +/- 0.5 (jitter = 5.6)	7.320	0.016	0.016
940	images/sec: 172.5 +/- 0.5 (jitter = 5.7)	7.347	0.000	0.000
950	images/sec: 172.8 +/- 0.5 (jitter = 5.8)	7.324	0.000	0.000
960	images/sec: 173.1 +/- 0.5 (jitter = 5.9)	7.299	0.000	0.000
970	images/sec: 173.3 +/- 0.5 (jitter = 6.0)	7.335	0.000	0.000
980	images/sec: 173.5 +/- 0.5 (jitter = 6.1)	7.313	0.000	0.000
990	images/sec: 173.7 +/- 0.5 (jitter = 6.3)	7.326	0.000	0.000
1000	images/sec: 174.0 +/- 0.5 (jitter = 6.4)	7.347	0.000	0.000
1010	images/sec: 168.7 +/- 0.5 (jitter = 6.4)	7.383	0.000	0.000
1020	images/sec: 169.0 +/- 0.5 (jitter = 6.4)	7.359	0.000	0.000
1030	images/sec: 169.4 +/- 0.5 (jitter = 6.3)	7.347	0.000	0.016
1040	images/sec: 169.7 +/- 0.5 (jitter = 6.3)	7.374	0.000	0.016
1050	images/sec: 170.0 +/- 0.5 (jitter = 6.2)	7.341	0.000	0.016
1060	images/sec: 170.3 +/- 0.5 (jitter = 6.1)	7.447	0.000	0.000
1070	images/sec: 170.7 +/- 0.5 (jitter = 6.0)	7.325	0.000	0.000
1080	images/sec: 170.9 +/- 0.5 (jitter = 6.1)	7.344	0.000	0.000
1090	images/sec: 171.2 +/- 0.5 (jitter = 6.2)	7.284	0.000	0.016
1100	images/sec: 171.4 +/- 0.5 (jitter = 6.3)	7.311	0.000	0.000
1110	images/sec: 171.6 +/- 0.5 (jitter = 6.2)	7.333	0.000	0.000
1120	images/sec: 171.9 +/- 0.5 (jitter = 6.3)	7.370	0.016	0.016
1130	images/sec: 172.1 +/- 0.5 (jitter = 6.3)	7.377	0.000	0.016
1140	images/sec: 172.3 +/- 0.5 (jitter = 6.4)	7.330	0.000	0.000
1150	images/sec: 172.5 +/- 0.5 (jitter = 6.5)	7.368	0.000	0.000
1160	images/sec: 172.7 +/- 0.5 (jitter = 6.6)	7.336	0.000	0.000
1170	images/sec: 172.9 +/- 0.5 (jitter = 6.7)	7.404	0.000	0.000
1180	images/sec: 173.1 +/- 0.5 (jitter = 6.7)	7.319	0.000	0.000
