TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 342.4 +/- 0.0 (jitter = 0.0)	9.830	0.000	0.000
10	images/sec: 75.1 +/- 30.8 (jitter = 18.4)	8.330	0.008	0.016
20	images/sec: 121.5 +/- 16.0 (jitter = 19.9)	8.467	0.000	0.008
30	images/sec: 153.4 +/- 10.7 (jitter = 15.9)	8.243	0.000	0.000
40	images/sec: 177.6 +/- 8.3 (jitter = 18.4)	8.064	0.000	0.008
50	images/sec: 195.9 +/- 6.7 (jitter = 16.1)	8.025	0.000	0.008
60	images/sec: 210.5 +/- 5.7 (jitter = 17.1)	8.132	0.008	0.008
70	images/sec: 221.9 +/- 4.9 (jitter = 16.1)	8.001	0.000	0.008
80	images/sec: 231.8 +/- 4.3 (jitter = 16.6)	7.899	0.000	0.000
90	images/sec: 239.9 +/- 3.9 (jitter = 15.6)	7.937	0.000	0.008
100	images/sec: 247.1 +/- 3.5 (jitter = 13.6)	7.972	0.000	0.000
110	images/sec: 210.3 +/- 4.3 (jitter = 13.9)	7.822	0.000	0.023
120	images/sec: 216.9 +/- 4.0 (jitter = 13.8)	7.916	0.000	0.000
130	images/sec: 222.7 +/- 3.7 (jitter = 13.6)	7.843	0.000	0.000
140	images/sec: 228.3 +/- 3.4 (jitter = 13.6)	7.861	0.000	0.008
150	images/sec: 233.2 +/- 3.2 (jitter = 14.2)	7.857	0.000	0.016
160	images/sec: 237.8 +/- 3.0 (jitter = 13.1)	7.950	0.000	0.008
170	images/sec: 241.9 +/- 2.9 (jitter = 14.4)	7.854	0.008	0.008
180	images/sec: 245.7 +/- 2.7 (jitter = 13.8)	8.011	0.000	0.000
190	images/sec: 249.1 +/- 2.6 (jitter = 14.4)	7.855	0.000	0.016
200	images/sec: 252.3 +/- 2.5 (jitter = 14.2)	7.907	0.000	0.000
210	images/sec: 227.6 +/- 2.8 (jitter = 14.1)	7.819	0.008	0.016
220	images/sec: 231.0 +/- 2.7 (jitter = 13.9)	7.773	0.008	0.008
230	images/sec: 234.4 +/- 2.6 (jitter = 14.1)	7.862	0.000	0.023
240	images/sec: 237.5 +/- 2.5 (jitter = 14.3)	7.824	0.000	0.000
250	images/sec: 240.4 +/- 2.4 (jitter = 13.5)	7.962	0.000	0.000
260	images/sec: 243.2 +/- 2.3 (jitter = 12.8)	7.837	0.000	0.008
270	images/sec: 245.7 +/- 2.2 (jitter = 12.6)	7.857	0.000	0.008
280	images/sec: 248.2 +/- 2.1 (jitter = 12.5)	7.872	0.000	0.000
290	images/sec: 250.5 +/- 2.1 (jitter = 12.5)	7.854	0.000	0.000
300	images/sec: 252.7 +/- 2.0 (jitter = 12.3)	7.855	0.000	0.008
310	images/sec: 238.7 +/- 2.2 (jitter = 12.2)	7.806	0.000	0.000
320	images/sec: 240.9 +/- 2.1 (jitter = 12.3)	7.864	0.008	0.016
330	images/sec: 243.1 +/- 2.1 (jitter = 12.1)	7.841	0.000	0.008
340	images/sec: 245.2 +/- 2.0 (jitter = 11.8)	7.815	0.000	0.023
350	images/sec: 247.2 +/- 2.0 (jitter = 11.6)	7.840	0.000	0.016
360	images/sec: 249.2 +/- 1.9 (jitter = 11.7)	7.776	0.008	0.016
370	images/sec: 251.0 +/- 1.9 (jitter = 11.3)	7.825	0.008	0.008
380	images/sec: 252.7 +/- 1.8 (jitter = 11.2)	7.799	0.000	0.008
390	images/sec: 254.4 +/- 1.8 (jitter = 11.1)	7.804	0.000	0.000
400	images/sec: 240.1 +/- 1.9 (jitter = 11.1)	7.873	0.000	0.008
410	images/sec: 241.7 +/- 1.9 (jitter = 11.1)	7.871	0.000	0.008
420	images/sec: 243.4 +/- 1.8 (jitter = 11.0)	7.841	0.000	0.000
430	images/sec: 245.0 +/- 1.8 (jitter = 10.9)	7.824	0.008	0.016
440	images/sec: 246.6 +/- 1.8 (jitter = 10.4)	7.784	0.000	0.000
450	images/sec: 248.1 +/- 1.7 (jitter = 10.1)	7.796	0.008	0.016
460	images/sec: 249.5 +/- 1.7 (jitter = 10.1)	7.852	0.000	0.023
470	images/sec: 251.0 +/- 1.6 (jitter = 9.9)	7.771	0.000	0.000
480	images/sec: 252.3 +/- 1.6 (jitter = 9.8)	7.801	0.000	0.016
490	images/sec: 253.6 +/- 1.6 (jitter = 10.0)	7.822	0.000	0.000
500	images/sec: 242.1 +/- 1.7 (jitter = 10.3)	7.892	0.000	0.000
510	images/sec: 243.5 +/- 1.7 (jitter = 10.3)	7.776	0.008	0.016
520	images/sec: 244.8 +/- 1.6 (jitter = 10.2)	7.756	0.008	0.055
530	images/sec: 246.1 +/- 1.6 (jitter = 10.3)	7.783	0.008	0.008
540	images/sec: 247.4 +/- 1.6 (jitter = 9.8)	7.843	0.000	0.000
550	images/sec: 248.6 +/- 1.5 (jitter = 10.0)	7.901	0.000	0.008
560	images/sec: 249.8 +/- 1.5 (jitter = 10.0)	7.757	0.000	0.008
570	images/sec: 250.8 +/- 1.5 (jitter = 10.4)	7.770	0.000	0.008
580	images/sec: 251.9 +/- 1.5 (jitter = 10.7)	7.730	0.000	0.016
590	images/sec: 252.9 +/- 1.4 (jitter = 11.0)	7.803	0.000	0.016
600	images/sec: 243.2 +/- 1.5 (jitter = 11.2)	7.776	0.000	0.000
610	images/sec: 244.4 +/- 1.5 (jitter = 11.2)	7.726	0.000	0.000
620	images/sec: 245.5 +/- 1.5 (jitter = 11.0)	7.768	0.000	0.000
630	images/sec: 246.6 +/- 1.4 (jitter = 11.0)	7.701	0.000	0.023
640	images/sec: 247.6 +/- 1.4 (jitter = 11.1)	7.762	0.000	0.016
650	images/sec: 248.6 +/- 1.4 (jitter = 11.0)	7.773	0.000	0.008
660	images/sec: 249.5 +/- 1.4 (jitter = 11.2)	7.795	0.000	0.016
670	images/sec: 250.4 +/- 1.4 (jitter = 11.4)	7.775	0.000	0.008
680	images/sec: 251.3 +/- 1.3 (jitter = 11.5)	7.762	0.008	0.023
690	images/sec: 252.2 +/- 1.3 (jitter = 11.8)	7.721	0.000	0.008
700	images/sec: 245.7 +/- 1.4 (jitter = 11.8)	7.796	0.008	0.031
710	images/sec: 246.7 +/- 1.4 (jitter = 11.6)	7.774	0.008	0.023
720	images/sec: 247.6 +/- 1.3 (jitter = 11.6)	7.756	0.008	0.016
730	images/sec: 248.5 +/- 1.3 (jitter = 11.5)	7.685	0.000	0.023
740	images/sec: 249.4 +/- 1.3 (jitter = 11.4)	7.709	0.008	0.023
750	images/sec: 250.2 +/- 1.3 (jitter = 11.5)	7.686	0.000	0.008
760	images/sec: 251.0 +/- 1.3 (jitter = 11.6)	7.699	0.000	0.016
770	images/sec: 251.8 +/- 1.3 (jitter = 11.7)	7.721	0.000	0.023
780	images/sec: 252.5 +/- 1.3 (jitter = 11.8)	7.763	0.000	0.023
790	images/sec: 249.8 +/- 1.3 (jitter = 12.0)	7.625	0.000	0.008
800	images/sec: 247.0 +/- 1.3 (jitter = 11.9)	7.604	0.000	0.016
810	images/sec: 247.9 +/- 1.3 (jitter = 11.9)	7.715	0.000	0.016
820	images/sec: 248.7 +/- 1.3 (jitter = 11.8)	7.647	0.000	0.031
830	images/sec: 249.5 +/- 1.3 (jitter = 11.8)	7.723	0.000	0.008
840	images/sec: 250.3 +/- 1.3 (jitter = 11.8)	7.696	0.000	0.023
850	images/sec: 251.0 +/- 1.3 (jitter = 11.7)	7.685	0.008	0.047
860	images/sec: 251.7 +/- 1.3 (jitter = 11.8)	7.685	0.000	0.023
870	images/sec: 252.4 +/- 1.2 (jitter = 11.8)	7.652	0.000	0.016
880	images/sec: 253.0 +/- 1.2 (jitter = 11.8)	7.617	0.000	0.016
890	images/sec: 247.3 +/- 1.3 (jitter = 12.0)	7.750	0.000	0.008
900	images/sec: 248.0 +/- 1.3 (jitter = 11.9)	7.655	0.000	0.016
910	images/sec: 248.8 +/- 1.3 (jitter = 11.8)	7.627	0.008	0.016
