TensorFlow:  1.5
Model:       vgg16
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 215.1 +/- 0.0 (jitter = 0.0)	7.255	0.000	0.000
10	images/sec: 62.8 +/- 19.2 (jitter = 5.1)	7.255	0.000	0.000
20	images/sec: 96.5 +/- 9.9 (jitter = 7.3)	7.255	0.000	0.000
30	images/sec: 117.7 +/- 6.7 (jitter = 5.5)	7.255	0.000	0.000
40	images/sec: 132.2 +/- 5.0 (jitter = 5.5)	7.255	0.000	0.008
50	images/sec: 142.9 +/- 4.1 (jitter = 4.2)	7.255	0.000	0.000
60	images/sec: 151.2 +/- 3.4 (jitter = 3.3)	7.255	0.000	0.016
70	images/sec: 157.6 +/- 2.9 (jitter = 3.4)	7.255	0.000	0.008
80	images/sec: 162.9 +/- 2.6 (jitter = 3.1)	7.255	0.000	0.000
90	images/sec: 167.0 +/- 2.3 (jitter = 3.1)	7.255	0.000	0.008
100	images/sec: 170.6 +/- 2.1 (jitter = 3.1)	7.255	0.008	0.008
110	images/sec: 146.9 +/- 2.6 (jitter = 3.1)	7.255	0.008	0.016
120	images/sec: 150.8 +/- 2.4 (jitter = 3.2)	7.255	0.000	0.000
130	images/sec: 154.2 +/- 2.2 (jitter = 3.1)	7.255	0.000	0.000
140	images/sec: 157.1 +/- 2.1 (jitter = 3.1)	7.255	0.000	0.000
150	images/sec: 159.8 +/- 1.9 (jitter = 3.0)	7.255	0.000	0.000
160	images/sec: 162.2 +/- 1.8 (jitter = 3.4)	7.255	0.000	0.000
170	images/sec: 164.2 +/- 1.7 (jitter = 3.7)	7.255	0.000	0.000
180	images/sec: 165.8 +/- 1.6 (jitter = 4.1)	7.255	0.000	0.008
190	images/sec: 167.4 +/- 1.5 (jitter = 4.8)	7.255	0.000	0.000
200	images/sec: 168.7 +/- 1.5 (jitter = 5.7)	7.255	0.000	0.008
210	images/sec: 154.0 +/- 1.7 (jitter = 5.7)	7.255	0.000	0.000
220	images/sec: 155.9 +/- 1.6 (jitter = 5.2)	7.255	0.000	0.000
230	images/sec: 157.8 +/- 1.6 (jitter = 4.8)	7.255	0.000	0.008
240	images/sec: 159.5 +/- 1.5 (jitter = 4.5)	7.255	0.000	0.008
250	images/sec: 160.9 +/- 1.4 (jitter = 4.8)	7.255	0.000	0.000
260	images/sec: 162.0 +/- 1.4 (jitter = 5.6)	7.255	0.016	0.016
270	images/sec: 163.2 +/- 1.3 (jitter = 6.0)	7.255	0.000	0.000
280	images/sec: 164.3 +/- 1.3 (jitter = 6.3)	7.255	0.000	0.000
290	images/sec: 165.1 +/- 1.3 (jitter = 6.9)	7.255	0.000	0.000
300	images/sec: 165.9 +/- 1.2 (jitter = 7.4)	7.255	0.008	0.023
310	images/sec: 159.1 +/- 1.3 (jitter = 7.3)	7.255	0.000	0.000
320	images/sec: 160.4 +/- 1.3 (jitter = 6.9)	7.255	0.000	0.000
330	images/sec: 161.4 +/- 1.3 (jitter = 6.9)	7.255	0.000	0.000
340	images/sec: 162.5 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
350	images/sec: 163.3 +/- 1.2 (jitter = 7.9)	7.255	0.000	0.008
360	images/sec: 164.1 +/- 1.2 (jitter = 8.6)	7.255	0.000	0.008
370	images/sec: 164.9 +/- 1.1 (jitter = 9.0)	7.255	0.000	0.031
380	images/sec: 165.6 +/- 1.1 (jitter = 9.5)	7.255	0.000	0.008
390	images/sec: 166.2 +/- 1.1 (jitter = 9.8)	7.255	0.000	0.000
400	images/sec: 160.8 +/- 1.2 (jitter = 10.0)	7.255	0.000	0.016
410	images/sec: 161.8 +/- 1.1 (jitter = 9.9)	7.255	0.000	0.008
420	images/sec: 162.7 +/- 1.1 (jitter = 9.6)	7.255	0.008	0.016
430	images/sec: 163.5 +/- 1.1 (jitter = 9.5)	7.255	0.000	0.000
440	images/sec: 164.2 +/- 1.1 (jitter = 9.5)	7.255	0.000	0.016
450	images/sec: 164.8 +/- 1.0 (jitter = 9.7)	7.255	0.000	0.008
460	images/sec: 165.5 +/- 1.0 (jitter = 9.8)	7.255	0.008	0.023
470	images/sec: 166.0 +/- 1.0 (jitter = 10.0)	7.255	0.000	0.008
480	images/sec: 166.5 +/- 1.0 (jitter = 10.1)	7.255	0.000	0.000
490	images/sec: 167.0 +/- 1.0 (jitter = 10.2)	7.255	0.000	0.000
500	images/sec: 162.2 +/- 1.0 (jitter = 10.3)	7.255	0.000	0.000
510	images/sec: 163.0 +/- 1.0 (jitter = 10.4)	7.255	0.000	0.008
520	images/sec: 163.7 +/- 1.0 (jitter = 10.3)	7.255	0.000	0.000
530	images/sec: 164.3 +/- 1.0 (jitter = 10.2)	7.255	0.008	0.008
540	images/sec: 164.9 +/- 0.9 (jitter = 10.2)	7.255	0.000	0.008
550	images/sec: 165.4 +/- 0.9 (jitter = 10.2)	7.255	0.000	0.000
