TensorFlow:  1.5
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             128 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 946.3 +/- 0.0 (jitter = 0.0)	7.201	0.000	0.008
10	images/sec: 1185.5 +/- 143.1 (jitter = 229.0)	7.199	0.000	0.008
20	images/sec: 1015.3 +/- 94.3 (jitter = 261.2)	7.200	0.000	0.000
30	images/sec: 965.2 +/- 69.0 (jitter = 215.5)	7.198	0.000	0.008
40	images/sec: 981.1 +/- 56.4 (jitter = 203.8)	7.201	0.000	0.008
50	images/sec: 1021.3 +/- 49.1 (jitter = 221.4)	7.194	0.000	0.000
60	images/sec: 1077.8 +/- 55.6 (jitter = 304.8)	7.198	0.000	0.000
70	images/sec: 1070.6 +/- 50.7 (jitter = 293.4)	7.195	0.008	0.008
80	images/sec: 1075.8 +/- 47.3 (jitter = 317.9)	7.200	0.008	0.023
90	images/sec: 1075.0 +/- 43.7 (jitter = 293.4)	7.196	0.000	0.000
100	images/sec: 1097.5 +/- 44.7 (jitter = 304.8)	7.196	0.000	0.000
110	images/sec: 1103.8 +/- 41.3 (jitter = 306.7)	7.193	0.000	0.000
120	images/sec: 1096.8 +/- 38.3 (jitter = 294.4)	7.198	0.000	0.000
130	images/sec: 1084.3 +/- 36.5 (jitter = 283.4)	7.195	0.000	0.000
140	images/sec: 1069.8 +/- 34.5 (jitter = 269.4)	7.199	0.000	0.000
150	images/sec: 1069.4 +/- 32.7 (jitter = 281.4)	7.199	0.000	0.000
160	images/sec: 1049.6 +/- 31.4 (jitter = 284.9)	7.197	0.000	0.000
170	images/sec: 1026.6 +/- 30.4 (jitter = 273.1)	7.205	0.000	0.000
180	images/sec: 1007.4 +/- 29.5 (jitter = 275.5)	7.195	0.000	0.000
190	images/sec: 993.3 +/- 28.4 (jitter = 277.9)	7.199	0.008	0.008
200	images/sec: 981.0 +/- 27.5 (jitter = 279.5)	7.194	0.000	0.000
210	images/sec: 972.8 +/- 26.5 (jitter = 270.3)	7.197	0.000	0.000
220	images/sec: 959.7 +/- 25.7 (jitter = 266.2)	7.197	0.000	0.000
230	images/sec: 950.6 +/- 24.9 (jitter = 270.0)	7.197	0.016	0.016
240	images/sec: 941.8 +/- 24.1 (jitter = 259.0)	7.200	0.008	0.008
250	images/sec: 936.5 +/- 23.6 (jitter = 259.0)	7.196	0.000	0.008
260	images/sec: 931.3 +/- 22.8 (jitter = 253.8)	7.197	0.000	0.008
270	images/sec: 928.6 +/- 22.1 (jitter = 244.4)	7.201	0.000	0.008
280	images/sec: 928.6 +/- 21.5 (jitter = 235.6)	7.196	0.000	0.016
290	images/sec: 929.1 +/- 20.8 (jitter = 242.2)	7.202	0.000	0.000
300	images/sec: 931.2 +/- 20.3 (jitter = 241.9)	7.197	0.008	0.008
310	images/sec: 924.0 +/- 19.8 (jitter = 231.9)	7.194	0.000	0.008
320	images/sec: 916.6 +/- 19.4 (jitter = 226.1)	7.201	0.000	0.008
330	images/sec: 911.4 +/- 19.0 (jitter = 226.3)	7.193	0.000	0.008
340	images/sec: 908.0 +/- 18.5 (jitter = 221.1)	7.198	0.000	0.000
350	images/sec: 903.4 +/- 18.2 (jitter = 218.4)	7.196	0.000	0.031
360	images/sec: 896.9 +/- 17.8 (jitter = 214.7)	7.198	0.000	0.008
370	images/sec: 892.7 +/- 17.4 (jitter = 209.1)	7.197	0.000	0.008
380	images/sec: 889.6 +/- 17.1 (jitter = 208.3)	7.198	0.000	0.000
390	images/sec: 887.4 +/- 16.7 (jitter = 203.7)	7.201	0.000	0.016
400	images/sec: 883.7 +/- 16.4 (jitter = 202.3)	7.200	0.008	0.008
410	images/sec: 878.0 +/- 16.1 (jitter = 197.0)	7.201	0.008	0.008
420	images/sec: 875.3 +/- 15.8 (jitter = 195.7)	7.200	0.000	0.023
430	images/sec: 873.7 +/- 15.5 (jitter = 192.4)	7.200	0.000	0.000
440	images/sec: 871.3 +/- 15.2 (jitter = 192.2)	7.194	0.000	0.016
450	images/sec: 868.9 +/- 14.9 (jitter = 191.4)	7.200	0.000	0.008
460	images/sec: 867.1 +/- 14.7 (jitter = 188.6)	7.197	0.000	0.000
470	images/sec: 866.3 +/- 14.4 (jitter = 190.1)	7.202	0.000	0.008
480	images/sec: 865.1 +/- 14.1 (jitter = 183.8)	7.203	0.000	0.000
490	images/sec: 863.0 +/- 13.9 (jitter = 180.6)	7.207	0.000	0.000
500	images/sec: 861.3 +/- 13.7 (jitter = 180.6)	7.199	0.000	0.008
510	images/sec: 861.4 +/- 13.5 (jitter = 180.3)	7.194	0.008	0.008
520	images/sec: 859.4 +/- 13.3 (jitter = 179.5)	7.200	0.000	0.000
530	images/sec: 859.2 +/- 13.0 (jitter = 178.1)	7.198	0.000	0.000
540	images/sec: 857.9 +/- 12.8 (jitter = 176.3)	7.196	0.008	0.016
550	images/sec: 859.3 +/- 12.7 (jitter = 177.2)	7.201	0.000	0.008
560	images/sec: 859.3 +/- 12.5 (jitter = 177.2)	7.201	0.000	0.016
570	images/sec: 858.0 +/- 12.3 (jitter = 177.4)	7.200	0.000	0.000
580	images/sec: 856.6 +/- 12.2 (jitter = 176.1)	7.199	0.000	0.000
590	images/sec: 854.3 +/- 12.0 (jitter = 177.3)	7.199	0.000	0.000
600	images/sec: 855.2 +/- 11.9 (jitter = 177.4)	7.198	0.008	0.016
610	images/sec: 858.0 +/- 11.8 (jitter = 180.3)	7.199	0.000	0.016
620	images/sec: 861.2 +/- 11.8 (jitter = 181.5)	7.196	0.000	0.016
630	images/sec: 864.2 +/- 11.7 (jitter = 183.7)	7.197	0.000	0.008
640	images/sec: 867.5 +/- 11.7 (jitter = 190.4)	7.200	0.000	0.008
650	images/sec: 870.9 +/- 11.6 (jitter = 192.9)	7.200	0.000	0.000
660	images/sec: 871.8 +/- 11.5 (jitter = 196.0)	7.196	0.008	0.008
670	images/sec: 874.2 +/- 11.5 (jitter = 196.9)	7.201	0.000	0.008
680	images/sec: 876.3 +/- 11.5 (jitter = 199.1)	7.199	0.000	0.000
690	images/sec: 879.6 +/- 11.4 (jitter = 202.7)	7.197	0.000	0.000
700	images/sec: 879.4 +/- 11.3 (jitter = 202.3)	7.195	0.000	0.016
710	images/sec: 879.2 +/- 11.1 (jitter = 202.1)	7.194	0.008	0.008
720	images/sec: 878.6 +/- 11.0 (jitter = 202.1)	7.195	0.000	0.008
730	images/sec: 878.4 +/- 10.9 (jitter = 201.7)	7.200	0.000	0.000
740	images/sec: 877.8 +/- 10.7 (jitter = 201.6)	7.203	0.000	0.016
750	images/sec: 877.1 +/- 10.6 (jitter = 199.8)	7.198	0.000	0.008
760	images/sec: 875.8 +/- 10.5 (jitter = 198.6)	7.194	0.000	0.016
770	images/sec: 875.3 +/- 10.4 (jitter = 198.0)	7.197	0.000	0.016
780	images/sec: 875.0 +/- 10.3 (jitter = 196.7)	7.198	0.000	0.000
790	images/sec: 874.9 +/- 10.2 (jitter = 195.9)	7.200	0.000	0.000
800	images/sec: 874.9 +/- 10.1 (jitter = 195.8)	7.197	0.008	0.008
810	images/sec: 876.0 +/- 10.1 (jitter = 198.6)	7.198	0.000	0.016
820	images/sec: 875.9 +/- 9.9 (jitter = 199.4)	7.196	0.000	0.008
830	images/sec: 874.5 +/- 9.9 (jitter = 197.2)	7.200	0.000	0.000
840	images/sec: 874.1 +/- 9.8 (jitter = 197.2)	7.198	0.000	0.016
850	images/sec: 874.4 +/- 9.7 (jitter = 197.7)	7.199	0.000	0.000
860	images/sec: 873.8 +/- 9.6 (jitter = 195.1)	7.205	0.000	0.000
870	images/sec: 872.6 +/- 9.5 (jitter = 195.7)	7.195	0.000	0.000
880	images/sec: 873.2 +/- 9.4 (jitter = 197.0)	7.198	0.000	0.008
890	images/sec: 872.9 +/- 9.3 (jitter = 195.6)	7.198	0.000	0.000
900	images/sec: 872.7 +/- 9.2 (jitter = 195.8)	7.198	0.000	0.000
910	images/sec: 872.4 +/- 9.2 (jitter = 195.7)	7.200	0.008	0.016
920	images/sec: 872.1 +/- 9.1 (jitter = 195.6)	7.200	0.000	0.008
930	images/sec: 871.5 +/- 9.0 (jitter = 193.8)	7.197	0.000	0.008
940	images/sec: 871.4 +/- 8.9 (jitter = 193.8)	7.198	0.000	0.000
950	images/sec: 870.8 +/- 8.9 (jitter = 192.2)	7.197	0.000	0.008
960	images/sec: 870.5 +/- 8.8 (jitter = 191.6)	7.195	0.000	0.008
970	images/sec: 869.3 +/- 8.7 (jitter = 190.3)	7.198	0.000	0.000
980	images/sec: 868.3 +/- 8.7 (jitter = 189.6)	7.200	0.000	0.008
990	images/sec: 868.6 +/- 8.6 (jitter = 189.3)	7.199	0.000	0.000
1000	images/sec: 870.1 +/- 8.6 (jitter = 190.4)	7.200	0.000	0.000
1010	images/sec: 871.1 +/- 8.6 (jitter = 191.8)	7.196	0.008	0.008
1020	images/sec: 871.3 +/- 8.5 (jitter = 190.9)	7.198	0.000	0.000
1030	images/sec: 872.0 +/- 8.4 (jitter = 192.8)	7.198	0.016	0.016
1040	images/sec: 872.7 +/- 8.4 (jitter = 193.3)	7.198	0.000	0.016
1050	images/sec: 873.5 +/- 8.3 (jitter = 194.2)	7.195	0.000	0.008
1060	images/sec: 874.9 +/- 8.2 (jitter = 196.6)	7.196	0.000	0.016
1070	images/sec: 876.3 +/- 8.3 (jitter = 197.3)	7.197	0.000	0.000
1080	images/sec: 876.9 +/- 8.3 (jitter = 196.9)	7.199	0.000	0.000
1090	images/sec: 876.1 +/- 8.2 (jitter = 196.4)	7.198	0.000	0.008
1100	images/sec: 876.2 +/- 8.2 (jitter = 196.0)	7.197	0.000	0.000
1110	images/sec: 875.9 +/- 8.1 (jitter = 196.0)	7.196	0.000	0.000
1120	images/sec: 875.1 +/- 8.0 (jitter = 195.8)	7.197	0.000	0.000
1130	images/sec: 875.6 +/- 8.0 (jitter = 195.3)	7.199	0.000	0.000
1140	images/sec: 875.8 +/- 8.0 (jitter = 195.3)	7.197	0.000	0.008
1150	images/sec: 874.8 +/- 7.9 (jitter = 195.0)	7.196	0.000	0.023
1160	images/sec: 874.2 +/- 7.8 (jitter = 193.6)	7.195	0.008	0.016
1170	images/sec: 874.1 +/- 7.8 (jitter = 192.9)	7.196	0.000	0.016
1180	images/sec: 873.5 +/- 7.7 (jitter = 192.7)	7.198	0.000	0.016
1190	images/sec: 874.0 +/- 7.7 (jitter = 192.9)	7.196	0.000	0.008
1200	images/sec: 874.2 +/- 7.6 (jitter = 192.3)	7.198	0.000	0.000
1210	images/sec: 874.9 +/- 7.6 (jitter = 192.7)	7.199	0.000	0.000
1220	images/sec: 875.2 +/- 7.5 (jitter = 192.2)	7.197	0.000	0.000
1230	images/sec: 875.6 +/- 7.5 (jitter = 191.4)	7.194	0.000	0.000
1240	images/sec: 875.1 +/- 7.5 (jitter = 192.0)	7.194	0.000	0.008
1250	images/sec: 875.1 +/- 7.4 (jitter = 192.0)	7.197	0.000	0.008
1260	images/sec: 875.8 +/- 7.4 (jitter = 192.5)	7.200	0.000	0.000
1270	images/sec: 875.6 +/- 7.4 (jitter = 192.8)	7.202	0.000	0.000
1280	images/sec: 875.7 +/- 7.3 (jitter = 193.5)	7.199	0.000	0.008
1290	images/sec: 875.7 +/- 7.3 (jitter = 193.0)	7.197	0.000	0.000
1300	images/sec: 876.2 +/- 7.2 (jitter = 193.2)	7.197	0.000	0.000
1310	images/sec: 876.7 +/- 7.2 (jitter = 192.4)	7.196	0.000	0.000
1320	images/sec: 877.4 +/- 7.1 (jitter = 191.3)	7.195	0.000	0.000
1330	images/sec: 877.9 +/- 7.2 (jitter = 191.1)	7.201	0.000	0.000
1340	images/sec: 878.3 +/- 7.2 (jitter = 191.2)	7.203	0.000	0.000
1350	images/sec: 878.2 +/- 7.1 (jitter = 191.2)	7.201	0.000	0.000
1360	images/sec: 878.1 +/- 7.1 (jitter = 191.2)	7.191	0.000	0.031
1370	images/sec: 878.7 +/- 7.0 (jitter = 192.2)	7.196	0.000	0.008
1380	images/sec: 878.9 +/- 7.0 (jitter = 192.8)	7.200	0.000	0.000
1390	images/sec: 878.6 +/- 7.0 (jitter = 191.6)	7.199	0.000	0.000
1400	images/sec: 878.2 +/- 6.9 (jitter = 192.7)	7.197	0.000	0.000
1410	images/sec: 879.0 +/- 6.9 (jitter = 193.5)	7.198	0.000	0.008
1420	images/sec: 879.9 +/- 6.9 (jitter = 196.3)	7.195	0.000	0.008
1430	images/sec: 880.7 +/- 6.8 (jitter = 197.2)	7.198	0.000	0.008
1440	images/sec: 880.8 +/- 6.8 (jitter = 197.4)	7.192	0.000	0.008
1450	images/sec: 880.6 +/- 6.8 (jitter = 197.4)	7.197	0.000	0.008
1460	images/sec: 881.3 +/- 6.7 (jitter = 197.2)	7.201	0.000	0.008
1470	images/sec: 880.9 +/- 6.7 (jitter = 197.6)	7.197	0.000	0.000
1480	images/sec: 880.4 +/- 6.7 (jitter = 197.6)	7.198	0.000	0.000
1490	images/sec: 879.9 +/- 6.7 (jitter = 197.0)	7.197	0.000	0.000
1500	images/sec: 878.3 +/- 6.6 (jitter = 195.8)	7.197	0.000	0.016
1510	images/sec: 877.7 +/- 6.6 (jitter = 195.6)	7.198	0.000	0.000
1520	images/sec: 876.6 +/- 6.6 (jitter = 193.5)	7.197	0.000	0.000
