TensorFlow:  1.5
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 244.2 +/- 0.0 (jitter = 0.0)	7.436	0.000	0.000
10	images/sec: 89.1 +/- 22.2 (jitter = 10.9)	7.436	0.000	0.000
20	images/sec: 130.0 +/- 11.4 (jitter = 9.2)	7.410	0.000	0.000
30	images/sec: 153.8 +/- 7.8 (jitter = 10.4)	7.381	0.008	0.031
40	images/sec: 169.2 +/- 5.9 (jitter = 8.8)	7.404	0.000	0.000
50	images/sec: 180.1 +/- 4.7 (jitter = 8.7)	7.375	0.000	0.000
60	images/sec: 188.1 +/- 4.0 (jitter = 8.7)	7.359	0.008	0.008
70	images/sec: 194.2 +/- 3.5 (jitter = 9.9)	7.433	0.000	0.000
80	images/sec: 199.4 +/- 3.1 (jitter = 9.9)	7.423	0.008	0.008
90	images/sec: 204.0 +/- 2.8 (jitter = 9.7)	7.408	0.000	0.000
100	images/sec: 207.4 +/- 2.5 (jitter = 10.5)	7.351	0.000	0.008
110	images/sec: 181.0 +/- 3.1 (jitter = 10.6)	7.414	0.000	0.000
120	images/sec: 185.1 +/- 2.9 (jitter = 11.0)	7.389	0.000	0.016
130	images/sec: 188.8 +/- 2.7 (jitter = 10.8)	7.380	0.000	0.000
140	images/sec: 191.8 +/- 2.5 (jitter = 10.8)	7.363	0.000	0.008
150	images/sec: 194.5 +/- 2.3 (jitter = 10.8)	7.398	0.000	0.008
160	images/sec: 196.8 +/- 2.2 (jitter = 10.5)	7.385	0.000	0.000
170	images/sec: 199.1 +/- 2.1 (jitter = 10.3)	7.387	0.000	0.000
180	images/sec: 201.1 +/- 2.0 (jitter = 10.2)	7.402	0.000	0.008
190	images/sec: 202.5 +/- 1.9 (jitter = 10.8)	7.387	0.000	0.000
200	images/sec: 203.9 +/- 1.8 (jitter = 11.5)	7.402	0.008	0.016
210	images/sec: 185.2 +/- 2.1 (jitter = 11.3)	7.362	0.000	0.016
220	images/sec: 187.2 +/- 2.0 (jitter = 11.0)	7.368	0.000	0.008
230	images/sec: 189.0 +/- 1.9 (jitter = 11.0)	7.347	0.008	0.016
240	images/sec: 190.7 +/- 1.8 (jitter = 11.0)	7.385	0.000	0.000
250	images/sec: 192.5 +/- 1.8 (jitter = 10.8)	7.390	0.000	0.000
260	images/sec: 194.0 +/- 1.7 (jitter = 10.7)	7.311	0.008	0.016
270	images/sec: 195.5 +/- 1.6 (jitter = 10.7)	7.399	0.008	0.008
280	images/sec: 196.7 +/- 1.6 (jitter = 10.8)	7.375	0.000	0.016
290	images/sec: 197.9 +/- 1.5 (jitter = 10.9)	7.358	0.000	0.016
300	images/sec: 199.0 +/- 1.5 (jitter = 11.2)	7.406	0.000	0.016
310	images/sec: 188.0 +/- 1.6 (jitter = 11.5)	7.403	0.000	0.000
320	images/sec: 189.4 +/- 1.6 (jitter = 11.4)	7.383	0.000	0.016
330	images/sec: 190.7 +/- 1.5 (jitter = 11.6)	7.335	0.000	0.008
340	images/sec: 191.7 +/- 1.5 (jitter = 11.8)	7.344	0.000	0.016
350	images/sec: 192.9 +/- 1.5 (jitter = 11.8)	7.331	0.008	0.008
360	images/sec: 194.0 +/- 1.4 (jitter = 11.7)	7.352	0.000	0.008
370	images/sec: 195.1 +/- 1.4 (jitter = 11.8)	7.405	0.000	0.000
380	images/sec: 196.0 +/- 1.4 (jitter = 11.9)	7.405	0.000	0.008
390	images/sec: 197.0 +/- 1.3 (jitter = 12.0)	7.343	0.000	0.008
