TensorFlow:  1.5
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 2306.6 +/- 0.0 (jitter = 0.0)	7.203	0.000	0.008
10	images/sec: 84.8 +/- 207.3 (jitter = 325.7)	7.196	0.000	0.000
20	images/sec: 163.0 +/- 115.0 (jitter = 338.2)	7.201	0.000	0.008
30	images/sec: 234.8 +/- 84.9 (jitter = 208.9)	7.199	0.000	0.000
40	images/sec: 300.3 +/- 70.7 (jitter = 256.6)	7.202	0.000	0.000
50	images/sec: 363.4 +/- 59.0 (jitter = 189.6)	7.206	0.000	0.008
60	images/sec: 422.7 +/- 52.3 (jitter = 183.9)	7.202	0.000	0.008
70	images/sec: 477.7 +/- 46.2 (jitter = 179.3)	7.202	0.000	0.016
80	images/sec: 529.0 +/- 41.7 (jitter = 186.2)	7.198	0.008	0.008
90	images/sec: 577.8 +/- 38.2 (jitter = 204.3)	7.202	0.000	0.000
100	images/sec: 623.2 +/- 35.4 (jitter = 191.2)	7.197	0.008	0.023
110	images/sec: 361.2 +/- 38.3 (jitter = 206.3)	7.198	0.000	0.000
120	images/sec: 388.4 +/- 35.5 (jitter = 182.2)	7.202	0.000	0.000
130	images/sec: 414.4 +/- 33.6 (jitter = 178.6)	7.201	0.000	0.000
140	images/sec: 439.9 +/- 31.6 (jitter = 183.5)	7.197	0.000	0.008
150	images/sec: 464.7 +/- 29.7 (jitter = 185.1)	7.200	0.000	0.008
160	images/sec: 488.1 +/- 29.0 (jitter = 193.8)	7.198	0.000	0.016
170	images/sec: 511.2 +/- 28.2 (jitter = 193.4)	7.202	0.000	0.000
180	images/sec: 533.6 +/- 27.3 (jitter = 200.2)	7.199	0.000	0.016
190	images/sec: 555.8 +/- 26.0 (jitter = 193.4)	7.196	0.000	0.008
200	images/sec: 577.5 +/- 25.2 (jitter = 194.3)	7.198	0.000	0.016
210	images/sec: 453.8 +/- 27.7 (jitter = 193.4)	7.194	0.000	0.008
220	images/sec: 470.7 +/- 26.8 (jitter = 196.7)	7.197	0.000	0.000
230	images/sec: 487.5 +/- 25.6 (jitter = 187.4)	7.194	0.008	0.016
240	images/sec: 503.9 +/- 24.9 (jitter = 186.9)	7.202	0.000	0.000
250	images/sec: 520.0 +/- 24.1 (jitter = 183.7)	7.197	0.000	0.000
260	images/sec: 535.7 +/- 23.2 (jitter = 187.4)	7.198	0.000	0.008
270	images/sec: 551.3 +/- 22.5 (jitter = 186.9)	7.199	0.000	0.000
280	images/sec: 566.1 +/- 22.0 (jitter = 183.7)	7.197	0.000	0.000
290	images/sec: 581.2 +/- 21.4 (jitter = 184.3)	7.198	0.000	0.016
300	images/sec: 596.0 +/- 20.8 (jitter = 182.4)	7.198	0.000	0.008
