TensorFlow:  1.5
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 357.3 +/- 0.0 (jitter = 0.0)	7.415	0.000	0.000
10	images/sec: 61.4 +/- 34.8 (jitter = 15.8)	7.421	0.000	0.000
20	images/sec: 105.7 +/- 18.3 (jitter = 18.3)	7.413	0.000	0.000
30	images/sec: 138.3 +/- 12.4 (jitter = 19.4)	7.367	0.008	0.016
40	images/sec: 164.0 +/- 9.4 (jitter = 18.6)	7.461	0.000	0.000
50	images/sec: 184.5 +/- 7.6 (jitter = 18.7)	7.353	0.000	0.008
60	images/sec: 201.5 +/- 6.4 (jitter = 20.0)	7.408	0.000	0.000
70	images/sec: 215.1 +/- 5.6 (jitter = 18.4)	7.430	0.000	0.008
80	images/sec: 226.9 +/- 4.9 (jitter = 19.0)	7.409	0.000	0.000
90	images/sec: 236.9 +/- 4.4 (jitter = 19.6)	7.431	0.000	0.008
100	images/sec: 245.3 +/- 4.0 (jitter = 18.2)	7.377	0.000	0.000
110	images/sec: 195.4 +/- 4.9 (jitter = 18.7)	7.383	0.000	0.008
120	images/sec: 203.4 +/- 4.6 (jitter = 19.5)	7.423	0.000	0.000
130	images/sec: 211.0 +/- 4.3 (jitter = 19.0)	7.337	0.000	0.008
140	images/sec: 217.3 +/- 4.0 (jitter = 19.5)	7.368	0.000	0.000
150	images/sec: 223.1 +/- 3.8 (jitter = 19.9)	7.385	0.000	0.000
160	images/sec: 228.5 +/- 3.6 (jitter = 20.3)	7.388	0.000	0.008
170	images/sec: 233.7 +/- 3.4 (jitter = 20.0)	7.409	0.000	0.008
180	images/sec: 238.5 +/- 3.2 (jitter = 20.3)	7.385	0.000	0.000
190	images/sec: 242.7 +/- 3.1 (jitter = 20.6)	7.392	0.000	0.008
200	images/sec: 246.9 +/- 2.9 (jitter = 20.6)	7.415	0.000	0.008
210	images/sec: 226.1 +/- 3.3 (jitter = 20.9)	7.382	0.000	0.000
220	images/sec: 229.8 +/- 3.1 (jitter = 20.6)	7.435	0.000	0.000
230	images/sec: 233.8 +/- 3.0 (jitter = 20.6)	7.366	0.000	0.008
240	images/sec: 237.3 +/- 2.9 (jitter = 20.6)	7.401	0.000	0.000
250	images/sec: 240.4 +/- 2.8 (jitter = 20.6)	7.376	0.000	0.000
260	images/sec: 243.7 +/- 2.7 (jitter = 20.8)	7.319	0.000	0.008
