TensorFlow:  1.5
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 767.4 +/- 0.0 (jitter = 0.0)	7.200	0.000	0.004
10	images/sec: 801.3 +/- 30.0 (jitter = 55.5)	7.198	0.000	0.008
20	images/sec: 801.2 +/- 20.1 (jitter = 74.2)	7.200	0.000	0.000
30	images/sec: 816.0 +/- 17.0 (jitter = 97.1)	7.196	0.008	0.020
40	images/sec: 822.3 +/- 14.2 (jitter = 92.4)	7.199	0.004	0.012
50	images/sec: 823.3 +/- 13.4 (jitter = 89.5)	7.196	0.000	0.008
60	images/sec: 830.7 +/- 13.0 (jitter = 94.9)	7.201	0.004	0.008
70	images/sec: 825.4 +/- 12.0 (jitter = 94.9)	7.198	0.000	0.000
80	images/sec: 830.0 +/- 11.1 (jitter = 90.6)	7.199	0.000	0.004
90	images/sec: 823.3 +/- 10.9 (jitter = 94.1)	7.199	0.000	0.004
100	images/sec: 821.6 +/- 11.3 (jitter = 93.3)	7.195	0.000	0.008
110	images/sec: 820.1 +/- 10.8 (jitter = 89.3)	7.199	0.000	0.008
120	images/sec: 830.1 +/- 11.8 (jitter = 94.1)	7.203	0.000	0.004
130	images/sec: 833.1 +/- 13.7 (jitter = 94.5)	7.200	0.004	0.004
140	images/sec: 830.0 +/- 12.9 (jitter = 92.7)	7.198	0.000	0.000
150	images/sec: 822.8 +/- 12.3 (jitter = 92.7)	7.200	0.000	0.004
160	images/sec: 819.3 +/- 11.7 (jitter = 95.2)	7.195	0.000	0.004
170	images/sec: 820.2 +/- 11.2 (jitter = 95.9)	7.199	0.000	0.012
180	images/sec: 818.9 +/- 10.8 (jitter = 98.4)	7.197	0.004	0.012
190	images/sec: 817.0 +/- 10.3 (jitter = 99.6)	7.201	0.000	0.000
200	images/sec: 812.4 +/- 10.1 (jitter = 101.5)	7.197	0.000	0.004
210	images/sec: 808.5 +/- 9.8 (jitter = 98.4)	7.199	0.000	0.000
220	images/sec: 806.3 +/- 9.5 (jitter = 96.6)	7.196	0.000	0.000
230	images/sec: 805.1 +/- 9.1 (jitter = 97.0)	7.194	0.000	0.008
240	images/sec: 802.0 +/- 8.9 (jitter = 93.4)	7.196	0.008	0.012
250	images/sec: 801.0 +/- 8.7 (jitter = 97.3)	7.197	0.000	0.012
260	images/sec: 801.4 +/- 8.5 (jitter = 97.8)	7.199	0.004	0.008
270	images/sec: 801.7 +/- 8.3 (jitter = 100.2)	7.199	0.000	0.000
