TensorFlow:  1.5
Model:       inception3
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 412.9 +/- 0.0 (jitter = 0.0)	7.434	0.000	0.004
10	images/sec: 410.3 +/- 2.3 (jitter = 6.4)	7.419	0.000	0.008
20	images/sec: 397.3 +/- 5.1 (jitter = 14.8)	7.424	0.000	0.012
30	images/sec: 397.2 +/- 4.0 (jitter = 15.6)	7.406	0.000	0.000
40	images/sec: 398.2 +/- 3.2 (jitter = 15.3)	7.420	0.000	0.000
50	images/sec: 397.4 +/- 2.9 (jitter = 18.3)	7.400	0.000	0.000
60	images/sec: 395.8 +/- 2.7 (jitter = 20.5)	7.405	0.004	0.008
70	images/sec: 396.3 +/- 2.4 (jitter = 20.7)	7.409	0.000	0.008
80	images/sec: 397.1 +/- 2.2 (jitter = 19.1)	7.412	0.000	0.008
90	images/sec: 396.8 +/- 2.1 (jitter = 19.9)	7.401	0.004	0.012
100	images/sec: 396.8 +/- 1.9 (jitter = 18.2)	7.409	0.004	0.004
110	images/sec: 397.2 +/- 1.8 (jitter = 18.0)	7.382	0.000	0.004
120	images/sec: 397.5 +/- 1.7 (jitter = 18.0)	7.412	0.000	0.008
130	images/sec: 396.7 +/- 1.7 (jitter = 18.0)	7.399	0.000	0.000
140	images/sec: 396.3 +/- 1.6 (jitter = 19.4)	7.401	0.000	0.000
150	images/sec: 395.8 +/- 1.6 (jitter = 19.5)	7.440	0.004	0.004
160	images/sec: 395.5 +/- 1.5 (jitter = 19.1)	7.339	0.000	0.004
170	images/sec: 394.0 +/- 1.6 (jitter = 19.2)	7.368	0.000	0.004
180	images/sec: 394.4 +/- 1.6 (jitter = 19.2)	7.377	0.000	0.004
190	images/sec: 393.7 +/- 1.6 (jitter = 19.4)	7.367	0.000	0.008
200	images/sec: 394.2 +/- 1.5 (jitter = 19.6)	7.379	0.008	0.020
210	images/sec: 394.6 +/- 1.5 (jitter = 19.7)	7.380	0.004	0.016
220	images/sec: 394.1 +/- 1.4 (jitter = 19.4)	7.394	0.000	0.000
230	images/sec: 394.3 +/- 1.4 (jitter = 19.5)	7.387	0.004	0.004
240	images/sec: 394.1 +/- 1.4 (jitter = 19.8)	7.394	0.004	0.012
250	images/sec: 393.6 +/- 1.4 (jitter = 20.0)	7.387	0.000	0.000
260	images/sec: 393.9 +/- 1.3 (jitter = 19.3)	7.358	0.000	0.004
270	images/sec: 394.5 +/- 1.3 (jitter = 19.6)	7.374	0.004	0.004
280	images/sec: 394.7 +/- 1.3 (jitter = 19.8)	7.356	0.000	0.004
290	images/sec: 394.4 +/- 1.2 (jitter = 19.6)	7.356	0.000	0.004
300	images/sec: 394.3 +/- 1.2 (jitter = 19.6)	7.358	0.000	0.004
310	images/sec: 394.3 +/- 1.2 (jitter = 19.5)	7.397	0.000	0.008
320	images/sec: 394.2 +/- 1.2 (jitter = 19.2)	7.366	0.000	0.004
330	images/sec: 394.0 +/- 1.2 (jitter = 19.2)	7.384	0.004	0.008
340	images/sec: 394.4 +/- 1.2 (jitter = 19.5)	7.365	0.000	0.004
350	images/sec: 394.1 +/- 1.1 (jitter = 19.5)	7.335	0.004	0.004
360	images/sec: 394.3 +/- 1.1 (jitter = 19.5)	7.354	0.000	0.000
370	images/sec: 394.1 +/- 1.1 (jitter = 19.7)	7.369	0.000	0.004
380	images/sec: 393.9 +/- 1.1 (jitter = 19.7)	7.368	0.000	0.008
390	images/sec: 393.9 +/- 1.1 (jitter = 19.8)	7.328	0.000	0.004
400	images/sec: 394.0 +/- 1.1 (jitter = 19.7)	7.360	0.000	0.000
410	images/sec: 394.2 +/- 1.1 (jitter = 19.8)	7.363	0.000	0.016
420	images/sec: 394.2 +/- 1.0 (jitter = 19.8)	7.344	0.000	0.000
430	images/sec: 394.4 +/- 1.0 (jitter = 19.8)	7.329	0.000	0.000
440	images/sec: 394.4 +/- 1.0 (jitter = 19.9)	7.361	0.000	0.004
450	images/sec: 394.4 +/- 1.0 (jitter = 19.8)	7.360	0.000	0.004
460	images/sec: 394.3 +/- 1.0 (jitter = 19.6)	7.341	0.000	0.000
