TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 649.4 +/- 0.0 (jitter = 0.0)	8.213	0.004	0.016
10	images/sec: 643.3 +/- 4.7 (jitter = 14.3)	8.082	0.000	0.000
20	images/sec: 637.8 +/- 4.6 (jitter = 20.1)	8.196	0.004	0.012
30	images/sec: 626.4 +/- 6.5 (jitter = 21.7)	8.189	0.000	0.000
40	images/sec: 622.3 +/- 6.6 (jitter = 28.1)	8.288	0.000	0.000
50	images/sec: 626.9 +/- 5.5 (jitter = 22.9)	8.202	0.000	0.004
60	images/sec: 626.0 +/- 4.8 (jitter = 25.0)	8.009	0.000	0.008
70	images/sec: 623.5 +/- 5.1 (jitter = 21.0)	8.186	0.000	0.000
80	images/sec: 623.5 +/- 4.6 (jitter = 21.4)	7.941	0.004	0.016
90	images/sec: 624.7 +/- 4.1 (jitter = 23.9)	8.108	0.012	0.016
100	images/sec: 624.4 +/- 4.0 (jitter = 24.2)	7.944	0.000	0.004
110	images/sec: 622.9 +/- 3.8 (jitter = 25.1)	8.072	0.000	0.004
120	images/sec: 622.8 +/- 3.6 (jitter = 24.3)	7.881	0.004	0.012
130	images/sec: 621.6 +/- 3.4 (jitter = 24.3)	7.891	0.000	0.004
140	images/sec: 620.4 +/- 3.3 (jitter = 26.8)	7.971	0.000	0.012
150	images/sec: 621.0 +/- 3.1 (jitter = 26.1)	7.874	0.000	0.004
160	images/sec: 620.8 +/- 3.0 (jitter = 26.1)	7.786	0.004	0.023
170	images/sec: 620.8 +/- 2.9 (jitter = 25.9)	7.792	0.000	0.000
180	images/sec: 619.1 +/- 2.9 (jitter = 26.3)	7.729	0.008	0.020
190	images/sec: 619.2 +/- 2.8 (jitter = 26.2)	7.798	0.004	0.016
200	images/sec: 619.9 +/- 2.7 (jitter = 26.0)	7.800	0.000	0.016
210	images/sec: 619.8 +/- 2.7 (jitter = 26.3)	7.812	0.000	0.020
220	images/sec: 619.8 +/- 2.6 (jitter = 25.7)	7.833	0.000	0.012
230	images/sec: 619.6 +/- 2.6 (jitter = 25.8)	7.742	0.008	0.016
240	images/sec: 620.0 +/- 2.5 (jitter = 25.5)	7.750	0.004	0.016
250	images/sec: 620.4 +/- 2.4 (jitter = 24.8)	7.740	0.004	0.012
260	images/sec: 619.7 +/- 2.4 (jitter = 25.3)	7.758	0.016	0.031
270	images/sec: 620.0 +/- 2.3 (jitter = 24.8)	7.723	0.004	0.016
280	images/sec: 619.8 +/- 2.3 (jitter = 25.6)	7.738	0.004	0.012
290	images/sec: 619.6 +/- 2.2 (jitter = 25.2)	7.684	0.008	0.016
300	images/sec: 618.6 +/- 2.2 (jitter = 25.4)	7.650	0.008	0.027
310	images/sec: 618.6 +/- 2.2 (jitter = 25.2)	7.746	0.008	0.016
320	images/sec: 618.7 +/- 2.2 (jitter = 26.1)	7.688	0.008	0.016
330	images/sec: 619.2 +/- 2.1 (jitter = 25.3)	7.673	0.008	0.012
340	images/sec: 618.8 +/- 2.1 (jitter = 26.0)	7.641	0.000	0.035
350	images/sec: 618.0 +/- 2.1 (jitter = 26.6)	7.659	0.008	0.020
360	images/sec: 618.3 +/- 2.0 (jitter = 26.6)	7.667	0.004	0.008
370	images/sec: 618.1 +/- 2.0 (jitter = 26.2)	7.639	0.008	0.016
380	images/sec: 618.1 +/- 2.0 (jitter = 26.2)	7.590	0.012	0.043
390	images/sec: 618.7 +/- 1.9 (jitter = 26.2)	7.694	0.004	0.012
400	images/sec: 618.5 +/- 1.9 (jitter = 26.2)	7.599	0.000	0.016
410	images/sec: 618.4 +/- 1.9 (jitter = 26.6)	7.607	0.008	0.027
420	images/sec: 618.5 +/- 1.8 (jitter = 27.1)	7.600	0.012	0.023
430	images/sec: 618.2 +/- 1.8 (jitter = 27.7)	7.633	0.008	0.027
440	images/sec: 617.8 +/- 1.8 (jitter = 28.0)	7.531	0.012	0.031
450	images/sec: 617.3 +/- 1.8 (jitter = 28.7)	7.603	0.008	0.020
460	images/sec: 617.2 +/- 1.8 (jitter = 28.5)	7.581	0.000	0.008
470	images/sec: 616.9 +/- 1.8 (jitter = 28.8)	7.638	0.004	0.027
480	images/sec: 617.0 +/- 1.7 (jitter = 28.9)	7.571	0.023	0.035
