TensorFlow:  1.5
Model:       vgg16
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 362.0 +/- 0.0 (jitter = 0.0)	7.255	0.000	0.008
10	images/sec: 358.9 +/- 1.3 (jitter = 6.1)	7.255	0.000	0.008
20	images/sec: 350.5 +/- 5.1 (jitter = 5.7)	7.255	0.000	0.000
30	images/sec: 348.8 +/- 4.7 (jitter = 4.6)	7.255	0.000	0.000
40	images/sec: 347.2 +/- 4.3 (jitter = 4.9)	7.255	0.000	0.000
50	images/sec: 345.2 +/- 3.9 (jitter = 5.1)	7.255	0.000	0.008
60	images/sec: 345.9 +/- 3.4 (jitter = 4.9)	7.255	0.008	0.016
70	images/sec: 347.1 +/- 2.9 (jitter = 5.5)	7.255	0.000	0.000
80	images/sec: 346.3 +/- 2.8 (jitter = 5.9)	7.255	0.000	0.000
90	images/sec: 346.9 +/- 2.5 (jitter = 6.1)	7.255	0.000	0.008
100	images/sec: 346.5 +/- 2.5 (jitter = 5.7)	7.255	0.000	0.008
110	images/sec: 345.9 +/- 2.4 (jitter = 5.9)	7.255	0.000	0.008
120	images/sec: 345.5 +/- 2.3 (jitter = 6.0)	7.255	0.000	0.008
130	images/sec: 345.8 +/- 2.2 (jitter = 6.1)	7.255	0.000	0.000
140	images/sec: 345.5 +/- 2.2 (jitter = 6.6)	7.255	0.000	0.000
150	images/sec: 344.7 +/- 2.2 (jitter = 6.9)	7.255	0.000	0.000
160	images/sec: 344.6 +/- 2.1 (jitter = 7.0)	7.255	0.000	0.000
170	images/sec: 345.2 +/- 2.0 (jitter = 7.0)	7.255	0.000	0.000
180	images/sec: 344.8 +/- 2.0 (jitter = 6.9)	7.255	0.000	0.008
190	images/sec: 345.4 +/- 1.9 (jitter = 6.8)	7.255	0.000	0.000
200	images/sec: 346.0 +/- 1.8 (jitter = 6.4)	7.255	0.000	0.016
210	images/sec: 346.0 +/- 1.8 (jitter = 6.5)	7.255	0.000	0.000
220	images/sec: 346.5 +/- 1.7 (jitter = 6.2)	7.255	0.000	0.000
230	images/sec: 346.4 +/- 1.7 (jitter = 6.4)	7.255	0.000	0.008
240	images/sec: 346.2 +/- 1.7 (jitter = 6.6)	7.255	0.000	0.008
250	images/sec: 345.2 +/- 1.7 (jitter = 6.4)	7.255	0.000	0.016
260	images/sec: 345.5 +/- 1.7 (jitter = 6.7)	7.255	0.000	0.008
270	images/sec: 345.3 +/- 1.7 (jitter = 6.8)	7.255	0.000	0.016
280	images/sec: 345.6 +/- 1.6 (jitter = 6.7)	7.255	0.000	0.008
290	images/sec: 345.5 +/- 1.6 (jitter = 6.9)	7.255	0.000	0.000
300	images/sec: 345.1 +/- 1.6 (jitter = 7.0)	7.255	0.000	0.000
310	images/sec: 344.9 +/- 1.6 (jitter = 7.0)	7.255	0.000	0.000
320	images/sec: 344.8 +/- 1.6 (jitter = 7.0)	7.255	0.000	0.000
330	images/sec: 344.8 +/- 1.5 (jitter = 7.0)	7.255	0.000	0.008
340	images/sec: 345.2 +/- 1.5 (jitter = 7.0)	7.255	0.008	0.008
350	images/sec: 345.2 +/- 1.5 (jitter = 7.1)	7.255	0.008	0.016
360	images/sec: 345.0 +/- 1.5 (jitter = 7.1)	7.255	0.008	0.008
370	images/sec: 345.3 +/- 1.4 (jitter = 7.0)	7.255	0.000	0.000
380	images/sec: 345.3 +/- 1.4 (jitter = 7.0)	7.255	0.000	0.008
390	images/sec: 345.6 +/- 1.4 (jitter = 7.1)	7.255	0.000	0.000
400	images/sec: 345.7 +/- 1.3 (jitter = 7.1)	7.255	0.000	0.000
410	images/sec: 345.8 +/- 1.3 (jitter = 7.0)	7.255	0.000	0.000
420	images/sec: 345.7 +/- 1.3 (jitter = 7.1)	7.255	0.000	0.008
430	images/sec: 345.3 +/- 1.3 (jitter = 7.3)	7.255	0.000	0.000
440	images/sec: 345.0 +/- 1.3 (jitter = 7.2)	7.255	0.008	0.008
450	images/sec: 345.4 +/- 1.3 (jitter = 7.3)	7.255	0.000	0.000
460	images/sec: 345.2 +/- 1.3 (jitter = 7.3)	7.255	0.000	0.000
470	images/sec: 345.2 +/- 1.3 (jitter = 7.4)	7.255	0.000	0.008
480	images/sec: 345.3 +/- 1.3 (jitter = 7.3)	7.255	0.000	0.016
490	images/sec: 345.5 +/- 1.3 (jitter = 7.3)	7.255	0.016	0.023
500	images/sec: 345.4 +/- 1.3 (jitter = 7.3)	7.255	0.000	0.000
510	images/sec: 345.4 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
520	images/sec: 345.5 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
530	images/sec: 345.9 +/- 1.2 (jitter = 7.4)	7.255	0.008	0.008
540	images/sec: 345.9 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
550	images/sec: 345.8 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
560	images/sec: 345.8 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
570	images/sec: 345.5 +/- 1.2 (jitter = 7.4)	7.255	0.000	0.008
580	images/sec: 345.5 +/- 1.2 (jitter = 7.4)	7.255	0.000	0.008
590	images/sec: 345.5 +/- 1.2 (jitter = 7.4)	7.255	0.000	0.016
600	images/sec: 345.5 +/- 1.1 (jitter = 7.3)	7.255	0.000	0.000
610	images/sec: 345.4 +/- 1.1 (jitter = 7.2)	7.255	0.000	0.000
620	images/sec: 344.8 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
630	images/sec: 344.7 +/- 1.2 (jitter = 7.3)	7.255	0.000	0.000
