TensorFlow:  1.5
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 1391.6 +/- 0.0 (jitter = 0.0)	7.205	0.000	0.008
10	images/sec: 84.7 +/- 176.8 (jitter = 347.0)	7.199	0.000	0.000
20	images/sec: 161.8 +/- 96.2 (jitter = 214.9)	7.201	0.000	0.000
30	images/sec: 232.7 +/- 67.7 (jitter = 160.0)	7.199	0.000	0.000
40	images/sec: 298.5 +/- 54.7 (jitter = 174.8)	7.200	0.000	0.000
50	images/sec: 357.7 +/- 47.3 (jitter = 163.9)	7.204	0.000	0.000
60	images/sec: 413.1 +/- 41.0 (jitter = 175.4)	7.204	0.000	0.000
70	images/sec: 465.6 +/- 36.2 (jitter = 175.0)	7.203	0.000	0.008
80	images/sec: 514.9 +/- 32.3 (jitter = 156.4)	7.197	0.000	0.008
90	images/sec: 560.5 +/- 29.1 (jitter = 144.3)	7.201	0.000	0.000
100	images/sec: 603.3 +/- 26.4 (jitter = 136.3)	7.198	0.008	0.008
110	images/sec: 380.4 +/- 29.7 (jitter = 140.1)	7.199	0.000	0.023
120	images/sec: 407.6 +/- 28.0 (jitter = 137.5)	7.202	0.000	0.008
130	images/sec: 433.5 +/- 26.9 (jitter = 134.8)	7.200	0.000	0.000
140	images/sec: 458.6 +/- 25.1 (jitter = 132.8)	7.199	0.000	0.000
150	images/sec: 483.2 +/- 23.5 (jitter = 127.7)	7.201	0.000	0.008
160	images/sec: 507.0 +/- 22.4 (jitter = 127.3)	7.195	0.000	0.008
170	images/sec: 530.1 +/- 21.2 (jitter = 124.8)	7.202	0.000	0.000
180	images/sec: 552.6 +/- 20.2 (jitter = 125.3)	7.197	0.000	0.008
190	images/sec: 574.2 +/- 19.3 (jitter = 125.0)	7.197	0.000	0.000
200	images/sec: 595.0 +/- 18.4 (jitter = 117.0)	7.197	0.008	0.023
210	images/sec: 456.5 +/- 19.8 (jitter = 121.9)	7.193	0.000	0.000
220	images/sec: 472.9 +/- 19.0 (jitter = 120.8)	7.199	0.000	0.008
230	images/sec: 488.9 +/- 18.2 (jitter = 119.5)	7.196	0.008	0.008
240	images/sec: 504.6 +/- 17.6 (jitter = 117.0)	7.201	0.000	0.000
250	images/sec: 519.8 +/- 17.0 (jitter = 117.4)	7.195	0.000	0.008
260	images/sec: 534.8 +/- 16.4 (jitter = 114.7)	7.198	0.000	0.000
