TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 633.7 +/- 0.0 (jitter = 0.0)	8.259	0.000	0.000
10	images/sec: 645.9 +/- 5.2 (jitter = 19.0)	8.063	0.000	0.008
20	images/sec: 630.4 +/- 7.6 (jitter = 27.8)	8.109	0.004	0.008
30	images/sec: 633.2 +/- 5.8 (jitter = 22.6)	8.128	0.000	0.004
40	images/sec: 630.0 +/- 5.1 (jitter = 27.7)	8.082	0.004	0.008
50	images/sec: 378.1 +/- 13.1 (jitter = 29.9)	8.141	0.000	0.004
60	images/sec: 404.0 +/- 11.0 (jitter = 32.6)	8.039	0.000	0.004
70	images/sec: 425.0 +/- 9.5 (jitter = 31.2)	8.013	0.000	0.012
80	images/sec: 442.8 +/- 8.4 (jitter = 28.8)	8.124	0.000	0.000
90	images/sec: 457.7 +/- 7.6 (jitter = 29.6)	8.060	0.000	0.004
100	images/sec: 377.3 +/- 9.2 (jitter = 29.6)	7.958	0.000	0.004
110	images/sec: 391.2 +/- 8.4 (jitter = 29.5)	7.947	0.000	0.000
120	images/sec: 403.5 +/- 7.7 (jitter = 28.5)	8.013	0.004	0.008
130	images/sec: 414.4 +/- 7.2 (jitter = 28.1)	7.937	0.000	0.004
140	images/sec: 424.7 +/- 6.7 (jitter = 27.2)	7.864	0.004	0.008
150	images/sec: 382.3 +/- 7.4 (jitter = 26.2)	7.849	0.000	0.004
160	images/sec: 391.8 +/- 6.9 (jitter = 26.0)	7.756	0.004	0.012
170	images/sec: 400.2 +/- 6.6 (jitter = 27.2)	7.888	0.004	0.020
180	images/sec: 406.8 +/- 6.4 (jitter = 26.5)	7.855	0.004	0.012
190	images/sec: 413.9 +/- 6.1 (jitter = 26.1)	7.812	0.000	0.031
200	images/sec: 371.2 +/- 6.5 (jitter = 28.0)	7.789	0.008	0.023
210	images/sec: 378.0 +/- 6.3 (jitter = 27.3)	7.762	0.000	0.020
220	images/sec: 384.6 +/- 6.0 (jitter = 26.6)	7.753	0.000	0.027
230	images/sec: 391.0 +/- 5.8 (jitter = 26.4)	7.733	0.004	0.008
240	images/sec: 397.1 +/- 5.5 (jitter = 25.7)	7.812	0.000	0.012
250	images/sec: 369.1 +/- 5.8 (jitter = 26.2)	7.683	0.012	0.027
260	images/sec: 374.6 +/- 5.6 (jitter = 26.0)	7.767	0.008	0.020
270	images/sec: 380.3 +/- 5.4 (jitter = 25.8)	7.706	0.004	0.016
280	images/sec: 385.6 +/- 5.2 (jitter = 25.7)	7.711	0.000	0.012
290	images/sec: 390.8 +/- 5.1 (jitter = 25.0)	7.683	0.004	0.012
300	images/sec: 370.3 +/- 5.3 (jitter = 25.3)	7.694	0.000	0.008
310	images/sec: 375.3 +/- 5.1 (jitter = 25.1)	7.690	0.004	0.016
320	images/sec: 379.9 +/- 5.0 (jitter = 24.4)	7.734	0.000	0.016
330	images/sec: 384.2 +/- 4.8 (jitter = 24.8)	7.736	0.000	0.020
340	images/sec: 367.9 +/- 5.0 (jitter = 25.6)	7.669	0.000	0.016
350	images/sec: 372.3 +/- 4.9 (jitter = 25.4)	7.599	0.008	0.027
360	images/sec: 376.4 +/- 4.8 (jitter = 25.9)	7.665	0.000	0.020
370	images/sec: 380.5 +/- 4.6 (jitter = 26.2)	7.661	0.004	0.012
380	images/sec: 384.4 +/- 4.5 (jitter = 26.0)	7.669	0.004	0.008
390	images/sec: 369.7 +/- 4.8 (jitter = 26.1)	7.528	0.000	0.016
400	images/sec: 373.3 +/- 4.7 (jitter = 26.3)	7.673	0.012	0.020
410	images/sec: 377.0 +/- 4.6 (jitter = 26.3)	7.545	0.008	0.016
420	images/sec: 380.4 +/- 4.5 (jitter = 26.6)	7.568	0.004	0.012
430	images/sec: 383.7 +/- 4.4 (jitter = 26.7)	7.540	0.004	0.023
440	images/sec: 370.7 +/- 4.5 (jitter = 26.6)	7.570	0.000	0.027
450	images/sec: 373.7 +/- 4.4 (jitter = 26.7)	7.514	0.012	0.035
460	images/sec: 376.9 +/- 4.3 (jitter = 26.8)	7.505	0.000	0.016
470	images/sec: 380.0 +/- 4.3 (jitter = 27.0)	7.554	0.012	0.027
480	images/sec: 382.9 +/- 4.2 (jitter = 26.9)	7.494	0.016	0.035
490	images/sec: 367.6 +/- 4.4 (jitter = 27.1)	7.469	0.000	0.020
500	images/sec: 370.6 +/- 4.4 (jitter = 27.2)	7.483	0.004	0.008
510	images/sec: 373.5 +/- 4.3 (jitter = 27.3)	7.534	0.004	0.035
520	images/sec: 376.3 +/- 4.2 (jitter = 27.1)	7.487	0.012	0.020
530	images/sec: 379.1 +/- 4.1 (jitter = 27.5)	7.567	0.004	0.023
540	images/sec: 370.8 +/- 4.2 (jitter = 27.7)	7.503	0.004	0.016
550	images/sec: 373.5 +/- 4.1 (jitter = 27.1)	7.484	0.012	0.020
560	images/sec: 376.2 +/- 4.0 (jitter = 26.8)	7.517	0.004	0.039
570	images/sec: 378.8 +/- 4.0 (jitter = 27.4)	7.475	0.004	0.031
580	images/sec: 381.3 +/- 3.9 (jitter = 27.6)	7.482	0.012	0.035
590	images/sec: 373.5 +/- 4.0 (jitter = 27.5)	7.527	0.004	0.016
600	images/sec: 376.0 +/- 3.9 (jitter = 27.5)	7.383	0.004	0.023
610	images/sec: 378.4 +/- 3.9 (jitter = 27.5)	7.397	0.008	0.031
620	images/sec: 380.7 +/- 3.8 (jitter = 27.6)	7.392	0.004	0.031
