TensorFlow:  1.5
Model:       vgg16
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 397.2 +/- 0.0 (jitter = 0.0)	7.255	0.000	0.000
10	images/sec: 395.5 +/- 1.5 (jitter = 3.3)	7.255	0.000	0.020
20	images/sec: 390.6 +/- 3.1 (jitter = 3.4)	7.255	0.000	0.000
30	images/sec: 387.5 +/- 2.7 (jitter = 5.7)	7.255	0.004	0.004
40	images/sec: 387.3 +/- 2.3 (jitter = 5.9)	7.255	0.000	0.004
50	images/sec: 270.3 +/- 7.6 (jitter = 6.3)	7.255	0.000	0.004
60	images/sec: 283.2 +/- 6.5 (jitter = 6.3)	7.255	0.000	0.008
70	images/sec: 294.6 +/- 5.6 (jitter = 6.9)	7.255	0.000	0.000
80	images/sec: 303.5 +/- 5.0 (jitter = 6.3)	7.255	0.000	0.004
90	images/sec: 309.3 +/- 4.7 (jitter = 7.3)	7.255	0.000	0.008
100	images/sec: 279.7 +/- 5.5 (jitter = 8.9)	7.255	0.000	0.004
110	images/sec: 286.9 +/- 5.0 (jitter = 8.9)	7.255	0.000	0.008
120	images/sec: 293.2 +/- 4.6 (jitter = 9.7)	7.255	0.004	0.012
130	images/sec: 298.0 +/- 4.4 (jitter = 9.7)	7.255	0.004	0.008
140	images/sec: 303.0 +/- 4.1 (jitter = 9.7)	7.255	0.004	0.008
150	images/sec: 270.7 +/- 4.5 (jitter = 9.6)	7.255	0.004	0.008
160	images/sec: 276.0 +/- 4.3 (jitter = 8.8)	7.255	0.000	0.000
170	images/sec: 280.8 +/- 4.0 (jitter = 8.9)	7.255	0.000	0.000
180	images/sec: 285.2 +/- 3.8 (jitter = 8.9)	7.255	0.000	0.004
190	images/sec: 288.8 +/- 3.7 (jitter = 8.7)	7.255	0.000	0.008
200	images/sec: 269.2 +/- 3.9 (jitter = 8.7)	7.255	0.000	0.012
210	images/sec: 273.0 +/- 3.8 (jitter = 8.9)	7.255	0.004	0.004
220	images/sec: 276.8 +/- 3.6 (jitter = 9.1)	7.255	0.000	0.008
230	images/sec: 279.9 +/- 3.5 (jitter = 8.7)	7.255	0.000	0.012
240	images/sec: 282.8 +/- 3.4 (jitter = 8.6)	7.255	0.008	0.008
250	images/sec: 268.8 +/- 3.6 (jitter = 8.8)	7.255	0.000	0.000
260	images/sec: 272.1 +/- 3.4 (jitter = 8.7)	7.255	0.004	0.016
270	images/sec: 274.7 +/- 3.3 (jitter = 9.0)	7.255	0.000	0.004
280	images/sec: 277.3 +/- 3.2 (jitter = 9.0)	7.255	0.000	0.000
290	images/sec: 280.1 +/- 3.1 (jitter = 8.9)	7.255	0.000	0.004
300	images/sec: 272.9 +/- 3.2 (jitter = 9.1)	7.255	0.000	0.000
310	images/sec: 275.7 +/- 3.2 (jitter = 9.0)	7.255	0.000	0.000
320	images/sec: 278.3 +/- 3.1 (jitter = 9.0)	7.255	0.000	0.008
330	images/sec: 280.2 +/- 3.0 (jitter = 9.0)	7.255	0.000	0.004
340	images/sec: 272.4 +/- 3.1 (jitter = 9.0)	7.255	0.000	0.004
350	images/sec: 274.7 +/- 3.0 (jitter = 9.1)	7.255	0.000	0.000
360	images/sec: 276.7 +/- 2.9 (jitter = 9.1)	7.255	0.000	0.008
370	images/sec: 278.3 +/- 2.9 (jitter = 9.2)	7.255	0.000	0.008
380	images/sec: 280.4 +/- 2.8 (jitter = 9.1)	7.255	0.000	0.000
390	images/sec: 268.8 +/- 2.9 (jitter = 9.1)	7.255	0.000	0.000
400	images/sec: 270.6 +/- 2.9 (jitter = 9.4)	7.255	0.000	0.000
410	images/sec: 272.7 +/- 2.8 (jitter = 9.2)	7.255	0.004	0.012
420	images/sec: 274.7 +/- 2.7 (jitter = 9.1)	7.255	0.000	0.008
430	images/sec: 276.3 +/- 2.7 (jitter = 9.1)	7.255	0.000	0.004
440	images/sec: 271.2 +/- 2.8 (jitter = 9.3)	7.255	0.004	0.004
450	images/sec: 273.0 +/- 2.7 (jitter = 9.0)	7.255	0.000	0.004
460	images/sec: 274.6 +/- 2.7 (jitter = 9.2)	7.255	0.000	0.004
470	images/sec: 276.0 +/- 2.6 (jitter = 9.4)	7.255	0.000	0.000
480	images/sec: 277.6 +/- 2.6 (jitter = 9.3)	7.255	0.000	0.000
490	images/sec: 270.1 +/- 2.6 (jitter = 9.5)	7.255	0.000	0.000
500	images/sec: 271.5 +/- 2.6 (jitter = 9.5)	7.255	0.000	0.000
510	images/sec: 273.1 +/- 2.6 (jitter = 9.5)	7.255	0.000	0.004
520	images/sec: 274.6 +/- 2.5 (jitter = 9.5)	7.255	0.000	0.004
530	images/sec: 276.0 +/- 2.5 (jitter = 9.7)	7.255	0.000	0.004
540	images/sec: 269.4 +/- 2.5 (jitter = 9.8)	7.255	0.000	0.008
550	images/sec: 270.5 +/- 2.5 (jitter = 9.7)	7.255	0.000	0.004
560	images/sec: 271.9 +/- 2.5 (jitter = 9.8)	7.255	0.000	0.004
570	images/sec: 273.1 +/- 2.4 (jitter = 9.9)	7.255	0.008	0.012
580	images/sec: 274.3 +/- 2.4 (jitter = 9.9)	7.255	0.000	0.000
590	images/sec: 267.9 +/- 2.4 (jitter = 9.9)	7.255	0.004	0.008
600	images/sec: 269.1 +/- 2.4 (jitter = 9.9)	7.255	0.000	0.004
610	images/sec: 270.4 +/- 2.4 (jitter = 9.9)	7.255	0.000	0.004
620	images/sec: 271.5 +/- 2.3 (jitter = 9.9)	7.255	0.000	0.004
630	images/sec: 272.6 +/- 2.3 (jitter = 10.0)	7.255	0.000	0.000
640	images/sec: 268.1 +/- 2.3 (jitter = 10.1)	7.255	0.000	0.004
650	images/sec: 269.4 +/- 2.3 (jitter = 10.1)	7.255	0.000	0.004
660	images/sec: 270.6 +/- 2.3 (jitter = 10.1)	7.255	0.000	0.004
670	images/sec: 271.9 +/- 2.2 (jitter = 9.8)	7.255	0.000	0.000
680	images/sec: 272.9 +/- 2.2 (jitter = 10.0)	7.255	0.000	0.004
690	images/sec: 268.0 +/- 2.3 (jitter = 10.0)	7.255	0.000	0.000
700	images/sec: 269.2 +/- 2.2 (jitter = 10.0)	7.255	0.004	0.004
710	images/sec: 270.4 +/- 2.2 (jitter = 10.0)	7.255	0.000	0.004
720	images/sec: 271.4 +/- 2.2 (jitter = 9.9)	7.255	0.000	0.004
730	images/sec: 268.7 +/- 2.2 (jitter = 9.9)	7.255	0.000	0.008
740	images/sec: 269.5 +/- 2.2 (jitter = 10.0)	7.255	0.000	0.000
750	images/sec: 270.5 +/- 2.2 (jitter = 10.0)	7.255	0.000	0.004
760	images/sec: 271.5 +/- 2.1 (jitter = 10.0)	7.255	0.000	0.008
770	images/sec: 272.3 +/- 2.1 (jitter = 10.0)	7.255	0.000	0.000
780	images/sec: 268.7 +/- 2.1 (jitter = 10.2)	7.255	0.000	0.004
790	images/sec: 269.8 +/- 2.1 (jitter = 10.2)	7.255	0.000	0.004
800	images/sec: 270.8 +/- 2.1 (jitter = 10.1)	7.255	0.000	0.000
810	images/sec: 271.7 +/- 2.1 (jitter = 10.2)	7.255	0.000	0.004
