TensorFlow:  1.5
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 331.2 +/- 0.0 (jitter = 0.0)	9.185	0.000	0.000
10	images/sec: 78.8 +/- 32.5 (jitter = 18.8)	8.746	0.000	0.008
20	images/sec: 128.1 +/- 17.4 (jitter = 17.5)	8.243	0.000	0.000
30	images/sec: 163.5 +/- 12.5 (jitter = 32.4)	8.188	0.008	0.008
40	images/sec: 189.8 +/- 10.0 (jitter = 33.4)	8.080	0.000	0.008
50	images/sec: 209.3 +/- 8.4 (jitter = 33.6)	7.943	0.000	0.008
60	images/sec: 223.1 +/- 7.1 (jitter = 32.0)	7.990	0.000	0.000
70	images/sec: 235.4 +/- 6.2 (jitter = 32.4)	7.875	0.000	0.008
80	images/sec: 246.6 +/- 5.6 (jitter = 35.2)	7.969	0.008	0.008
90	images/sec: 254.1 +/- 5.1 (jitter = 32.4)	7.898	0.000	0.000
100	images/sec: 262.5 +/- 4.7 (jitter = 39.0)	7.900	0.000	0.008
110	images/sec: 209.2 +/- 5.4 (jitter = 41.4)	7.858	0.008	0.016
120	images/sec: 216.8 +/- 5.0 (jitter = 40.2)	7.975	0.000	0.000
130	images/sec: 224.0 +/- 4.7 (jitter = 40.5)	7.828	0.000	0.000
140	images/sec: 229.7 +/- 4.5 (jitter = 41.6)	7.923	0.000	0.016
150	images/sec: 235.4 +/- 4.2 (jitter = 40.6)	7.790	0.000	0.016
160	images/sec: 241.1 +/- 4.0 (jitter = 41.4)	7.920	0.008	0.008
170	images/sec: 245.7 +/- 3.8 (jitter = 42.4)	7.814	0.000	0.016
180	images/sec: 250.0 +/- 3.6 (jitter = 42.0)	7.803	0.000	0.008
190	images/sec: 253.7 +/- 3.5 (jitter = 43.4)	7.792	0.000	0.008
200	images/sec: 257.1 +/- 3.3 (jitter = 43.0)	8.034	0.000	0.000
210	images/sec: 227.7 +/- 3.9 (jitter = 42.6)	7.868	0.008	0.031
220	images/sec: 231.0 +/- 3.8 (jitter = 42.4)	7.844	0.000	0.008
230	images/sec: 234.3 +/- 3.7 (jitter = 42.4)	7.868	0.000	0.008
240	images/sec: 237.3 +/- 3.5 (jitter = 40.8)	7.820	0.008	0.008
250	images/sec: 240.4 +/- 3.4 (jitter = 37.8)	7.812	0.000	0.008
260	images/sec: 243.2 +/- 3.3 (jitter = 35.9)	7.811	0.000	0.023
270	images/sec: 245.9 +/- 3.2 (jitter = 35.4)	7.834	0.008	0.016
280	images/sec: 248.4 +/- 3.1 (jitter = 33.8)	7.834	0.000	0.000
290	images/sec: 250.7 +/- 3.0 (jitter = 32.8)	7.797	0.000	0.008
300	images/sec: 253.1 +/- 2.9 (jitter = 31.8)	7.786	0.000	0.016
310	images/sec: 235.0 +/- 3.1 (jitter = 32.2)	7.764	0.008	0.023
320	images/sec: 237.0 +/- 3.0 (jitter = 31.3)	7.792	0.008	0.008
330	images/sec: 239.3 +/- 2.9 (jitter = 31.1)	7.751	0.008	0.031
340	images/sec: 241.3 +/- 2.8 (jitter = 31.0)	7.815	0.008	0.023
350	images/sec: 243.4 +/- 2.8 (jitter = 30.9)	7.853	0.000	0.008
360	images/sec: 245.6 +/- 2.7 (jitter = 30.8)	7.690	0.000	0.008
370	images/sec: 247.3 +/- 2.6 (jitter = 28.7)	7.865	0.000	0.008
380	images/sec: 249.1 +/- 2.6 (jitter = 28.3)	7.739	0.000	0.008
390	images/sec: 250.8 +/- 2.5 (jitter = 27.7)	7.795	0.000	0.000
400	images/sec: 236.4 +/- 2.6 (jitter = 27.7)	7.806	0.008	0.008
410	images/sec: 238.1 +/- 2.6 (jitter = 27.0)	7.707	0.000	0.008
420	images/sec: 239.6 +/- 2.5 (jitter = 26.0)	7.790	0.000	0.000
430	images/sec: 241.3 +/- 2.5 (jitter = 25.9)	7.692	0.008	0.031
440	images/sec: 243.1 +/- 2.4 (jitter = 26.1)	7.758	0.000	0.008
450	images/sec: 244.6 +/- 2.4 (jitter = 25.8)	7.706	0.000	0.008
460	images/sec: 246.1 +/- 2.3 (jitter = 25.6)	7.808	0.008	0.016
470	images/sec: 247.8 +/- 2.3 (jitter = 25.4)	7.732	0.000	0.008
480	images/sec: 249.3 +/- 2.3 (jitter = 25.8)	7.738	0.000	0.008
490	images/sec: 250.6 +/- 2.2 (jitter = 25.2)	7.726	0.008	0.016
500	images/sec: 236.6 +/- 2.3 (jitter = 25.6)	7.787	0.000	0.016
510	images/sec: 238.0 +/- 2.2 (jitter = 24.9)	7.754	0.000	0.000
520	images/sec: 239.6 +/- 2.2 (jitter = 25.4)	7.685	0.000	0.055
530	images/sec: 241.0 +/- 2.2 (jitter = 25.2)	7.717	0.000	0.000
540	images/sec: 242.4 +/- 2.1 (jitter = 25.2)	7.722	0.008	0.031
550	images/sec: 243.6 +/- 2.1 (jitter = 24.7)	7.665	0.008	0.016
560	images/sec: 245.0 +/- 2.1 (jitter = 25.1)	7.748	0.000	0.008
570	images/sec: 246.1 +/- 2.1 (jitter = 24.5)	7.808	0.000	0.000
580	images/sec: 247.3 +/- 2.0 (jitter = 24.5)	7.703	0.008	0.023
590	images/sec: 248.3 +/- 2.0 (jitter = 23.9)	7.724	0.008	0.023
600	images/sec: 237.9 +/- 2.0 (jitter = 23.8)	7.690	0.000	0.008
610	images/sec: 239.2 +/- 2.0 (jitter = 23.6)	7.684	0.000	0.008
620	images/sec: 240.4 +/- 2.0 (jitter = 23.6)	7.684	0.008	0.031
630	images/sec: 241.6 +/- 2.0 (jitter = 23.9)	7.649	0.008	0.016
640	images/sec: 242.8 +/- 1.9 (jitter = 24.3)	7.767	0.000	0.000
