TensorFlow:  1.5
Model:       vgg16
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  256 global
             128 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 256.1 +/- 0.0 (jitter = 0.0)	7.255	0.000	0.004
10	images/sec: 258.7 +/- 3.9 (jitter = 5.9)	7.255	0.004	0.020
20	images/sec: 259.9 +/- 2.6 (jitter = 8.9)	7.255	0.000	0.000
30	images/sec: 256.9 +/- 2.7 (jitter = 8.9)	7.255	0.004	0.008
40	images/sec: 256.0 +/- 2.2 (jitter = 10.7)	7.255	0.000	0.004
50	images/sec: 211.9 +/- 5.0 (jitter = 12.0)	7.255	0.000	0.008
60	images/sec: 218.5 +/- 4.2 (jitter = 10.9)	7.255	0.000	0.008
70	images/sec: 222.8 +/- 3.7 (jitter = 9.8)	7.255	0.000	0.000
80	images/sec: 225.8 +/- 3.3 (jitter = 11.3)	7.255	0.000	0.000
90	images/sec: 227.7 +/- 3.1 (jitter = 10.9)	7.255	0.000	0.004
100	images/sec: 206.5 +/- 3.8 (jitter = 12.0)	7.255	0.004	0.004
110	images/sec: 209.6 +/- 3.5 (jitter = 13.5)	7.255	0.000	0.008
120	images/sec: 212.4 +/- 3.3 (jitter = 13.1)	7.255	0.000	0.012
130	images/sec: 215.1 +/- 3.1 (jitter = 13.2)	7.255	0.000	0.008
140	images/sec: 218.0 +/- 2.9 (jitter = 12.8)	7.255	0.004	0.008
150	images/sec: 206.9 +/- 3.1 (jitter = 13.9)	7.255	0.008	0.008
160	images/sec: 209.3 +/- 3.0 (jitter = 14.5)	7.255	0.000	0.000
170	images/sec: 211.4 +/- 2.8 (jitter = 15.1)	7.255	0.000	0.000
180	images/sec: 213.7 +/- 2.7 (jitter = 13.9)	7.255	0.000	0.004
190	images/sec: 215.3 +/- 2.5 (jitter = 13.4)	7.255	0.000	0.012
200	images/sec: 207.9 +/- 2.7 (jitter = 14.7)	7.255	0.000	0.004
210	images/sec: 209.9 +/- 2.6 (jitter = 14.2)	7.255	0.004	0.004
220	images/sec: 211.4 +/- 2.5 (jitter = 12.6)	7.255	0.000	0.008
230	images/sec: 213.0 +/- 2.4 (jitter = 12.5)	7.255	0.004	0.012
240	images/sec: 214.6 +/- 2.3 (jitter = 12.5)	7.255	0.008	0.008
250	images/sec: 206.6 +/- 2.4 (jitter = 12.3)	7.255	0.000	0.000
260	images/sec: 208.1 +/- 2.3 (jitter = 12.6)	7.255	0.004	0.016
270	images/sec: 209.4 +/- 2.2 (jitter = 12.7)	7.255	0.000	0.004
280	images/sec: 210.4 +/- 2.1 (jitter = 13.0)	7.255	0.000	0.004
290	images/sec: 211.6 +/- 2.1 (jitter = 13.2)	7.255	0.000	0.004
300	images/sec: 206.1 +/- 2.2 (jitter = 13.5)	7.255	0.000	0.000
310	images/sec: 206.9 +/- 2.1 (jitter = 13.4)	7.255	0.000	0.000
320	images/sec: 208.1 +/- 2.1 (jitter = 13.1)	7.255	0.000	0.000
330	images/sec: 209.1 +/- 2.0 (jitter = 13.2)	7.255	0.000	0.004
340	images/sec: 203.9 +/- 2.1 (jitter = 13.7)	7.255	0.000	0.012
350	images/sec: 205.0 +/- 2.0 (jitter = 14.3)	7.255	0.000	0.000
360	images/sec: 205.7 +/- 2.0 (jitter = 14.4)	7.255	0.004	0.008
370	images/sec: 206.7 +/- 1.9 (jitter = 14.6)	7.255	0.004	0.016
380	images/sec: 207.5 +/- 1.9 (jitter = 14.5)	7.255	0.000	0.004
390	images/sec: 202.0 +/- 1.9 (jitter = 15.0)	7.255	0.004	0.004
400	images/sec: 203.0 +/- 1.9 (jitter = 15.1)	7.255	0.000	0.000
410	images/sec: 204.0 +/- 1.9 (jitter = 15.1)	7.255	0.004	0.016
420	images/sec: 204.9 +/- 1.8 (jitter = 15.1)	7.255	0.004	0.008
430	images/sec: 205.8 +/- 1.8 (jitter = 15.0)	7.255	0.000	0.000
440	images/sec: 202.1 +/- 1.8 (jitter = 15.3)	7.255	0.008	0.012
450	images/sec: 202.9 +/- 1.8 (jitter = 15.5)	7.255	0.000	0.004
460	images/sec: 203.7 +/- 1.7 (jitter = 15.8)	7.255	0.000	0.004
470	images/sec: 204.4 +/- 1.7 (jitter = 15.5)	7.255	0.000	0.000
480	images/sec: 204.9 +/- 1.7 (jitter = 15.0)	7.255	0.000	0.008
490	images/sec: 201.1 +/- 1.7 (jitter = 15.3)	7.255	0.000	0.000
500	images/sec: 202.0 +/- 1.7 (jitter = 15.3)	7.255	0.000	0.004
510	images/sec: 202.5 +/- 1.7 (jitter = 15.4)	7.255	0.000	0.008
520	images/sec: 203.3 +/- 1.7 (jitter = 15.3)	7.255	0.000	0.000
