gpu,gpu-count,cpu,mem(GB),storage,framework,network,batchsize,thpt(images/sec),average-gpu-util(%)
V100,1,30,9,disk,tf,alexnet,128,854.11,19.6667
V100,1,30,9,disk,tf,alexnet,64,867.10,16.9851
V100,1,30,9,disk,tf,inception3,128,223.28,84.652
V100,1,30,9,disk,tf,inception3,64,213.65,60.8035
V100,1,30,9,disk,tf,resnet50,128,345.73,81.3472
V100,1,30,9,disk,tf,resnet50,64,323.94,69.5308
V100,1,30,9,disk,tf,vgg16,128,216.31,88.9969
V100,1,30,9,disk,tf,vgg16,64,212.34,80.9834
V100,1,30,9,disk,mcos,tf,alexnet,620.49,18.9658
V100,1,30,9,disk,mcos,tf,alexnet,575.58,17.8235
V100,1,30,9,disk,mcos,tf,inception3,172.13,73.4961
V100,1,30,9,disk,mcos,tf,inception3,168.11,56.0079
V100,1,30,9,disk,mcos,tf,resnet50,247.57,65.9593
V100,1,30,9,disk,mcos,tf,vgg16,167.38,79.1472
V100,1,30,9,disk,mcos,tf,vgg16,164.20,74.0577
V100,2,24,9,disk,mcos,tf,alexnet,626.61,9.72603
V100,2,24,9,disk,mcos,tf,alexnet,598.61,9.15833
V100,2,24,9,disk,mcos,tf,inception3,280.50,57.0117
V100,2,24,9,disk,mcos,tf,inception3,255.37,44.8952
V100,2,24,9,disk,mcos,tf,resnet50,371.29,47.8694
V100,2,24,9,disk,mcos,tf,resnet50,339.43,46.1144
V100,2,24,9,disk,mcos,tf,vgg16,273.99,60.922
V100,2,24,9,disk,mcos,tf,vgg16,250.74,54.4755
V100,2,30,9,disk,mcos,tf,alexnet,606.48,10.4188
V100,2,30,9,disk,mcos,tf,inception3,259.59,44.125
V100,2,30,9,disk,mcos,tf,resnet50,379.82,47.4517
V100,2,30,9,disk,mcos,tf,resnet50,341.17,45.0854
V100,2,30,9,disk,mcos,tf,vgg16,271.42,60.3892
V100,2,30,9,disk,mcos,tf,vgg16,250.68,53.2049
