gpu,gpu-count,cpu,mem(GB),storage,framework,network,batchsize,thpt(images/sec),average-gpu-util(%)
V100,1,30,9,disk,tf,alexnet,128,854.11,26.818
V100,1,30,9,disk,tf,alexnet,64,867.10,27.692
V100,1,30,9,disk,tf,inception3,128,223.28,91.8503
V100,1,30,9,disk,tf,inception3,64,213.65,67.922
V100,1,30,9,disk,tf,resnet50,128,345.73,91.5156
V100,1,30,9,disk,tf,resnet50,64,323.94,86.086
V100,1,30,9,disk,tf,vgg16,128,216.31,96.389
V100,1,30,9,disk,tf,vgg16,64,212.34,93.962
V100,1,30,9,mcos-v1,tf,alexnet,128,780.41,21.8202
V100,1,30,9,mcos-v1,tf,alexnet,64,838.29,21.9111
V100,1,30,9,mcos-v1,tf,inception3,128,206.33,95.7249
V100,1,30,9,mcos-v1,tf,inception3,64,200.95,90.2671
V100,1,30,9,mcos-v1,tf,resnet50,128,318.20,93.1214
V100,1,30,9,mcos-v1,tf,resnet50,64,291.56,81.3051
V100,1,30,9,mcos-v1,tf,vgg16,128,194.28,96.6746
V100,1,30,9,mcos-v1,tf,vgg16,64,187.18,91.3616
V100,1,30,9,mcos,tf,alexnet,128,620.49,21.5437
V100,1,30,9,mcos,tf,alexnet,64,575.58,21.6429
V100,1,30,9,mcos,tf,inception3,128,172.13,74.0733
V100,1,30,9,mcos,tf,inception3,64,168.11,73.8021
V100,1,30,9,mcos,tf,resnet50,128,247.57,69.2957
V100,1,30,9,mcos,tf,vgg16,128,167.38,79.3486
V100,1,30,9,mcos,tf,vgg16,64,164.20,74.4155
