WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-07-02 17:50:13.639071: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-07-02 17:50:13.811133: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:81:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-07-02 17:50:13.811188: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0
2018-07-02 17:50:14.198514: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-07-02 17:50:14.198586: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 
2018-07-02 17:50:14.198602: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N 
2018-07-02 17:50:14.199069: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64.0 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 1168.6 +/- 0.0 (jitter = 0.0)	7.199	0.000	0.000
10	images/sec: 1143.4 +/- 77.1 (jitter = 180.2)	7.197	0.000	0.000
20	images/sec: 1105.2 +/- 57.5 (jitter = 201.7)	7.200	0.000	0.000
30	images/sec: 1095.6 +/- 47.4 (jitter = 230.6)	7.202	0.000	0.000
40	images/sec: 1052.3 +/- 41.9 (jitter = 222.2)	7.200	0.000	0.000
50	images/sec: 1048.1 +/- 36.8 (jitter = 230.7)	7.207	0.000	0.000
60	images/sec: 1037.8 +/- 32.3 (jitter = 212.3)	7.203	0.000	0.016
70	images/sec: 1035.5 +/- 28.2 (jitter = 173.5)	7.203	0.000	0.000
80	images/sec: 1019.5 +/- 26.0 (jitter = 169.3)	7.199	0.000	0.000
90	images/sec: 1025.6 +/- 24.8 (jitter = 169.3)	7.199	0.000	0.000
100	images/sec: 1028.6 +/- 22.7 (jitter = 172.6)	7.200	0.000	0.000
110	images/sec: 1028.7 +/- 22.3 (jitter = 184.1)	7.197	0.000	0.016
120	images/sec: 1028.4 +/- 21.0 (jitter = 194.2)	7.204	0.000	0.000
130	images/sec: 1033.0 +/- 19.8 (jitter = 194.2)	7.195	0.000	0.000
140	images/sec: 1035.8 +/- 19.1 (jitter = 187.9)	7.197	0.000	0.000
150	images/sec: 1041.6 +/- 18.2 (jitter = 187.3)	7.199	0.016	0.016
160	images/sec: 1038.2 +/- 17.5 (jitter = 194.2)	7.200	0.000	0.000
170	images/sec: 1045.8 +/- 17.3 (jitter = 192.6)	7.200	0.000	0.000
180	images/sec: 1046.0 +/- 16.6 (jitter = 190.3)	7.200	0.000	0.016
190	images/sec: 1047.8 +/- 16.3 (jitter = 197.7)	7.203	0.000	0.000
