WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/convnet_builder.py:372: calling reduce_mean (from tensorflow.python.ops.math_ops) with keep_dims is deprecated and will be removed in a future version.
Instructions for updating:
keep_dims is deprecated, use keepdims instead
WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-07-02 13:23:29.514623: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-07-02 13:23:29.684293: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:81:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-07-02 13:23:29.684345: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0
2018-07-02 13:23:30.067507: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-07-02 13:23:30.067576: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 
2018-07-02 13:23:30.067591: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N 
2018-07-02 13:23:30.068058: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       resnet50
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  64 global
             64.0 per device
Devices:     ['/gpu:0']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 222.2 +/- 0.0 (jitter = 0.0)	9.763	0.000	0.000
10	images/sec: 221.2 +/- 0.3 (jitter = 0.8)	8.484	0.000	0.000
20	images/sec: 221.2 +/- 0.2 (jitter = 0.8)	8.122	0.000	0.000
30	images/sec: 221.5 +/- 0.2 (jitter = 1.0)	8.040	0.000	0.000
40	images/sec: 221.4 +/- 0.2 (jitter = 1.0)	8.231	0.000	0.016
50	images/sec: 221.6 +/- 0.2 (jitter = 1.0)	8.029	0.000	0.000
60	images/sec: 221.5 +/- 0.2 (jitter = 0.9)	7.981	0.000	0.000
70	images/sec: 221.6 +/- 0.1 (jitter = 0.9)	8.018	0.016	0.016
80	images/sec: 221.7 +/- 0.1 (jitter = 0.8)	8.030	0.000	0.000
90	images/sec: 221.7 +/- 0.1 (jitter = 0.8)	8.166	0.000	0.000
100	images/sec: 221.6 +/- 0.1 (jitter = 0.9)	8.113	0.000	0.000
110	images/sec: 221.5 +/- 0.1 (jitter = 1.0)	7.846	0.000	0.000
120	images/sec: 221.4 +/- 0.1 (jitter = 1.1)	7.938	0.000	0.016
130	images/sec: 221.4 +/- 0.1 (jitter = 1.1)	7.864	0.000	0.000
140	images/sec: 221.4 +/- 0.1 (jitter = 1.0)	7.865	0.000	0.000
150	images/sec: 221.4 +/- 0.1 (jitter = 1.1)	7.760	0.016	0.016
160	images/sec: 221.4 +/- 0.1 (jitter = 1.1)	7.884	0.000	0.016
170	images/sec: 221.4 +/- 0.1 (jitter = 1.1)	7.835	0.000	0.000
180	images/sec: 221.3 +/- 0.1 (jitter = 1.2)	7.892	0.000	0.000
190	images/sec: 221.3 +/- 0.1 (jitter = 1.2)	7.819	0.000	0.000
200	images/sec: 221.3 +/- 0.1 (jitter = 1.2)	7.883	0.000	0.000
210	images/sec: 221.3 +/- 0.1 (jitter = 1.2)	7.852	0.000	0.000
220	images/sec: 221.3 +/- 0.1 (jitter = 1.2)	7.834	0.000	0.016
230	images/sec: 221.3 +/- 0.1 (jitter = 1.2)	7.892	0.000	0.016
