WARNING:tensorflow:From /root/data/benchmarks/scripts/tf_cnn_benchmarks/benchmark_cnn.py:1120: Supervisor.__init__ (from tensorflow.python.training.supervisor) is deprecated and will be removed in a future version.
Instructions for updating:
Please switch to tf.train.MonitoredTrainingSession
2018-07-02 18:18:31.813739: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
2018-07-02 18:18:32.038366: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 0 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:81:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-07-02 18:18:32.203363: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1392] Found device 1 with properties: 
name: Tesla P100-PCIE-16GB major: 6 minor: 0 memoryClockRate(GHz): 1.3285
pciBusID: 0000:82:00.0
totalMemory: 15.89GiB freeMemory: 15.60GiB
2018-07-02 18:18:32.205164: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1471] Adding visible gpu devices: 0, 1
2018-07-02 18:18:32.964971: I tensorflow/core/common_runtime/gpu/gpu_device.cc:952] Device interconnect StreamExecutor with strength 1 edge matrix:
2018-07-02 18:18:32.965040: I tensorflow/core/common_runtime/gpu/gpu_device.cc:958]      0 1 
2018-07-02 18:18:32.965057: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 0:   N Y 
2018-07-02 18:18:32.965069: I tensorflow/core/common_runtime/gpu/gpu_device.cc:971] 1:   Y N 
2018-07-02 18:18:32.965913: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:0 with 15119 MB memory) -> physical GPU (device: 0, name: Tesla P100-PCIE-16GB, pci bus id: 0000:81:00.0, compute capability: 6.0)
2018-07-02 18:18:33.261513: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1084] Created TensorFlow device (/job:localhost/replica:0/task:0/device:GPU:1 with 15119 MB memory) -> physical GPU (device: 1, name: Tesla P100-PCIE-16GB, pci bus id: 0000:82:00.0, compute capability: 6.0)
TensorFlow:  1.10
Model:       alexnet
Dataset:     imagenet
Mode:        training
SingleSess:  False
Batch size:  128 global
             64.0 per device
Devices:     ['/gpu:0', '/gpu:1']
Data format: NCHW
Layout optimizer: False
Optimizer:   sgd
Variables:   parameter_server
==========
Generating model
Running warm up
Done warm up
Step	Img/sec	loss	top_1_accuracy	top_5_accuracy
1	images/sec: 1798.2 +/- 0.0 (jitter = 0.0)	7.202	0.000	0.008
10	images/sec: 1031.3 +/- 109.7 (jitter = 228.8)	7.202	0.000	0.000
20	images/sec: 1036.8 +/- 64.8 (jitter = 184.3)	7.199	0.000	0.000
30	images/sec: 1014.3 +/- 49.4 (jitter = 170.8)	7.201	0.000	0.000
40	images/sec: 1016.1 +/- 38.5 (jitter = 134.2)	7.202	0.000	0.000
50	images/sec: 1026.2 +/- 31.3 (jitter = 122.1)	7.198	0.008	0.008
60	images/sec: 1041.0 +/- 29.2 (jitter = 146.5)	7.200	0.000	0.008
70	images/sec: 1047.5 +/- 26.1 (jitter = 148.7)	7.202	0.000	0.000
80	images/sec: 1053.2 +/- 26.2 (jitter = 188.2)	7.195	0.000	0.008
90	images/sec: 1059.9 +/- 23.6 (jitter = 169.6)	7.197	0.000	0.023
100	images/sec: 1071.5 +/- 26.4 (jitter = 181.4)	7.199	0.000	0.000
110	images/sec: 1060.8 +/- 27.8 (jitter = 191.0)	7.199	0.000	0.000
120	images/sec: 1055.4 +/- 26.2 (jitter = 179.7)	7.198	0.000	0.000
130	images/sec: 1055.8 +/- 24.9 (jitter = 208.5)	7.200	0.000	0.008
140	images/sec: 1052.3 +/- 25.8 (jitter = 224.4)	7.198	0.008	0.008
150	images/sec: 1048.7 +/- 25.3 (jitter = 219.8)	7.199	0.008	0.023
160	images/sec: 1052.5 +/- 24.2 (jitter = 221.6)	7.199	0.000	0.000
170	images/sec: 1055.2 +/- 23.3 (jitter = 217.2)	7.197	0.000	0.008
180	images/sec: 1059.7 +/- 22.7 (jitter = 208.5)	7.197	0.000	0.000
190	images/sec: 1059.8 +/- 21.6 (jitter = 207.7)	7.195	0.000	0.023
200	images/sec: 1061.9 +/- 21.3 (jitter = 204.5)	7.198	0.000	0.008
210	images/sec: 1059.7 +/- 21.5 (jitter = 199.4)	7.197	0.000	0.000
220	images/sec: 1054.7 +/- 20.9 (jitter = 204.5)	7.198	0.000	0.000
230	images/sec: 1053.4 +/- 20.2 (jitter = 205.4)	7.199	0.000	0.000
240	images/sec: 1053.7 +/- 19.8 (jitter = 197.0)	7.203	0.000	0.008
250	images/sec: 1053.7 +/- 19.0 (jitter = 176.3)	7.200	0.000	0.008
260	images/sec: 1055.0 +/- 19.3 (jitter = 197.0)	7.198	0.000	0.000
270	images/sec: 1055.7 +/- 18.7 (jitter = 184.3)	7.197	0.000	0.000
280	images/sec: 1055.4 +/- 18.3 (jitter = 183.8)	7.198	0.008	0.008
